,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,1.05,55.0,0.15,10.0,0.0,0.98,1303.0,0.0,True
1,6.84,154.0,0.07,12.0,4.13,0.68,179.0,209.0,True
2,12.1,4.0,0.09,10.0,18.84,1.69,218.0,141.0,True
3,4.83,9.0,0.06,14.0,11.24,0.49,332.0,160.0,True
4,12.42,143.0,0.11,12.0,0.0,1.25,143.0,77.0,True
5,14.65,31.0,0.09,13.0,25.19,1.79,755.0,653.0,True
6,28.58,554.0,0.24,12.0,39.61,1.0,42.0,35.0,True
7,27.23,676.0,0.12,11.0,89.15,1.97,97.0,128.0,True
8,38.06,682.0,0.15,10.0,77.94,1.03,1382.0,1027.0,True
9,37.81,689.0,0.16,11.0,35.53,1.97,1476.0,732.0,True
10,31.14,751.0,0.14,16.0,96.95,1.0,178.0,184.0,True
11,32.08,121.0,0.13,15.0,62.38,1.68,481.0,661.0,True
12,53.02,1204.0,0.17,15.0,64.19,1.97,279.0,206.0,True
13,22.51,185.0,0.16,10.0,0.0,0.38,993.0,117.0,False
14,1.75,216.0,0.05,17.0,19.13,0.0,1510.0,9.0,False
15,10.62,1763.0,0.15,14.0,26.69,1355.0,86.0,104.0,True
16,42.45,2192.0,0.15,15.0,64.67,1.0,1717.0,571.0,True
17,54.64,2471.0,0.29,16.0,93.44,1.0,245.0,160.0,True
18,2.14,3044.0,0.12,13.0,7.93,0.2,1764.0,422.0,False
19,4.68,3105.0,0.15,20.0,21.07,0.0,269.0,213.0,False
20,9.75,27.0,0.35,11.0,51.15,18.0,79.0,97.0,True
21,8.28,23.0,0.25,14.0,32.96,16.0,979.0,839.0,True
22,26.47,30.0,1.41,14.0,40.94,0.5,116.0,55.0,True
23,18.35,36.0,1.3,15.0,39.3,0.25,80.0,56.0,False
24,5.55,73.0,0.34,15.0,2.89,0.0,4102.0,185.0,False
25,4.96,93.0,0.29,14.0,2.8,50.0,975.0,2067.0,True
26,6.02,601.0,0.38,12.0,5.12,0.0,199.0,270.0,True
27,15.52,20.0,0.59,11.0,30.81,19.0,83.0,84.0,True
28,10.3,191.0,0.21,20.0,55.05,0.0,846.0,400.0,False
29,17.48,3527.0,1.07,17.0,104.69,0.0,90.0,96.0,False
30,33.64,106.0,2.21,10.0,25.43,0.33,767.0,63.0,False
31,21.75,710.0,1.5,10.0,67.92,0.0,215.0,211.0,False
32,0.23,91.0,0.09,11.0,25.0,0.02,1055.0,274.0,False
33,47.27,73.0,1.41,15.0,47.14,0.33,425.0,265.0,False
34,12.48,186.0,0.76,10.0,59.76,125.0,378.0,196.0,True
35,13.64,196.0,0.42,15.0,11.06,0.0,189.0,154.0,False
36,13.41,197.0,0.36,16.0,5.32,0.0,265.0,265.0,True
37,24.81,3715.0,0.28,18.0,14.87,0.0,366.0,252.0,False
38,3.43,201.0,0.25,14.0,34.6,9.0,260.0,217.0,True
39,15.17,102.0,0.83,13.0,55.29,0.39,76.0,67.0,False
40,4.35,203.0,0.24,22.0,161.63,0.0,232.0,123.0,False
41,22.42,150.0,1.11,15.0,41.63,0.08,23.0,43.0,False
42,12.0,79.0,0.5,10.0,16.24,0.0,576.0,427.0,False
43,24.89,23.0,0.79,14.0,35.54,0.03,284.0,73.0,False
44,14.48,165.0,0.46,10.0,31.23,0.05,281.0,724.0,False
45,24.49,65.0,0.49,11.0,24.62,0.08,2579.0,284.0,False
46,19.61,138.0,0.35,19.0,86.21,0.39,188.0,194.0,True
47,14.0,147.0,1.36,12.0,32.43,0.39,125.0,36.0,False
48,18.95,44.0,1.05,10.0,39.95,0.18,401.0,98.0,False
49,11.96,151.0,0.45,17.0,62.65,0.39,281.0,229.0,True
50,31.71,3877.0,1.25,19.0,73.82,0.17,52.0,52.0,False
51,26.12,915.0,0.72,15.0,122.31,0.0,63.0,57.0,False
52,29.42,110.0,0.96,11.0,23.83,0.05,2675.0,904.0,False
53,25.48,3935.0,0.38,14.0,36.38,0.0,431.0,1183.0,False
54,3.95,8.0,0.49,13.0,150.58,0.39,1356.0,614.0,False
55,28.6,5.0,0.94,15.0,81.23,0.27,359.0,108.0,False
56,15.42,4.0,0.58,18.0,94.04,0.46,298.0,237.0,True
57,10.52,12.0,1.0,10.0,56.52,0.83,287.0,216.0,True
58,25.65,92.0,0.37,24.0,134.19,0.0,290.0,310.0,False
59,12.7,197.0,0.54,17.0,42.0,0.06,798.0,664.0,False
60,41.0,51.0,1.54,10.0,45.35,0.45,301.0,565.0,True
61,15.92,138.0,0.61,17.0,11.44,0.0,198.0,162.0,False
62,16.32,167.0,1.84,13.0,12.0,0.0,119.0,111.0,False
63,33.45,94.0,1.58,24.0,34.42,0.28,315.0,103.0,False
64,34.52,96.0,1.58,24.0,4.87,0.28,103.0,315.0,True
65,37.9,97.0,1.66,23.0,0.38,0.28,326.0,118.0,False
66,55.07,201.0,3.36,12.0,29.0,0.0,72.0,98.0,False
67,7.13,233.0,0.55,23.0,64.24,0.02,571.0,67.0,False
68,24.85,236.0,1.9,11.0,19.45,0.0,78.0,40.0,False
69,11.38,248.0,0.66,29.0,56.45,0.0,856.0,880.0,False
70,15.0,252.0,0.62,23.0,1.97,0.0,223.0,164.0,False
71,29.32,242.0,1.45,14.0,61.39,0.02,117.0,60.0,False
72,28.93,45.0,1.09,11.0,59.3,28.0,422.0,513.0,True
73,41.0,49.0,2.03,20.0,55.8,0.17,85.0,110.0,False
74,27.64,298.0,0.96,16.0,48.11,0.0,381.0,476.0,False
75,55.5,299.0,3.29,10.0,28.36,0.03,644.0,152.0,False
76,27.89,0.0,0.78,15.0,61.97,0.0,2725.0,539.0,False
77,49.41,309.0,1.22,12.0,35.34,0.0,1095.0,541.0,False
78,44.85,281.0,1.85,11.0,39.96,0.02,1637.0,263.0,False
79,41.76,1.0,1.72,12.0,44.03,0.0,533.0,915.0,False
80,24.34,340.0,1.31,13.0,83.09,0.0,97.0,632.0,False
81,25.57,2.0,0.91,12.0,36.2,1.22,1167.0,778.0,True
82,22.67,2.0,2.33,11.0,35.83,0.0,200.0,92.0,False
83,22.67,2.0,2.33,11.0,35.83,0.0,200.0,92.0,False
84,24.89,365.0,2.44,11.0,8.89,0.0,92.0,200.0,False
85,21.02,77.0,1.45,19.0,37.62,0.31,466.0,458.0,False
86,22.6,5.0,1.57,28.0,86.43,0.75,108.0,84.0,True
87,23.63,88.0,1.57,28.0,1.0,0.0,84.0,108.0,False
88,24.63,89.0,1.6,28.0,0.0,0.0,108.0,84.0,False
89,31.28,105.0,1.75,11.0,65.91,0.65,1155.0,467.0,True
90,21.17,128.0,0.76,23.0,81.91,0.0,752.0,1047.0,False
91,15.26,62.0,0.81,32.0,283.36,0.08,1050.0,657.0,False
92,17.69,129.0,0.96,12.0,60.05,0.0,1852.0,642.0,False
93,42.74,181.0,1.66,15.0,117.63,0.6,233.0,131.0,True
94,43.25,184.0,2.85,10.0,38.75,0.85,1545.0,129.0,False
95,33.2,82.0,1.57,18.0,119.07,0.0,212.0,308.0,False
96,28.11,7.0,1.69,17.0,37.92,0.21,210.0,446.0,False
97,49.5,0.0,2.42,15.0,151.96,0.0,82.0,119.0,False
98,44.54,8.0,3.08,16.0,128.38,0.28,311.0,186.0,False
99,33.44,610.0,1.21,14.0,73.46,0.0,1615.0,995.0,False
100,36.31,620.0,1.4,21.0,159.77,384.0,324.0,238.0,True
101,38.5,0.0,1.41,12.0,63.3,0.0,991.0,323.0,False
102,65.8,631.0,2.96,11.0,74.32,0.0,219.0,113.0,False
103,10.98,107.0,1.23,14.0,134.55,0.31,565.0,702.0,False
104,15.96,102.0,1.29,26.0,132.49,0.0,5.0,84.0,False
105,48.84,49.0,1.69,15.0,59.47,0.02,611.0,270.0,False
106,21.57,0.0,1.7,21.0,155.52,0.0,89.0,89.0,False
107,36.74,17.0,1.31,13.0,146.13,0.5,429.0,1387.0,True
108,31.49,18.0,1.92,16.0,73.68,0.66,403.0,511.0,False
109,21.65,148.0,2.65,12.0,71.9,0.07,12.0,115.0,False
110,44.87,21.0,2.27,13.0,80.93,0.18,3320.0,827.0,False
111,69.29,96.0,5.06,14.0,104.76,0.03,133.0,63.0,False
112,58.1,9.0,3.75,11.0,34.05,0.37,1176.0,58.0,False
113,36.17,720.0,1.23,13.0,13.74,0.0,1697.0,1731.0,False
114,19.58,405.0,2.19,13.0,103.46,0.25,6.0,109.0,False
115,21.92,3985.0,2.54,13.0,89.92,0.0,7.0,166.0,False
116,32.41,92.0,2.41,10.0,88.55,0.18,699.0,124.0,False
117,28.86,118.0,2.55,16.0,106.9,0.0,38.0,38.0,False
118,18.37,3.0,3.0,13.0,129.0,0.05,25.0,25.0,False
119,54.0,0.0,2.25,12.0,111.45,0.0,605.0,146.0,False
120,31.2,0.0,2.4,18.0,254.57,0.0,1087.0,704.0,False
121,19.31,420.0,1.3,20.0,89.24,0.12,4427.0,126.0,False
122,33.8,4083.0,2.46,18.0,3.43,0.0,1087.0,704.0,False
123,21.51,4088.0,1.3,13.0,50.74,0.0,785.0,807.0,False
124,16.74,107.0,2.13,12.0,14.83,0.35,174.0,108.0,False
125,41.2,153.0,1.45,12.0,133.44,0.42,701.0,650.0,True
126,33.33,10.0,2.22,13.0,57.42,0.22,2820.0,1242.0,False
127,63.89,12.0,4.83,10.0,85.5,0.6,727.0,284.0,False
128,70.21,641.0,6.07,10.0,16.43,0.33,1418.0,160.0,False
129,72.29,643.0,6.07,10.0,0.0,0.33,1418.0,160.0,False
130,66.39,644.0,4.83,10.0,2.5,0.33,284.0,727.0,False
131,47.47,0.0,4.89,11.0,211.84,0.0,123.0,209.0,False
132,35.24,169.0,1.45,11.0,78.91,136.0,1257.0,1042.0,True
133,60.39,1.0,2.42,11.0,71.79,0.33,2236.0,175.0,False
134,43.88,14.0,2.76,33.0,7.24,0.1,348.0,82.0,False
135,45.29,64.02,1.53,15.37,72.66,0.29,506.47,319.03,False
136,36.09,22.23,2.1,17.09,191.41,0.1,885.42,570.33,False
137,45.76,66.15,1.5,15.28,66.61,0.3,487.14,306.21,False
138,35.37,18.94,2.14,17.22,200.75,0.09,915.23,590.09,False
139,33.32,9.63,2.27,17.6,227.21,0.04,999.68,646.09,False
140,33.68,11.26,2.25,17.54,222.57,0.05,984.88,636.28,False
141,44.83,61.9,1.56,15.46,78.69,0.28,525.69,331.77,False
142,40.21,40.91,1.84,16.32,138.34,0.18,716.05,458.01,False
143,33.38,9.89,2.27,17.59,226.46,0.04,997.28,644.51,False
144,36.63,24.65,2.07,16.99,184.53,0.11,863.46,555.76,False
145,34.73,16.03,2.18,17.34,209.02,0.07,941.64,607.61,False
146,44.17,58.91,1.6,15.58,87.17,0.27,552.75,349.72,False
147,37.18,27.14,2.03,16.88,177.44,0.12,840.84,540.76,False
148,37.7,29.52,2.0,16.79,170.68,0.13,819.28,526.47,False
149,44.21,59.1,1.6,15.57,86.64,0.27,551.08,348.61,False
150,46.57,69.81,1.45,15.13,56.19,0.32,453.91,284.17,False
151,44.99,62.63,1.55,15.43,76.6,0.28,519.02,327.35,False
152,46.65,70.16,1.45,15.12,55.2,0.32,450.72,282.06,False
153,45.12,63.23,1.54,15.4,74.91,0.29,513.62,323.77,False
154,37.01,26.41,2.04,16.91,179.53,0.12,847.51,545.18,False
155,44.92,62.3,1.55,15.44,77.55,0.28,522.05,329.36,False
156,32.29,4.95,2.33,17.8,240.5,0.02,1042.08,674.21,False
157,38.59,33.59,1.94,16.62,159.14,0.15,782.43,502.03,False
158,37.66,29.33,2.0,16.79,171.24,0.13,821.06,527.65,False
159,45.42,64.58,1.52,15.35,71.06,0.29,501.33,315.62,False
160,43.56,56.14,1.64,15.69,95.05,0.25,577.9,366.4,False
161,34.21,13.67,2.21,17.44,215.74,0.06,963.07,621.82,False
162,38.35,32.49,1.96,16.66,162.26,0.15,792.39,508.63,False
163,36.43,23.77,2.08,17.02,187.02,0.11,871.42,561.04,False
164,35.29,18.57,2.15,17.24,201.8,0.08,918.6,592.33,False
165,38.87,34.84,1.93,16.57,155.58,0.16,771.09,494.5,False
166,42.46,51.12,1.71,15.9,109.31,0.23,623.41,396.58,False
167,35.0,17.25,2.17,17.29,205.55,0.08,930.57,600.26,False
168,35.21,18.23,2.15,17.25,202.78,0.08,921.72,594.4,False
169,32.98,8.1,2.29,17.67,231.54,0.04,1013.51,655.27,False
170,41.12,45.06,1.79,16.15,126.53,0.2,678.39,433.03,False
171,37.89,30.39,1.99,16.75,168.22,0.14,811.42,521.25,False
172,34.16,13.43,2.22,17.45,216.42,0.06,965.25,623.26,False
173,45.75,66.08,1.5,15.28,66.81,0.3,487.77,306.63,False
174,34.09,13.11,2.22,17.46,217.31,0.06,968.09,625.14,False
175,40.54,42.43,1.82,16.26,133.99,0.19,702.19,448.81,False
176,39.98,39.86,1.86,16.36,141.32,0.18,725.56,464.31,False
177,36.53,24.2,2.07,17.01,185.8,0.11,867.54,558.46,False
178,33.45,10.24,2.26,17.58,225.47,0.05,994.13,642.41,False
179,45.48,64.85,1.52,15.33,70.29,0.29,498.91,314.01,False
180,33.14,8.79,2.28,17.64,229.58,0.04,1007.25,651.11,False
181,44.14,58.75,1.6,15.59,87.62,0.27,554.21,350.68,False
182,45.94,66.94,1.49,15.25,64.36,0.3,479.98,301.46,False
183,42.49,51.29,1.7,15.89,108.84,0.23,621.9,395.58,False
184,41.33,46.03,1.78,16.11,123.78,0.21,669.59,427.2,False
185,40.77,43.45,1.81,16.21,131.12,0.2,693.02,442.73,False
186,39.23,36.47,1.9,16.5,150.93,0.16,756.23,484.65,False
187,43.0,53.61,1.67,15.8,102.24,0.24,600.86,381.62,False
188,35.75,20.67,2.12,17.15,195.84,0.09,899.58,579.72,False
189,37.7,29.52,2.0,16.79,170.68,0.13,819.27,526.45,False
190,34.0,12.73,2.23,17.48,218.39,0.06,971.53,627.43,False
191,39.96,39.78,1.86,16.37,141.53,0.18,726.25,464.77,False
192,47.05,72.01,1.42,15.04,49.95,0.32,433.99,270.96,False
193,40.24,41.05,1.84,16.31,137.91,0.19,714.7,457.11,False
194,44.98,62.59,1.55,15.43,76.72,0.28,519.42,327.61,False
195,39.08,35.79,1.91,16.53,152.87,0.16,762.43,488.76,False
196,32.62,6.44,2.31,17.74,236.27,0.03,1028.6,665.28,False
197,44.65,61.11,1.57,15.49,80.93,0.28,532.84,336.52,False
198,37.25,27.5,2.03,16.87,176.44,0.12,837.65,538.65,False
199,31.37,0.77,2.39,17.97,252.38,0.0,1080.0,699.36,False
200,33.14,8.8,2.28,17.64,229.58,0.04,1007.24,651.11,False
201,36.88,25.79,2.05,16.94,181.29,0.12,853.14,548.92,False
202,38.17,31.63,1.97,16.7,164.68,0.14,800.12,513.76,False
203,33.51,10.48,2.26,17.57,224.78,0.05,991.94,640.96,False
204,33.95,12.47,2.23,17.49,219.13,0.06,973.88,628.99,False
205,42.66,52.04,1.69,15.86,106.7,0.23,615.08,391.05,False
206,40.02,40.05,1.86,16.35,140.76,0.18,723.78,463.13,False
207,37.83,30.13,1.99,16.76,168.95,0.14,813.74,522.79,False
208,37.18,27.18,2.03,16.88,177.34,0.12,840.53,540.55,False
209,40.43,41.94,1.83,16.28,135.4,0.19,706.68,451.8,False
210,37.5,28.61,2.01,16.82,173.26,0.13,827.52,531.93,False
211,39.36,37.06,1.9,16.48,149.27,0.17,750.93,481.14,False
212,35.92,21.45,2.11,17.12,193.61,0.1,892.44,574.98,False
213,42.68,52.15,1.69,15.86,106.39,0.24,614.09,390.39,False
214,43.43,55.54,1.65,15.72,96.75,0.25,583.35,370.01,False
215,35.24,18.33,2.15,17.25,202.49,0.08,920.79,593.78,False
216,34.3,14.06,2.21,17.42,214.62,0.06,959.5,619.45,False
217,41.25,45.64,1.78,16.12,124.87,0.21,673.09,429.52,False
218,47.17,72.53,1.42,15.02,48.48,0.33,429.29,267.85,False
219,40.17,40.73,1.85,16.33,138.84,0.18,717.66,459.07,False
220,33.1,8.61,2.28,17.65,230.11,0.04,1008.93,652.23,False
221,35.4,19.07,2.14,17.22,200.37,0.09,914.03,589.3,False
222,41.54,46.96,1.76,16.07,121.13,0.21,661.15,421.6,False
223,38.63,33.73,1.94,16.61,158.72,0.15,781.09,501.14,False
224,34.8,16.33,2.18,17.33,208.17,0.07,938.93,605.81,False
225,47.16,72.5,1.42,15.02,48.55,0.33,429.5,267.99,False
226,46.2,68.14,1.47,15.2,60.93,0.31,469.03,294.2,False
227,40.4,41.78,1.83,16.28,135.86,0.19,708.14,452.76,False
228,36.56,24.32,2.07,17.0,185.45,0.11,866.42,557.72,False
229,36.84,25.62,2.05,16.95,181.78,0.12,854.7,549.95,False
230,35.32,18.72,2.15,17.23,201.37,0.08,917.23,591.42,False
231,43.69,56.73,1.63,15.67,93.37,0.26,572.54,362.84,False
232,38.26,32.06,1.96,16.68,163.48,0.14,796.3,511.22,False
