,nuc,arexp,nd,ns,age,la,ld
9691,,,,,,,
9857,,,,,,,
10452,,,,,,,
10478,,,,,,,
10523,,,,,,,
10630,,,,,,,
10680,,,,,,,
10762,,,,,,,
10882,,,,,,,
11036,,,,,,,
11134,,,,,,,
11322,5.125,38.0,16,1,27.53125,1568,2268
11432,,,,,,,
11532,,,,,,,
11588,,,,,,,
11589,,,,,,,
11691,,,,,,,
11845,,,,,,,
11890,,,,,,,
11931,,,,,,,
11964,,,,,,,
10652,,,,,,,
10700,,,,,,,
11410,,,,,,,
11465,,,,,,,
9851,,,,,,,
9804,,,,,,,
11546,,,,,,,
9965,,,,,,,
10152,40.0,1434.8333333333096,20,2,0.0,106,93
10666,,,,,,,
11032,61.6428571428571,5.0,1,2,140.0,605,96
11685,,,,,,,
11059,,,,,,,
11846,,,,,,,
9829,38.4848484848485,194.0,2,2,17.5757575757576,491,508
9695,,,,,,,
9887,,,,,,,
10405,,,,,,,
9932,,,,,,,
10540,,,,,,,
10597,,,,,,,
11033,,,,,,,
10644,,,,,,,
11128,,,,,,,
11304,,,,,,,
11363,,,,,,,
11510,,,,,,,
11831,,,,,,,
11927,,,,,,,
11985,,,,,,,
9924,36.4444444444444,442.5,5,3,13.2222222222222,620,1
9755,128.888888888889,1459.83333333328,6,4,17.5555555555556,334,3
10282,3.36363636363636,102.5,3,3,31.6363636363636,794,8
10380,,,,,,,
10552,27.0,1.0,7,3,24.4166666666667,525,128
10556,98.5,4.0,3,3,5.33333333333333,678,1
11226,117.909090909091,69.5,6,3,32.9090909090909,481,208
9894,,,,,,,
10340,,,,,,,
11513,29.1333333333333,210.833333333336,8,3,13.8666666666667,507,57
10509,,,,,,,
10702,,,,,,,
11620,108.0,195.500000000001,5,3,78.6666666666667,446,140
11172,,,,,,,
11275,,,,,,,
11874,40.6666666666667,25.0,3,3,92.1666666666667,611,258
11321,,,,,,,
11949,33.5384615384615,47.5,6,3,57.461538461538495,420,60
10760,5.23255813953488,0.0,2,1,2.16279069767442,4400,5
12000,40.3333333333333,8.41666666666667,8,3,73.3333333333333,453,49
11597,,,,,,,
11882,,,,,,,
11765,,,,,,,
11941,,,,,,,
11851,,,,,,,
9890,,,,,,,
11902,,,,,,,
10283,31.1666666666667,102.5,1,2,25.5,693,611
10425,14.1538461538462,67.0,1,3,3.92307692307692,866,24
10528,,,,,,,
10486,6.0,14.0,1,2,45.3333333333333,564,72
9862,,,,,,,
11225,,,,,,,
10709,8.33333333333333,0.0,1,2,68.3333333333333,405,171
10839,74.82352941176471,19.0,1,2,74.1176470588235,501,166
11140,,,,,,,
9787,,,,,,,
11311,,,,,,,
11953,,,,,,,
11007,94.6666666666667,27.0,1,2,32.6666666666667,491,4
11398,81.1875,23.0,1,2,10.375,439,240
11467,79.5454545454545,22.5,1,2,79.2727272727273,449,13
11391,113.6875,78.0,1,2,17.25,619,593
11861,68.0,10.0,1,2,71.25,382,18
11880,6.96,0.0,5,2,35.56,0,424
11000,,,,,,,
10872,,,,,,,
11010,,,,,,,
10277,,,,,,,
9836,,,,,,,
9878,,,,,,,
11110,,,,,,,
9977,,,,,,,
10047,,,,,,,
10121,,,,,,,
10248,79.3181818181818,1463.66666666663,7.5,2,49.2272727272727,100,97
9788,,,,,,,
10202,,,,,,,
10247,,,,,,,
10368,,,,,,,
10374,,,,,,,
10408,,,,,,,
10713,6.0,82.5,23,2,55.7708333333333,213,11.0
10414,,,,,,,
10428,,,,,,,
10534,,,,,,,
10564,,,,,,,
10589,,,,,,,
10929,24.857142857142897,6.0,10,2,13.5714285714286,88.0,67
10682,,,,,,,
10485,,,,,,,
10772,,,,,,,
10774,,,,,,,
10804,,,,,,,
10856,,,,,,,
10936,,,,,,,
10937,,,,,,,
10962,,,,,,,
11020,,,,,,,
11081,,,,,,,
11004,,,,,,,
11086,,,,,,,
11242,13.357142857142902,6.0,6,2,22.0714285714286,35.0,5
11144,,,,,,,
11157,,,,,,,
11170,,,,,,,
11205,,,,,,,
11233,,,,,,,
11224,,,,,,,
11298,,,,,,,
11356,,,,,,,
11413,,,,,,,
11661,68.0,270.0,10,2,128.363636363636,35.0,1887
11438,,,,,,,
11466,,,,,,,
11483,,,,,,,
11569,,,,,,,
11590,,,,,,,
11593,,,,,,,
11609,,,,,,,
11683,,,,,,,
11693,,,,,,,
11732,,,,,,,
11977,117.866666666667,48.0,8,2,176.733333333333,562,19.5
9810,59.8181818181818,191.0,2,2,22.0,385,265
11769,,,,,,,
9917,60.0,27.0,2,2,6.857142857142861,568,109
10415,31.6666666666667,458.666666666667,2,2,27.5,400,8
11826,,,,,,,
11836,,,,,,,
11840,,,,,,,
10525,16.1428571428571,3.0,2,3,45.4285714285714,856,25
11115,77.0,210.5,1,2,64.5333333333333,630,333
11965,,,,,,,
11967,12.1052631578947,16.0,2,2,59.31578947368421,380,12
9944,1.11764705882353,909.916666666693,2,2,1.1568627450980402,639,561
11971,23.2,17.0,2,3,4.8,749,3
10286,49.4,25.0,2,3,35.6,642,30
10435,,,,,,,
10703,,,,,,,
10704,,,,,,,
11260,,,,,,,
11877,41.6666666666667,19.0,2,2,16.5,584,302
10801,,,,,,,
10367,,,,,,,
10649,,,,,,,
11728,,,,,,,
9710,,,,,,,
10606,,,,,,,
10623,,,,,,,
11082,1.3,27.0,5,3,1.8944444444444448,723,69
10625,,,,,,,
10706,,,,,,,
10838,,,,,,,
10788,,,,,,,
10851,,,,,,,
11030,,,,,,,
11089,,,,,,,
11209,2.64285714285714,32.0,5,3,18.8,615,29
11101,,,,,,,
11136,,,,,,,
11124,,,,,,,
10410,8.4,110.0,3,2,29.0,582,472
10590,49.6666666666667,1344.41666666671,2,3,20.1666666666667,492,3
11878,46.375,8.0,4,2,43.0,455,514
11141,,,,,,,
11165,,,,,,,
11187,,,,,,,
9688,29.6805555555556,1.0,1,2,17.8333333333333,734,485
11396,,,,,,,
11429,,,,,,,
11898,,,,,,,
10659,35.8571428571429,5.0,5,3,75.8571428571429,465,56
11439,72.1,262.33333333333303,7,2,36.0,4,179
11155,34.1666666666667,20.0,8,3,50.0833333333333,457,4
10310,,,,,,,
11623,3.15,1.0,16,3,174.32258064516105,32,31
11177,5.28260869565217,7.0,17.0,1,20.9347826086957,0,129
11295,,,,,,,
9792,2.19047619047619,1441.66666666662,2,2,132.166666666667,32,293
11017,66.8181818181818,234.166666666668,6,3,65.0909090909091,446,6
10411,,,,,,,
11963,0.285714285714286,0.0,2,2,183.596774193548,248,26
9966,,,,,,,
11750,24.375,0.0,8,2,107.0,7,24
10577,,,,,,,
9629,11.2222222222222,17.0,5,3,7.83333333333333,630,3
10692,,,,,,,
9632,42.6451612903226,1473.9166666666,7,4,27.8064516129032,607,46.5
11430,,,,,,,
11451,,,,,,,
11973,,,,,,,
10626,,,,,,,
11601,,,,,,,
9636,,,,,,,
9644,,,,,,,
10120,56.1428571428571,55.0,5,3,1.8944444444444448,659,4
10219,6.75,1.0,9,2,21.55,18.5,138
9651,,,,,,,
9680,,,,,,,
10287,66.0555555555556,26.0,9,2,49.8888888888889,13.0,185
9729,,,,,,,
10416,7.72727272727273,460.666666666667,7,2,0.681818181818182,109.0,86
9825,,,,,,,
9886,,,,,,,
10323,77.94736842105259,161.0,6,3,12.526315789473696,475,193
9896,,,,,,,
9906,,,,,,,
10245,,,,,,,
10419,,,,,,,
10423,,,,,,,
10457,,,,,,,
10464,,,,,,,
10494,,,,,,,
10697,6.94444444444444,40.0,4,2,15.3888888888889,45.5,64
10705,63.69565217391301,11.0,12,4,3.61538461538462,397,130
10562,,,,,,,
10667,,,,,,,
10800,65.3461538461538,3.0,11,2,59.53846153846151,24.5,175
10580,,,,,,,
10622,,,,,,,
10874,0.882352941176471,57.0,7,3,37.1538461538462,467,110
10911,33.6818181818182,5.0,11,2,102.772727272727,456,27.5
10924,5.977272727272727,6.0,8,3,39.77777777777779,375,16
10635,,,,,,,
10941,21.2807881773399,9.0,8,3,19.6666666666667,653,21
10992,11.4,232.0,5,2,4.22727272727273,459,280
10999,10.2,21.0,3,2,18.303030303030305,523,4
10674,,,,,,,
10676,,,,,,,
11047,15.470588235294096,1.0,4,2,45.17647058823529,21.5,99
11045,0.545454545454545,63.5,5,3,59.1666666666667,466,64
11057,28.11111111111111,15.0,5,3,5.73684210526316,577,123
11063,7.96938775510204,6.0,1,2,149.5,600,439
10716,,,,,,,
11091,0.375,11.0,12,2,101.809523809524,370,344
10795,,,,,,,
11156,56.5,21.0,5,3,4.04819277108434,439,92
10864,,,,,,,
10948,,,,,,,
11236,75.0,24.5,9,3,70.0666666666667,528,24.5
11281,36.23809523809521,258.0,11,4,0.9128787878787881,532,90
10973,,,,,,,
11290,3.3125,26.3333333333333,7,3,145.090909090909,827,89
11027,,,,,,,
11376,89.1818181818182,201.666666666667,5,3,10.6363636363636,483,16.0
11051,,,,,,,
11087,,,,,,,
11454,2.35573122529644,66.9166666666666,2,2,80.5,564,32
11105,,,,,,,
11530,112.5,196.833333333334,6,2,41.0,25.5,356
11189,,,,,,,
11643,47.589743589743605,78.6666666666665,13,4,1.6363636363636398,422,161
11653,8.408333333333335,267.5,3,2,69.0,482,339
11401,61.9032258064516,13.5,5.5,2,30.387096774193505,467,852
11214,,,,,,,
11658,52.1666666666667,29.0,7,2,95.6666666666667,411,16.0
11314,,,,,,,
11342,,,,,,,
11390,,,,,,,
11779,55.6666666666667,8.0,4,3,16.1666666666667,477,12.0
11820,4.769230769230768,2.0,6,3,46.8,566,8
11501,,,,,,,
11816,52.53846153846151,85.5,4,3,44.3846153846154,616,111
11572,,,,,,,
11975,3.82407407407407,19.0,9,3,90.92307692307692,671,35
11657,,,,,,,
11725,,,,,,,
11703,,,,,,,
11384,3.375,3.5,12,2,4.96153846153846,288.5,257
11862,,,,,,,
11258,38.3333333333333,3.0,2,3,254.666666666667,57.0,59
11781,,,,,,,
11183,,,,,,,
10404,15.7301587301587,108.5,1,1,25.48684210526315,643,33
11858,,,,,,,
11926,,,,,,,
11938,,,,,,,
9839,,,,,,,
11639,13.4782608695652,263.83333333333303,1.5,2,5.591666666666665,700,971
9659,16.20344827586205,1473.08333333327,3.5,2,9.2,353,225
10958,,,,,,,
10619,,,,,,,
10570,87.125,87.5,2,2,42.0909090909091,460,9
11544,,,,,,,
10930,,,,,,,
11008,109.5625,25.0,2,2,0.166666666666667,594,349
11549,,,,,,,
10842,79.8571428571429,53.0,1,2,48.8,4,14.0
11940,51.0,15.0,4,3,42.7,679,2
10006,52.6842105263158,234.0,9.0,2,72.26315789473679,6,266
10812,,,,,,,
10836,9.52631578947368,2.0,2,2,60.75,442,3
10199,31.7692307692308,457.333333333333,7.0,3,0.529761904761905,392,64
11923,,,,,,,
10285,10.857142857142902,291.0,1,3,4.66666666666667,730,24.5
10392,83.1612903225806,18.0,13.5,2,28.548387096774203,18.0,49
11942,,,,,,,
10586,38.85,78.5,9.5,3,45.33974358974355,439,180
11764,2.1666666666666696,64.6666666666669,11.5,2,69.5294117647059,436,48
10735,162.125,251.333333333334,1,2,145.375,752,232.5
9735,0.6,237.0,1,2,0.0,43.5,27.5
11823,7.6,8.66666666666666,1,2,0.4843304843304841,537,18
11562,104.866666666667,68.6666666666668,13.5,2,69.1,191.5,440.0
9870,6.1529411764705895,110.0,5.0,2,33.5333333333333,389,21
10407,23.9565217391304,311.0,11.5,2,25.92307692307689,268.0,286
9663,,,,,,,
10908,,,,,,,
11468,,,,,,,
11202,17.3684210526316,37.0,16.5,3,165.45,330,4
10780,,,,,,,
11163,3.807407407407405,18.0,21.5,4,37.884615384615394,918,361
10438,,,,,,,
10320,,,,,,,
10257,64.0,28.0,2.0,3,80.70833333333334,817.0,4
11924,,,,,,,
