,nuc,aexp,ns,age,asexp,la
1956,,,,,,
1978,1.5,2,1,73.0,0.75,533
2057,,,,,,
2015,,,,,,
2097,,,,,,
2145,,,,,,
2024,,,,,,
2046,,,,,,
2193,,,,,,
2259,,,,,,
2060,,,,,,
2222,,,,,,
2070,,,,,,
1962,,,,,,
1973,71.9375,8,3,33.625,0.0233196159122085,36.0
1993,107.666666666667,143.5,2,31.4444444444444,1.0004920554183598,110
2023,,,,,,
2037,72.5714285714286,42,3,37.9523809523809,0.500005647608916,26.5
2048,,,,,,
2071,,,,,,
2077,,,,,,
2234,,,,,,
2241,,,,,,
2250,,,,,,
2271,,,,,,
2274,,,,,,
2301,,,,,,
1942,,,,,,
2031,,,,,,
2089,,,,,,
2198,,,,,,
2228,,,,,,
2242,,,,,,
2247,,,,,,
2291,,,,,,
2033,28.602564102564106,422,2,182.666666666667,0.0480000000002748,111
2042,,,,,,
2272,,,,,,
2069,,,,,,
2266,,,,,,
1933,86.625,0,7,2.5,0.0,171
1918,,,,,,
1912,,,,,,
1920,,,,,,
2066,5.12549019607843,22,2,163.0,21.0,68
1921,,,,,,
2040,57.0,303.5,7,24.3333333333333,212.0,65
1937,,,,,,
1923,,,,,,
2003,,,,,,
2022,,,,,,
2076,17.4426229508197,287,7,86.27868852459021,227.0,97.0
2041,,,,,,
2067,,,,,,
2101,,,,,,
2087,,,,,,
2189,,,,,,
2220,,,,,,
2199,,,,,,
2263,,,,,,
1988,,,,,,
2363,,,,,,
2217,,,,,,
2341,,,,,,
2171,,,,,,
1951,66.25,0,2,32.25,9.5,4
2138,,,,,,
2106,4.374125874125875,293,7,35.615384615384606,0.01513671875,119
2063,,,,,,
2002,,,,,,
1958,110.0,98.0,7,46.0,86.0,170
2045,56.732142857142854,14.5,7,60.25,6.0,159
2049,42.7727272727273,71.5,2,14.1072796934866,28.0,3
2296,,,,,,
2153,,,,,,
1997,,,,,,
1935,,,,,,
2108,,,,,,
2005,,,,,,
2281,,,,,,
