,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,43.5,269.0,3.5,2.0,2.0,0.75,9.0,1.0,0
1,63.0,77.0,5.5,2.0,10.5,0.87,1.0,26.0,0
2,47.0,312.0,6.0,2.0,2.0,240.0,75.0,3.0,0
3,91.5,283.0,4.25,3.0,7.0,0.87,21.0,7.0,0
4,6.0,354.0,2.5,2.0,8.0,27.0,30.0,9.0,0
5,17.0,474.0,4.0,1.0,10.0,95.0,38.0,17.0,0
6,18.0,475.0,4.0,1.0,2.0,96.0,1.0,1.0,0
7,31.0,476.0,7.0,1.0,1.0,97.0,13.0,6.0,0
8,5.0,321.0,4.0,1.0,0.0,14.0,1.0,1.0,1
9,17.0,153.0,5.0,2.0,7.0,57.0,15.0,7.0,0
10,11.0,155.0,6.0,1.0,2.0,58.0,43.0,25.0,0
11,4.0,534.0,4.0,1.0,1.0,147.0,1.0,1.0,0
12,17.0,538.0,4.0,1.0,2.0,151.0,38.0,2.0,0
13,20.0,540.0,4.5,1.0,12.5,152.0,51.0,22.0,0
14,5.0,544.0,4.0,1.0,8.0,155.0,17.0,5.0,0
15,26.0,545.0,7.0,1.0,0.0,156.0,1.0,1.0,1
16,7.0,552.0,4.0,1.0,25.0,163.0,4.0,4.0,0
17,67.0,553.0,9.0,1.0,1.0,164.0,6.0,3.0,0
18,6.0,556.0,4.0,1.0,8.0,167.0,20.0,4.0,0
19,29.0,567.0,3.25,2.0,23.25,177.0,77.0,10.0,0
20,21.5,568.0,4.5,1.0,2.0,178.0,16.0,9.0,0
21,51.0,578.0,5.5,2.0,3.5,0.0,0.0,15.0,0
22,13.0,168.0,6.0,1.0,0.0,71.0,20.0,17.0,1
23,14.0,589.0,6.0,1.0,9.0,198.0,14.0,5.0,0
24,71.33,142.0,5.33,2.0,0.0,94.0,0.0,11.0,1
25,20.0,145.0,6.0,1.0,0.0,97.0,5.0,4.0,1
26,60.5,175.0,7.0,2.0,2.0,77.0,31.0,17.0,0
27,96.5,325.0,8.0,2.0,0.0,18.0,16.0,7.0,1
28,19.5,648.0,6.0,2.0,13.5,247.0,8.0,2.0,0
29,16.5,386.0,5.5,1.0,17.5,57.0,95.0,3.0,0
30,61.5,156.0,7.5,2.0,22.5,103.0,50.0,8.0,0
31,24.0,186.0,6.0,1.0,5.0,86.0,7.0,0.0,1
32,25.0,158.0,5.5,2.0,4.5,105.0,122.0,24.0,0
33,14.0,387.0,5.0,1.0,19.0,58.0,83.0,35.0,0
34,32.0,389.0,6.5,2.0,11.5,60.0,12.0,2.0,0
35,24.67,391.0,4.67,2.0,0.0,62.0,3.0,17.0,1
36,13.0,672.0,7.0,1.0,13.0,8.0,13.0,11.0,0
37,35.5,69.0,5.5,2.0,12.5,51.0,13.0,5.0,0
38,30.0,35.0,6.5,2.0,8.0,26.0,90.0,80.0,0
39,10.5,681.0,4.5,1.0,44.5,0.0,98.0,0.0,0
40,21.5,683.0,6.0,2.0,2.0,0.0,5.0,1.0,0
41,27.5,51.0,7.0,2.0,14.0,7.0,3.0,3.0,0
42,29.5,47.0,7.5,2.0,4.5,5.0,3.0,3.0,0
43,22.5,198.0,5.5,2.0,17.0,96.0,80.0,2.0,0
44,7.0,199.0,5.0,1.0,4.0,97.0,2.0,1.0,0
45,17.33,53.0,5.0,2.0,18.0,0.5,40.0,2.0,0
46,20.5,347.0,6.5,2.0,8.0,0.0,17.0,5.0,0
47,41.0,348.0,8.0,1.0,5.0,40.0,4.0,0.0,1
48,42.0,349.0,8.0,1.0,0.0,41.0,10.0,1.0,1
49,6.5,180.0,3.5,2.0,9.0,0.0,3.0,3.0,0
50,50.75,353.0,4.5,3.0,5.25,0.0,26.0,5.0,0
51,36.5,131.0,6.0,2.0,6.0,0.5,9.0,1.0,0
52,70.0,398.0,8.5,2.0,6.0,68.0,9.0,1.0,0
53,15.0,401.0,7.0,1.0,12.0,71.0,4.0,4.0,0
54,19.0,211.0,7.0,1.0,5.0,109.0,3.0,0.0,1
55,17.0,357.0,7.0,1.0,20.0,48.0,25.0,9.0,0
56,5.0,359.0,4.0,1.0,1.0,50.0,65.0,46.0,0
57,9.0,402.0,6.0,1.0,18.0,72.0,13.0,6.0,0
58,31.33,216.0,5.67,3.0,5.67,0.0,27.0,3.0,0
59,37.0,740.0,7.5,1.0,2.5,0.0,27.0,0.0,0
60,38.5,741.0,7.5,1.0,0.0,0.0,0.0,27.0,1
61,14.0,101.0,6.0,1.0,21.0,24.0,22.0,9.0,0
62,42.0,147.0,4.67,2.0,1.33,123.0,26.0,7.0,0
63,21.0,97.0,7.0,1.0,11.0,57.0,1.0,1.0,0
64,9.0,747.0,4.0,1.0,7.0,27.0,9.0,3.0,0
65,22.0,205.0,6.0,2.0,3.0,0.0,9.0,2.0,0
66,10.0,207.0,4.0,2.0,13.0,11.0,2.0,2.0,1
67,34.0,363.0,7.5,2.0,5.5,0.0,23.0,10.0,0
68,7.67,752.0,3.0,1.0,22.67,0.0,22.0,37.0,0
69,81.0,366.0,9.0,1.0,7.5,57.0,91.0,43.0,0
70,22.75,220.0,3.5,2.0,10.0,116.0,15.0,5.0,0
71,18.0,152.0,6.0,1.0,12.0,7.0,38.0,0.0,0
72,15.0,403.0,8.0,1.0,23.0,73.0,4.0,1.0,0
73,61.5,122.0,7.5,2.0,15.0,0.75,7.0,2.0,0
74,19.0,226.0,8.0,1.0,13.0,120.0,9.0,0.0,0
75,13.0,405.0,5.0,1.0,2.0,1.0,1.0,1.0,0
76,29.0,116.0,7.0,1.0,7.0,67.0,32.0,16.0,0
77,19.75,415.0,4.0,3.0,5.5,0.0,9.0,13.0,0
78,17.0,212.0,4.5,2.0,6.0,17.0,15.0,16.0,0
79,25.0,213.0,8.0,1.0,0.0,18.0,1.0,1.0,1
80,21.67,434.0,5.0,1.0,13.67,90.0,89.0,44.0,0
81,26.5,443.0,4.5,1.0,0.0,99.0,2.0,2.0,1
82,15.0,123.0,6.0,1.0,3.0,73.0,2.0,1.0,1
83,28.33,814.0,3.0,2.0,30.83,0.0,236.0,0.0,0
84,12.0,449.0,6.0,1.0,30.0,105.0,28.0,26.0,0
85,13.5,453.0,3.5,1.0,3.0,107.0,6.0,0.0,1
86,7.5,454.0,4.0,2.0,23.5,108.0,17.0,69.0,0
87,8.0,834.0,3.0,1.0,0.0,7.0,0.0,12.0,1
88,16.25,461.0,3.5,2.0,12.0,113.0,84.0,15.0,0
89,12.0,462.0,6.0,1.0,3.0,114.0,5.0,0.0,1
90,11.0,468.0,4.0,2.0,19.67,0.0,21.0,7.0,0
91,9.0,132.0,6.0,1.0,0.0,14.0,0.0,1.0,1
92,15.0,133.0,5.0,2.0,0.0,0.25,5.0,33.0,0
93,13.0,477.0,7.0,1.0,23.0,124.0,2.0,2.0,1
94,5.0,860.0,3.0,1.0,2.0,46.0,4.0,0.0,0
95,92.5,489.0,9.5,2.0,5.0,134.0,15.0,0.0,0
96,11.0,491.0,6.0,1.0,26.0,17.0,1.0,0.0,1
97,36.5,896.0,8.0,2.0,18.0,0.0,29.0,1.0,0
98,11.0,159.0,5.0,1.0,0.0,22.0,35.0,1.0,1
99,11.0,371.0,6.0,1.0,5.0,13.0,7.0,0.0,1
100,13.0,911.0,4.0,1.0,6.5,0.0,2.0,2.0,1
101,17.0,252.0,7.0,1.0,24.0,142.0,0.0,31.0,1
102,22.67,45.0,6.0,2.0,23.67,0.29,174.0,1.0,0
103,8.0,504.0,4.0,1.0,15.0,142.0,1.0,0.0,1
104,47.33,373.0,6.0,2.0,2.0,0.48,21.0,15.0,0
105,66.0,162.0,7.0,2.0,1.0,0.25,10.0,2.0,0
106,32.0,925.0,3.67,3.0,10.0,0.0,145.0,6.0,0
107,15.0,926.0,5.5,1.0,20.0,0.0,23.0,4.0,0
108,17.0,10.0,5.33,2.0,6.0,8.0,11.0,14.0,0
109,38.33,93.0,6.67,2.0,0.0,49.0,8.0,8.0,1
110,7.0,96.0,6.0,1.0,8.0,51.0,14.0,3.0,0
111,13.0,206.0,6.0,1.0,14.0,41.0,3.0,3.0,0
112,11.0,20.0,5.0,2.0,9.0,13.0,4.0,1.0,0
113,12.0,215.0,5.5,1.0,16.0,144.0,32.0,23.0,0
114,17.0,220.0,7.0,1.0,3.5,49.0,25.0,20.0,0
115,9.0,145.0,4.0,2.0,13.5,0.03,90.0,2.0,0
116,51.0,59.0,7.5,2.0,10.5,52.0,79.0,0.0,0
117,10.0,223.0,5.0,2.0,14.67,150.0,39.0,45.0,0
118,34.8,190.0,6.2,2.0,17.6,108.0,134.0,14.0,0
119,17.0,208.0,7.5,2.0,30.0,120.0,16.0,23.0,0
120,36.33,235.0,7.67,1.0,0.0,55.0,171.0,35.0,1
121,20.5,258.0,6.5,2.0,15.5,0.03,32.0,34.0,0
122,31.25,25.0,6.25,2.0,10.75,0.5,128.0,41.0,0
123,10.25,279.0,3.5,2.0,30.75,0.03,49.0,18.0,0
124,12.0,126.0,7.0,1.0,17.0,92.0,4.0,1.0,0
125,26.5,289.0,8.0,1.0,21.5,63.0,17.0,8.0,0
126,17.0,256.0,7.0,1.0,8.0,61.0,13.0,5.0,0
127,22.25,52.0,5.0,2.0,17.0,0.26,125.0,10.0,0
128,13.5,71.0,6.0,2.0,6.0,0.48,102.0,2.0,0
129,15.5,304.0,6.5,1.0,7.0,185.0,91.0,6.0,0
130,28.5,327.0,8.5,2.0,20.0,202.0,52.0,42.0,0
131,12.0,288.0,6.0,2.0,2.0,190.0,45.0,0.0,0
132,13.0,289.0,6.0,2.0,0.0,191.0,0.0,45.0,1
133,43.0,336.0,9.5,1.0,4.0,0.03,13.0,12.0,0
