,nuc,aexp,ns,age,asexp,la
2003,,,,,,
1921,,,,,,
2022,,,,,,
2036,,,,,,
2045,,,,,,
2069,,,,,,
1912,,,,,,
1978,,,,,,
2076,,,,,,
2077,,,,,,
2096,,,,,,
2189,,,,,,
2263,,,,,,
2220,,,,,,
2271,,,,,,
1918,,,,,,
1951,,,,,,
1988,,,,,,
2002,,,,,,
2041,,,,,,
2046,,,,,,
2060,,,,,,
2063,,,,,,
2087,,,,,,
2089,,,,,,
2101,,,,,,
2153,,,,,,
2199,,,,,,
2198,,,,,,
2222,,,,,,
2296,,,,,,
2241,,,,,,
2363,,,,,,
2341,,,,,,
1980,,,,,,
2138,71.7,36,1,58.8,0.161784052834264,87
2057,,,,,,
1942,,,,,,
2070,,,,,,
2031,,,,,,
2042,,,,,,
2171,,,,,,
2228,,,,,,
2259,,,,,,
2242,,,,,,
2291,,,,,,
2274,,,,,,
1973,,,,,,
2033,28.602564102564106,422,2,156.012820512821,0.0480000000002748,111
2250,,,,,,
2203,,,,,,
2193,,,,,,
2037,72.5714285714286,42,6,37.9523809523809,0.500005647608916,198
2015,,,,,,
2106,35.8461538461538,293,7,35.615384615384606,0.0500000211350978,119
1962,,,,,,
2108,63.4444444444444,0,7,37.8888888888889,0.0,248
1956,,,,,,
1958,71.0,75,1,46.0,97.5,170
2023,,,,,,
2048,,,,,,
2145,,,,,,
2247,,,,,,
2071,,,,,,
2266,,,,,,
2272,,,,,,
2281,,,,,,
2005,,,,,,
