,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,True
1,0.0,3.0,2.95,0.0,1.0,0.0,3.0,1914.0,0.0,False
2,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,True
3,1.0,5.0,0.0,1.0,1.0,9.0,5.0,1.0,1.0,False
4,1.67,10.0,3.4,0.17,1.0,23.61,10.0,261.0,36.0,False
5,3.0,11.0,0.0,1.0,1.0,34.0,11.0,8.0,1.0,False
6,2.3,12.0,2.47,0.3,1.0,11.5,12.0,262.0,15.0,False
7,1.0,13.0,0.59,0.5,1.0,110.0,13.0,12.0,2.0,False
8,2.36,69.0,2.65,0.21,1.0,62.21,62.0,392.0,205.0,False
9,1.0,17.0,0.0,1.0,1.0,12.0,17.0,0.0,174.0,False
10,2.5,18.0,0.99,1.5,1.0,85.5,18.0,72.0,22.0,False
11,6.0,25.0,0.0,3.0,1.0,0.0,25.0,10.0,9.0,False
12,3.0,23.0,0.0,3.0,1.0,8.0,23.0,14.0,14.0,False
13,4.44,26.0,3.82,0.25,1.0,82.5,26.0,68.0,62.0,False
14,8.4,32.0,1.35,0.8,1.0,17.8,32.0,422.0,142.0,False
15,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,True
16,2.0,3.0,0.0,1.0,1.0,10.0,2.0,43.0,37.0,False
17,3.0,28.0,0.0,1.0,1.0,37.0,17.0,2.0,2.0,False
18,1.94,9.0,3.37,0.17,3.0,27.0,0.5,959.0,434.0,False
19,2.97,10.0,3.61,0.12,1.0,28.48,8.0,997.0,477.0,False
20,4.67,14.0,1.43,1.0,1.0,1.0,12.0,3.0,20.0,False
21,6.5,36.0,0.52,1.5,1.0,4.0,2.0,150.0,22.0,False
22,6.0,38.0,1.42,1.0,1.0,0.75,4.0,150.0,93.0,False
23,3.42,16.0,1.96,0.42,3.0,4.42,0.39,378.0,76.0,False
24,6.0,41.0,0.23,1.5,2.0,7.0,0.0,60.0,20.0,False
25,5.77,37.0,1.75,0.31,3.0,0.23,0.0,168.0,151.0,False
26,4.81,43.0,2.68,0.25,2.0,14.38,0.0,515.0,414.0,False
27,9.33,44.0,0.99,1.33,2.0,7.33,0.01,63.0,17.0,False
28,14.67,52.0,0.53,1.33,2.0,8.0,0.01,102.0,2.0,False
29,13.67,65.0,1.46,1.0,2.0,7.67,0.01,7.0,5.0,False
30,15.33,67.0,1.48,1.0,2.0,0.0,0.01,14.0,2.0,False
31,30.5,32.0,0.47,1.5,2.0,4.5,0.75,20.0,0.0,False
32,15.8,77.0,1.19,0.6,2.0,32.8,0.01,130.0,5.0,False
33,28.67,40.0,0.96,1.33,2.0,44.67,0.75,151.0,117.0,False
34,32.67,41.0,1.4,1.67,2.0,7.33,0.75,24.0,1.0,False
35,21.25,46.0,1.23,0.75,2.0,17.0,0.75,92.0,8.0,False
36,41.5,48.0,0.76,1.5,2.0,59.5,0.75,22.0,1.0,False
37,11.62,50.0,2.1,0.5,3.0,39.75,0.39,308.0,16.0,False
38,11.07,38.5,3.96,0.18,2.0,52.96,0.0,231.0,212.0,False
39,25.2,55.0,1.19,0.8,2.0,8.2,0.75,230.0,19.0,False
40,26.67,59.0,2.17,0.83,2.0,16.0,0.75,306.0,29.0,False
41,8.71,80.0,3.09,0.29,3.0,2.71,0.0,1635.0,7.0,False
42,10.1,61.0,3.39,0.2,2.0,11.4,0.75,1450.0,190.0,False
43,37.0,65.0,0.62,1.0,2.0,58.0,0.75,182.0,128.0,False
44,19.56,67.0,2.55,0.44,2.0,2.11,0.75,105.0,39.0,False
45,66.0,76.0,0.99,1.5,2.0,9.0,0.75,4.0,7.0,False
46,36.33,92.0,2.07,0.83,2.0,26.67,0.75,114.0,108.0,False
47,52.0,95.0,1.48,1.0,2.0,11.0,0.01,15.0,2.0,False
48,23.11,104.0,1.03,0.56,3.0,16.78,0.39,542.0,157.0,False
49,86.5,35.0,0.92,2.0,2.0,6.0,0.0,3.0,0.0,False
50,61.33,36.0,1.06,1.67,2.0,4.0,0.0,22.0,4.0,False
51,20.47,41.0,2.72,0.27,2.0,19.53,0.0,128.0,66.0,False
52,13.25,114.0,2.11,0.25,2.0,32.75,0.75,1826.0,168.0,False
53,47.75,44.0,1.6,1.0,2.0,33.5,0.0,26.0,1.0,False
54,10.58,46.0,3.66,0.17,1.0,0.0,25.0,341.0,461.0,False
55,43.8,46.0,1.57,0.8,2.0,25.8,0.0,67.0,36.0,False
56,52.5,49.0,1.47,1.0,2.0,42.0,0.0,137.0,5.0,False
57,0.0,50.0,1.04,0.0,1.0,0.0,30.0,659.0,0.0,False
58,25.21,120.0,3.45,0.29,2.0,38.14,0.75,131.0,78.0,False
59,16.05,125.0,4.13,0.11,2.0,27.87,0.75,534.0,387.0,False
60,47.2,127.0,0.93,0.8,2.0,91.2,0.75,7.0,77.0,False
61,12.95,54.0,3.17,0.19,2.0,29.24,0.0,1787.0,722.0,False
62,79.33,132.0,1.17,1.33,2.0,0.67,0.75,36.0,6.0,False
63,62.25,135.5,1.96,1.25,2.0,2.25,0.75,9.0,3.0,False
64,67.25,137.5,1.09,1.0,2.0,2.75,0.75,42.0,3.0,False
65,134.0,98.5,0.42,2.5,2.0,21.5,0.01,58.0,13.0,False
66,69.75,149.5,1.08,1.25,2.0,23.25,0.75,109.0,28.0,False
67,86.67,99.0,1.26,1.67,2.0,58.67,0.01,65.0,4.0,False
68,17.7,151.5,2.64,0.17,3.0,34.53,0.39,1216.0,592.0,False
69,38.56,150.0,2.31,0.56,2.0,34.89,0.75,317.0,35.0,False
70,130.0,101.0,0.85,2.5,2.0,2.0,0.01,7.0,4.0,False
71,22.04,159.0,3.54,0.23,2.0,140.54,0.75,929.0,79.0,False
72,16.6,50.0,2.16,0.27,1.0,89.93,36.0,584.0,274.0,False
73,140.5,8.5,0.97,2.5,2.0,7.0,0.13,4.0,1.0,False
74,145.5,158.0,0.97,2.5,2.0,98.0,0.75,5.0,0.0,False
75,158.0,160.0,0.26,2.5,2.0,1.0,0.75,43.0,25.0,False
76,159.0,161.0,0.72,2.5,2.0,2.0,0.75,4.0,6.0,False
77,160.0,162.0,0.33,2.5,2.0,0.0,0.75,19.0,14.0,False
78,83.25,61.5,1.66,1.25,2.0,59.0,0.0,79.0,43.0,False
79,109.67,161.0,0.58,2.0,2.0,61.67,0.75,87.0,57.0,False
80,147.0,88.0,0.99,3.0,2.0,0.0,0.01,20.0,11.0,False
81,147.0,89.0,0.1,3.0,2.0,13.5,0.01,3.0,236.0,False
82,39.38,63.33,1.18,0.75,2.0,180.62,0.0,74.0,364.0,False
83,68.67,66.33,1.76,1.17,2.0,31.67,0.0,142.0,16.0,False
84,33.82,166.5,2.44,0.35,3.0,35.71,0.39,860.0,453.0,False
85,162.0,168.5,0.88,3.0,2.0,43.5,0.75,6.0,4.0,False
86,63.38,169.5,1.44,0.88,3.0,43.75,0.39,216.0,141.0,False
87,126.33,165.0,1.33,2.33,2.0,12.67,0.75,7.0,6.0,False
88,166.5,68.83,0.16,3.0,2.0,78.5,0.0,2.0,87.0,False
89,20.67,69.67,3.74,0.17,3.0,75.33,0.0,485.0,249.0,False
90,70.0,70.67,0.72,1.0,2.0,18.0,0.0,224.0,13.0,False
91,180.5,12.17,0.78,3.0,2.0,22.5,0.13,12.0,1.0,False
92,26.67,86.0,3.7,0.33,2.0,104.56,0.01,43.0,92.0,False
93,68.17,72.33,2.2,1.0,2.0,95.67,0.0,15.0,6.0,False
94,187.0,193.5,0.49,3.0,2.0,204.5,0.75,28.0,0.0,False
95,110.25,5.0,1.18,1.5,2.0,37.0,1.94,220.0,1.0,False
96,24.83,12.5,3.17,0.33,3.0,109.0,0.02,912.0,271.0,False
97,57.0,94.17,2.31,0.6,2.0,85.3,0.01,180.0,13.0,False
98,201.5,96.17,0.62,3.0,2.0,13.0,0.01,6.0,7.0,False
99,43.3,62.33,2.18,0.6,2.0,146.9,0.0,162.0,15.0,False
100,12.66,95.0,4.36,0.17,2.0,113.66,0.01,2075.0,299.0,False
101,120.0,97.83,1.34,1.5,2.0,209.5,0.01,62.0,3.0,False
102,124.0,98.83,1.48,1.5,2.0,71.75,0.01,110.0,19.0,False
103,11.52,65.0,4.33,0.15,2.0,37.83,0.0,2218.0,971.0,False
104,67.5,65.83,2.72,0.88,2.0,6.38,0.0,469.0,83.0,False
105,46.91,146.17,2.83,0.64,2.0,163.91,0.75,166.0,25.0,False
106,139.0,62.33,1.17,1.75,2.0,91.25,0.0,149.0,32.0,False
107,167.0,13.33,0.24,2.67,2.0,0.67,0.13,92.0,0.0,False
108,110.2,1.0,1.89,1.8,2.0,52.2,1.0,187.0,13.0,False
109,171.33,2.0,0.72,3.0,2.0,28.0,1.5,29.0,0.0,False
110,0.0,4.0,0.0,0.0,1.0,0.0,3.0,24.0,0.0,False
111,185.67,13.92,0.57,3.0,2.0,0.0,0.13,28.0,1.0,False
112,48.86,62.67,3.0,0.64,2.0,41.29,0.0,135.0,91.0,False
113,175.0,63.33,1.2,3.0,2.0,155.33,0.0,33.0,4.0,False
114,265.0,88.5,0.68,4.5,2.0,35.0,0.01,18.0,4.0,False
115,180.67,12.0,0.98,3.0,2.0,25.0,2.0,74.0,44.0,False
116,72.57,84.58,2.04,1.29,2.0,0.0,0.01,989.0,0.0,False
117,65.44,127.0,2.81,1.11,4.0,274.67,0.27,105.0,6.0,False
118,282.5,134.75,1.0,4.5,2.0,8.0,0.75,4.0,4.0,False
119,137.0,86.5,1.15,2.25,2.0,46.75,0.01,33.0,12.0,False
120,273.5,88.5,1.0,4.5,2.0,470.5,0.01,4.0,0.0,False
121,149.0,8.0,1.39,2.25,2.0,38.5,1.96,216.0,7.0,False
122,30.59,91.25,4.12,0.26,2.0,210.85,0.01,35.0,181.0,False
123,59.62,98.75,2.45,0.77,4.0,151.69,0.0,16.0,1418.0,False
124,315.0,101.83,0.53,4.5,2.0,2.5,0.01,7.0,18.0,False
125,207.33,102.83,0.74,3.0,2.0,23.67,0.01,181.0,7.0,False
126,301.0,103.83,0.95,4.5,2.0,99.0,0.01,3.0,5.0,False
127,295.5,104.83,1.0,4.5,2.0,99.0,0.01,2.0,2.0,False
128,138.8,148.5,0.89,1.8,2.0,17.0,0.75,119.0,6.0,False
129,130.6,18.0,1.03,1.8,2.0,12.0,1.97,298.0,31.0,False
130,163.75,151.5,1.17,2.25,2.0,24.75,0.75,116.0,6.0,False
131,7.34,115.33,4.94,0.1,2.0,208.39,0.01,869.0,594.0,False
132,315.5,60.43,0.06,4.5,2.0,30.0,0.0,165.0,120.0,False
133,230.0,118.0,1.35,3.0,2.0,40.67,0.01,7.0,2.0,False
134,63.42,21.0,3.27,0.75,2.0,245.33,1.97,65.0,18.0,False
135,174.75,152.75,0.88,2.25,2.0,147.5,0.75,42.0,15.0,False
136,87.8,123.5,1.48,0.9,2.0,91.1,0.01,447.0,18.0,False
137,186.5,126.17,1.29,2.25,2.0,40.0,0.01,42.0,1.0,False
138,185.75,32.0,0.7,2.5,3.0,42.5,1.0,142.0,3.0,False
139,331.5,13.67,0.13,4.5,2.0,7.0,2.0,105.0,11.0,False
