,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,0.72,4.0,3.36,2.0,0.0,0.94,174.0,66.0,False
1,3.64,8.0,2.7,2.0,0.0,1.03,199.0,108.0,False
2,2.88,19.0,4.99,2.0,0.02,0.25,165.0,111.0,False
3,0.0,20.0,3.44,1.0,0.0,0.0,1003.0,0.0,True
4,0.0,114.0,3.46,1.0,0.0,0.0,1096.0,0.0,True
5,0.0,12.0,2.66,1.0,0.0,0.0,600.0,0.0,True
6,3.15,198.0,3.54,1.0,0.0,118.0,603.0,3.0,False
7,0.0,201.0,3.82,1.0,0.0,0.0,1117.0,0.0,True
8,3.38,265.0,3.7,3.0,0.29,0.0,230.0,93.0,False
9,0.67,338.0,3.12,1.0,0.0,34.0,434.0,138.0,False
10,3.8,342.0,2.68,2.0,22.8,0.22,89.0,5.0,False
11,0.0,373.0,2.49,2.0,0.0,0.22,323.0,0.0,True
12,0.67,434.0,2.34,2.0,7.83,0.22,207.0,48.0,False
13,4.33,454.0,3.77,3.0,9.47,0.05,875.0,196.0,False
14,6.0,737.0,2.69,2.0,10.5,0.22,159.0,32.0,False
15,6.3,749.0,2.31,2.0,17.6,0.22,437.0,121.0,False
16,8.64,777.0,2.87,2.0,24.18,0.22,417.0,74.0,False
17,7.95,786.0,3.47,2.0,33.91,0.22,301.0,31.0,False
18,4.86,1.0,3.35,1.0,11.14,1.0,660.0,294.0,False
19,3.23,159.0,3.52,2.0,1.08,0.44,44.0,47.0,False
20,8.8,319.0,4.36,2.0,53.74,0.44,1040.0,186.0,False
21,4.31,342.0,3.12,2.0,32.31,0.99,94.0,73.0,False
22,5.38,825.5,2.58,2.0,54.12,0.22,273.0,23.0,False
23,9.54,372.0,3.32,2.0,23.23,0.44,387.0,60.0,False
24,7.63,392.0,3.74,2.0,39.93,0.99,918.0,119.0,False
25,0.81,770.5,3.46,1.0,0.0,439.0,505.0,29.0,False
26,21.75,465.0,2.52,2.0,39.75,0.99,54.0,23.0,False
27,2.8,165.0,2.73,1.0,111.9,92.0,614.0,84.0,False
28,6.36,169.0,3.21,2.0,73.09,1.25,35.0,35.0,False
29,7.74,171.0,4.01,2.0,95.63,1.25,26.0,30.0,False
30,9.91,111.0,2.62,2.0,4.91,0.7,196.0,7.0,False
31,0.0,591.0,3.25,1.0,0.0,371.0,407.0,0.0,False
32,16.03,726.5,4.48,2.0,85.69,0.22,123.0,90.0,False
33,9.21,777.0,3.45,2.0,2.37,0.99,54.0,160.0,False
34,0.4,179.0,2.23,2.0,10.6,0.7,182.0,85.0,False
35,2.86,617.5,2.38,2.0,3.43,0.44,424.0,0.0,False
36,16.59,860.0,3.53,2.0,26.59,0.99,544.0,208.0,False
