,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,0.0,0.0,5.07,1.0,0.0,0.0,2295.0,0.0,True
1,2.31,12.0,3.27,2.0,0.0,0.25,343.0,94.0,False
2,2.78,21.0,3.58,2.0,0.0,0.25,393.0,180.0,False
3,4.29,14.0,1.54,2.0,0.0,1.03,298.0,162.0,False
4,2.17,40.0,2.27,3.0,0.0,0.06,110.0,77.0,False
5,0.0,20.0,3.44,1.0,0.0,0.0,1003.0,0.0,True
6,1.65,28.0,2.98,2.0,0.12,1.0,350.0,168.0,False
7,1.52,94.0,3.74,2.0,1.41,0.22,1664.0,63.0,False
8,0.0,114.0,3.46,1.0,0.0,0.0,1096.0,0.0,True
9,0.0,140.0,3.55,1.0,0.0,0.0,2192.0,0.0,True
10,7.09,67.0,2.82,4.0,3.0,0.33,246.0,129.0,False
11,0.0,201.0,3.82,1.0,0.0,0.0,1117.0,0.0,True
12,2.69,71.0,3.26,2.0,0.0,0.0,647.0,0.0,False
13,3.89,243.0,2.59,2.0,2.56,0.22,200.0,32.0,False
14,2.8,245.0,3.2,2.0,1.7,0.0,362.0,34.0,False
15,8.6,79.0,2.8,2.0,10.1,1.0,401.0,49.0,False
16,0.0,262.0,4.57,1.0,0.0,0.0,1812.0,0.0,True
17,1.68,270.0,3.44,1.0,0.0,3.0,646.0,202.0,False
18,4.5,296.0,2.41,2.0,5.5,0.22,330.0,8.0,False
19,0.0,0.0,2.46,2.0,0.0,0.0,1520.0,0.0,True
20,3.37,323.0,3.08,4.0,1.58,0.0,1949.0,84.0,False
21,0.0,373.0,2.49,2.0,0.0,0.22,323.0,0.0,True
22,5.5,386.0,3.66,3.0,0.31,0.06,605.0,22.0,False
23,5.32,401.0,5.23,4.0,12.28,0.02,1616.0,154.0,False
24,5.9,451.0,3.76,2.0,12.33,0.22,565.0,89.0,False
25,0.52,453.0,4.27,2.0,5.04,0.22,929.0,111.0,False
26,2.77,461.0,4.41,2.0,5.34,0.22,579.0,286.0,False
27,0.11,466.0,2.66,2.0,3.22,0.22,257.0,4.0,False
28,16.82,541.0,2.54,2.0,3.45,0.22,355.0,129.0,False
29,0.83,615.0,4.07,2.0,2.88,0.22,1805.0,12.0,False
30,13.52,639.0,3.34,4.0,10.48,0.02,241.0,85.0,False
31,5.35,645.0,4.67,2.0,12.68,0.22,294.0,181.0,False
32,17.44,13.0,2.49,3.0,22.67,0.39,83.0,33.0,False
33,0.88,21.0,2.72,1.0,0.25,9.0,547.0,181.0,False
34,2.29,724.0,3.25,2.0,12.07,0.22,432.0,2.0,False
35,4.8,757.0,1.82,2.0,7.8,0.22,266.0,25.0,False
36,1.29,22.0,3.97,1.0,10.71,10.0,889.0,72.0,False
37,8.64,777.0,2.87,2.0,24.18,0.22,417.0,74.0,False
38,1.57,788.0,2.7,2.0,18.29,0.22,237.0,21.0,False
39,22.5,29.0,2.62,3.0,38.9,0.39,71.0,36.0,False
40,8.71,71.0,1.97,3.0,34.57,0.49,332.0,32.0,False
41,4.86,1.0,3.35,1.0,11.14,1.0,660.0,294.0,False
42,8.45,73.0,3.14,2.0,7.18,1.25,323.0,7.0,False
43,1.14,283.0,3.37,1.0,56.14,11.0,571.0,215.0,False
44,2.05,881.5,3.65,1.0,3.7,422.0,887.0,0.0,False
45,8.8,319.0,4.36,2.0,53.74,0.44,1040.0,186.0,False
