,nuc,aexp,ns,age,asexp,la
1942,,,,,,
2002,,,,,,
1993,,,,,,
1958,,,,,,
2023,,,,,,
2046,,,,,,
2045,,,,,,
2042,,,,,,
2108,,,,,,
2189,,,,,,
2198,,,,,,
2220,,,,,,
2138,,,,,,
2242,,,,,,
1962,,,,,,
1973,,,,,,
1933,,,,,,
1988,,,,,,
2048,,,,,,
2145,,,,,,
2033,,,,,,
2037,72.5714285714286,42,3,37.9523809523809,0.500005647608916,2
2234,,,,,,
2041,,,,,,
2087,,,,,,
2071,,,,,,
2024,,,,,,
2089,,,,,,
2069,,,,,,
2217,,,,,,
2247,,,,,,
2363,,,,,,
1935,,,,,,
2005,,,,,,
2067,,,,,,
2063,,,,,,
2070,,,,,,
2199,,,,,,
2241,,,,,,
2341,,,,,,
2266,,,,,,
2250,,,,,,
2272,,,,,,
1923,,,,,,
1918,,,,,,
1937,,,,,,
2031,,,,,,
2228,54.4814814814815,11,2,13.333333333333302,0.99365234375,4.0
2171,,,,,,
2274,45.9583333333333,47,1,50.0833333333333,0.333272298177086,14.0
2022,21.466666666666697,82,2,55.4,66.0,16.0
2222,20.461538461538503,48,1,15.2307692307692,0.161784052853271,15.0
2271,,,,,,
2281,,,,,,
2291,,,,,,
