,nuc,arexp,ent,ndev,ns,age,asexp,la,ld
675,12.0588235294118,1.0,2.8364041766352304,1.88235294117647,3,7.17647058823529,0.333333333333333,30.4169921875,519
681,1.65,4.0,2.8048834082216,0.25,1,14.2,4.0,36.829025745391846,106
682,1.69565217391304,13.0,2.7392801224367203,0.565217391304348,8,13.9565217391304,0.0019874722711392,30.454833984375,21
700,2.28571428571429,1.0,2.52943682194871,0.6428571428571429,2,13.0714285714286,0.5,30.355224609375,5
718,2.0,0.5,4.01681850331082,0.4583333333333329,2,30.2916666666667,0.0,30.482177734375,52
734,8.0,24.0,0.3776463213736999,2.0,2,4.5,0.0004482269287109,40.999995708465576,0
749,4.142857142857141,20.3333333333333,2.04771001032691,0.5714285714285711,7,24.71428571428569,2.27157071538321e-07,30.494269967079163,7
760,7.4,18.6666666666667,2.16927918690222,2.4,2,49.8,0.0036802291870117,88.49232482910156,6
755,15.555555555555598,30.0,3.69489932060078,2.27777777777778,5,31.4444444444444,0.0080000049232347,28.499390959739685,61
797,4.6153846153846105,26.3333333333333,3.84248505701486,0.8461538461538459,2,21.6538461538462,0.0002479553222656,18.82080078125,88
827,5.4,3.1666666666666696,3.8939962987857206,1.1,3,94.5333333333333,0.0018289894833104,30.421875,29
