,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.94,9.0,3.37,0.17,3.0,27.0,0.5,959.0,434.0,True
1,3.42,16.0,1.96,0.42,3.0,4.42,0.39,378.0,76.0,True
2,5.77,37.0,1.75,0.31,3.0,0.23,0.0,168.0,151.0,True
3,6.2,43.0,1.71,0.4,3.0,6.5,0.0,727.0,438.0,True
4,5.29,61.0,2.58,0.29,4.0,6.57,0.0,1455.0,12.0,True
5,12.67,63.0,1.32,1.33,3.0,28.67,0.0,31.0,1.0,True
6,12.27,33.0,2.22,0.45,3.0,30.18,0.39,389.0,155.0,True
7,18.57,47.0,1.63,0.57,3.0,24.29,0.39,155.0,98.0,True
8,11.62,50.0,2.1,0.5,3.0,39.75,0.39,308.0,16.0,True
9,8.71,80.0,3.09,0.29,3.0,2.71,0.0,1635.0,7.0,True
10,12.64,91.0,3.38,0.29,3.0,30.79,0.0,217.0,67.0,True
11,35.67,96.0,2.18,0.83,4.0,48.17,0.33,21.0,19.0,True
12,23.11,104.0,1.03,0.56,3.0,16.78,0.39,542.0,157.0,True
13,15.77,100.5,3.94,0.19,3.0,106.65,0.0,1016.0,513.0,True
14,25.4,2.0,2.65,0.47,4.0,303.53,0.62,487.0,193.0,True
15,29.0,4.0,2.27,0.38,3.0,379.69,0.99,487.0,430.0,True
16,20.67,69.67,3.74,0.17,3.0,75.33,0.0,485.0,249.0,True
17,24.83,12.5,3.17,0.33,3.0,109.0,0.02,912.0,271.0,True
18,106.25,96.83,1.72,1.5,3.0,163.0,0.0,14.0,8.0,True
19,109.4,94.0,2.01,1.4,3.0,150.0,0.0,12.0,7.0,True
20,149.5,3.0,0.5,2.5,3.0,80.75,0.96,5.0,214.0,True
21,65.44,127.0,2.81,1.11,4.0,274.67,0.27,105.0,6.0,True
22,90.14,89.5,1.94,1.29,3.0,56.86,0.0,373.0,4.0,True
23,117.5,120.0,1.44,1.5,3.0,86.33,0.0,90.0,40.0,True
24,185.75,32.0,0.7,2.5,3.0,42.5,1.0,142.0,3.0,True
25,72.45,114.52,1.99,0.91,3.0,133.09,0.0,147.0,11.0,True
26,73.92,0.0,2.67,0.75,3.0,302.5,0.0,1588.0,170.0,True
27,174.5,120.65,2.04,2.17,4.0,419.17,0.0,62.0,6.0,True
28,209.8,5.0,1.68,2.4,3.0,90.8,0.99,190.0,94.0,True
29,61.07,26.0,4.1,0.46,3.0,150.29,1.0,834.0,124.0,True
30,80.8,6.0,2.41,1.0,3.0,426.07,0.66,341.0,57.0,True
31,23.8,26.0,5.07,0.25,4.0,624.24,0.68,276.0,168.0,True
32,88.0,42.0,3.1,1.07,4.0,397.33,0.68,233.0,117.0,True
33,85.43,100.63,2.87,0.71,4.0,47.05,0.0,56.0,20.0,True
34,69.12,17.0,3.44,0.69,3.0,276.12,1.0,779.0,104.0,True
35,27.17,4.0,2.9,2.67,3.0,45.92,0.6,784.0,74.0,True
36,27.68,1.0,2.62,2.42,3.0,531.53,0.67,280.0,1.0,True
37,13.3,16.0,4.01,1.12,5.0,5.3,0.25,2583.0,78.0,True
38,0.83,5.0,2.27,0.67,4.0,1.5,0.0,89.0,30.0,True
39,5.63,17.0,3.84,0.91,5.0,0.6,0.01,2918.0,220.0,True
40,147.55,5.84,0.55,2.46,3.0,79.97,0.93,17.06,207.12,True
41,99.17,76.34,1.72,1.47,3.0,60.49,0.15,317.01,35.95,True
42,119.34,46.96,1.23,1.88,3.0,68.61,0.47,192.0,107.29,True
43,101.82,72.48,1.65,1.52,3.0,61.56,0.19,300.61,45.31,True
44,133.84,25.82,0.88,2.18,3.0,74.45,0.71,102.1,158.59,True
45,103.78,69.63,1.61,1.56,3.0,62.34,0.22,288.48,52.23,True
46,91.58,87.4,1.9,1.32,3.0,57.44,0.02,364.07,9.09,True
47,108.45,62.82,1.49,1.66,3.0,64.23,0.3,259.49,68.78,True
48,106.33,65.92,1.55,1.62,3.0,63.37,0.26,272.67,61.26,True
49,141.34,14.9,0.7,2.33,3.0,77.46,0.83,55.62,185.11,True
50,92.09,86.67,1.89,1.33,3.0,57.64,0.03,360.95,10.87,True
51,95.53,81.65,1.81,1.4,3.0,59.03,0.09,339.59,23.07,True
52,98.57,77.22,1.73,1.46,3.0,60.25,0.14,320.74,33.82,True
53,149.24,3.38,0.51,2.49,3.0,80.65,0.96,6.6,213.09,True
54,112.06,57.56,1.41,1.73,3.0,65.68,0.36,237.11,81.55,True
55,95.45,81.76,1.81,1.39,3.0,58.99,0.09,340.08,22.79,True
56,117.1,50.22,1.28,1.84,3.0,67.71,0.44,205.88,99.36,True
57,133.35,26.53,0.89,2.17,3.0,74.25,0.7,105.11,156.87,True
58,119.84,46.22,1.22,1.89,3.0,68.81,0.48,188.88,109.07,True
59,137.91,19.89,0.78,2.26,3.0,76.08,0.77,76.88,172.98,True
60,103.91,69.44,1.6,1.57,3.0,62.4,0.22,287.66,52.7,True
61,141.87,14.12,0.69,2.34,3.0,77.68,0.84,52.33,186.99,True
62,110.38,60.01,1.45,1.7,3.0,65.0,0.33,247.56,75.58,True
63,91.61,87.37,1.9,1.32,3.0,57.45,0.02,363.92,9.18,True
64,113.71,55.16,1.37,1.77,3.0,66.34,0.38,226.9,87.37,True
65,102.89,70.93,1.63,1.55,3.0,61.99,0.21,294.0,49.08,True
66,96.0,80.96,1.8,1.41,3.0,59.22,0.1,336.68,24.73,True
67,118.14,48.7,1.26,1.86,3.0,68.13,0.45,199.44,103.04,True
68,95.98,80.99,1.8,1.41,3.0,59.21,0.09,336.81,24.65,True
69,137.49,20.51,0.79,2.25,3.0,75.91,0.77,79.47,171.5,True
70,121.86,43.28,1.17,1.93,3.0,69.62,0.51,176.37,116.21,True
71,98.83,76.84,1.73,1.46,3.0,60.35,0.14,319.16,34.72,True
72,99.28,76.18,1.72,1.47,3.0,60.54,0.15,316.33,36.34,True
73,104.81,68.12,1.58,1.59,3.0,62.76,0.24,282.04,55.9,True
74,98.31,77.59,1.74,1.45,3.0,60.15,0.13,322.35,32.9,True
75,118.99,47.47,1.24,1.88,3.0,68.47,0.47,194.17,106.05,True
76,135.77,23.01,0.83,2.22,3.0,75.22,0.74,90.14,165.42,True
77,144.71,9.98,0.62,2.4,3.0,78.82,0.89,34.69,197.06,True
78,142.02,13.9,0.68,2.35,3.0,77.74,0.84,51.38,187.53,True
79,119.76,46.34,1.22,1.89,3.0,68.78,0.48,189.36,108.79,True
80,129.92,31.53,0.97,2.1,3.0,72.87,0.65,126.38,144.73,True
81,137.47,20.52,0.79,2.25,3.0,75.91,0.77,79.56,171.45,True
82,91.46,87.58,1.91,1.31,3.0,57.39,0.02,364.83,8.66,True
83,103.71,69.73,1.61,1.56,3.0,62.32,0.22,288.88,52.0,True
84,131.29,29.54,0.94,2.13,3.0,73.42,0.67,117.92,149.56,True
85,107.68,63.94,1.51,1.64,3.0,63.92,0.28,264.27,66.04,True
86,129.06,32.78,1.0,2.08,3.0,72.52,0.63,131.69,141.7,True
87,131.31,29.51,0.94,2.13,3.0,73.43,0.67,117.79,149.64,True
88,95.91,81.09,1.8,1.4,3.0,59.18,0.09,337.24,24.41,True
89,121.55,43.73,1.18,1.93,3.0,69.5,0.51,178.28,115.12,True
90,136.79,21.52,0.81,2.24,3.0,75.63,0.76,83.79,169.04,True
91,140.64,15.91,0.72,2.32,3.0,77.18,0.82,59.93,182.65,True
92,137.3,20.78,0.8,2.25,3.0,75.84,0.77,80.64,170.84,True
93,147.56,5.82,0.55,2.46,3.0,79.97,0.93,17.0,207.15,True
94,143.14,12.27,0.65,2.37,3.0,78.19,0.86,44.42,191.51,True
95,116.89,50.52,1.29,1.83,3.0,67.62,0.43,207.16,98.64,True
96,121.88,43.25,1.17,1.94,3.0,69.63,0.52,176.22,116.29,True
97,97.1,79.37,1.77,1.43,3.0,59.66,0.11,329.88,28.6,True
98,134.07,25.48,0.87,2.18,3.0,74.54,0.71,100.65,159.41,True
99,112.74,56.56,1.39,1.75,3.0,65.95,0.37,232.87,83.96,True
100,90.31,89.26,1.93,1.29,3.0,56.92,0.0,371.97,4.59,True
101,115.76,52.17,1.32,1.81,3.0,67.17,0.42,214.18,94.63,True
102,110.48,59.86,1.44,1.7,3.0,65.04,0.33,246.9,75.96,True
103,106.58,65.55,1.54,1.62,3.0,63.47,0.27,271.12,62.14,True
104,107.22,64.62,1.52,1.64,3.0,63.73,0.28,267.14,64.41,True
105,98.88,76.77,1.73,1.46,3.0,60.37,0.14,318.84,34.9,True
106,129.99,31.44,0.97,2.1,3.0,72.9,0.65,125.98,144.96,True
107,105.75,66.75,1.56,1.61,3.0,63.14,0.25,276.21,59.23,True
108,99.25,76.23,1.72,1.47,3.0,60.52,0.15,316.55,36.21,True
109,148.76,4.08,0.52,2.48,3.0,80.45,0.95,9.59,211.38,True
110,99.64,75.66,1.71,1.48,3.0,60.68,0.15,314.12,37.6,True
111,91.85,87.02,1.9,1.32,3.0,57.54,0.03,362.44,10.02,True
112,112.23,57.32,1.4,1.74,3.0,65.75,0.36,236.1,82.12,True
113,127.75,34.69,1.03,2.06,3.0,72.0,0.61,139.82,137.06,True
114,114.4,54.15,1.35,1.78,3.0,66.62,0.39,222.6,89.83,True
115,147.33,6.17,0.55,2.46,3.0,79.88,0.93,18.47,206.32,True
116,137.9,19.91,0.78,2.26,3.0,76.08,0.77,76.93,172.95,True
117,133.11,26.89,0.9,2.16,3.0,74.15,0.7,106.64,156.0,True
118,94.68,82.89,1.83,1.38,3.0,58.68,0.07,344.9,20.04,True
119,134.73,24.53,0.86,2.2,3.0,74.8,0.72,96.59,161.73,True
120,126.75,36.15,1.05,2.03,3.0,71.59,0.59,146.05,133.51,True
121,106.08,66.28,1.55,1.61,3.0,63.27,0.26,274.22,60.37,True
122,134.31,25.13,0.87,2.19,3.0,74.64,0.72,99.15,160.28,True
123,106.57,65.56,1.54,1.62,3.0,63.47,0.27,271.16,62.12,True
124,115.26,52.9,1.33,1.8,3.0,66.97,0.41,217.31,92.85,True
125,141.03,15.35,0.71,2.33,3.0,77.34,0.83,57.52,184.03,True
126,134.74,24.51,0.86,2.2,3.0,74.81,0.72,96.52,161.78,True
127,116.42,51.21,1.3,1.82,3.0,67.43,0.43,210.08,96.97,True
128,126.64,36.31,1.05,2.03,3.0,71.55,0.59,146.72,133.13,True
129,134.9,24.27,0.85,2.2,3.0,74.87,0.73,95.49,162.36,True
130,95.47,81.73,1.81,1.39,3.0,59.0,0.09,339.96,22.85,True
131,105.83,66.63,1.56,1.61,3.0,63.17,0.25,275.72,59.52,True
132,107.18,64.68,1.52,1.63,3.0,63.71,0.28,267.39,64.26,True
133,146.38,7.55,0.58,2.44,3.0,79.49,0.91,24.36,202.95,True
134,127.42,35.18,1.04,2.05,3.0,71.86,0.6,141.91,135.87,True
135,132.84,27.27,0.9,2.16,3.0,74.05,0.69,108.27,155.07,True
136,144.39,10.44,0.62,2.4,3.0,78.69,0.88,36.66,195.93,True
137,91.02,88.22,1.92,1.3,3.0,57.21,0.01,367.57,7.1,True
138,103.98,69.34,1.6,1.57,3.0,62.43,0.22,287.21,52.95,True
139,135.63,23.21,0.84,2.22,3.0,75.17,0.74,90.99,164.93,True
140,101.7,72.66,1.66,1.52,3.0,61.51,0.19,301.35,44.89,True
141,140.9,15.54,0.71,2.32,3.0,77.29,0.82,58.34,183.56,True
142,126.74,36.17,1.05,2.03,3.0,71.59,0.59,146.12,133.47,True
143,143.45,11.81,0.65,2.38,3.0,78.32,0.86,42.5,192.6,True
144,100.52,74.38,1.69,1.5,3.0,61.03,0.17,308.68,40.7,True
145,122.2,42.79,1.16,1.94,3.0,69.76,0.52,174.27,117.4,True
146,97.49,78.79,1.76,1.44,3.0,59.82,0.12,327.44,30.0,True
147,125.41,38.11,1.08,2.01,3.0,71.05,0.57,154.37,128.76,True
148,117.69,49.36,1.27,1.85,3.0,67.95,0.45,202.22,101.46,True
149,104.88,68.03,1.58,1.59,3.0,62.79,0.24,281.65,56.13,True
150,113.76,55.08,1.37,1.77,3.0,66.36,0.38,226.59,87.55,True
151,132.39,27.94,0.91,2.15,3.0,73.86,0.69,111.1,153.46,True
152,145.38,9.0,0.6,2.42,3.0,79.09,0.9,30.54,199.43,True
153,135.02,24.11,0.85,2.2,3.0,74.92,0.73,94.79,162.76,True
154,141.68,14.4,0.69,2.34,3.0,77.6,0.84,53.51,186.32,True
155,90.19,89.44,1.94,1.29,3.0,56.87,0.0,372.73,4.15,True
156,138.52,19.0,0.77,2.28,3.0,76.33,0.78,73.05,175.17,True
157,118.68,47.92,1.25,1.87,3.0,68.34,0.46,196.1,104.95,True
158,110.23,60.23,1.45,1.7,3.0,64.94,0.33,248.48,75.06,True
159,110.88,59.28,1.44,1.71,3.0,65.2,0.34,244.45,77.36,True
160,124.23,39.82,1.11,1.98,3.0,70.58,0.55,161.64,124.61,True
161,96.72,79.91,1.78,1.42,3.0,59.51,0.11,332.2,27.28,True
162,126.01,37.23,1.07,2.02,3.0,71.29,0.58,150.64,130.89,True
163,133.7,26.02,0.88,2.18,3.0,74.39,0.71,102.93,158.12,True
164,99.26,76.21,1.72,1.47,3.0,60.53,0.15,316.46,36.27,True
165,121.6,43.66,1.18,1.93,3.0,69.52,0.51,177.99,115.28,True
166,126.97,35.83,1.05,2.04,3.0,71.68,0.6,144.67,134.3,True
167,118.96,47.51,1.24,1.88,3.0,68.46,0.47,194.35,105.95,True
168,127.73,34.73,1.03,2.05,3.0,71.99,0.61,139.99,136.97,True
169,115.65,52.34,1.32,1.81,3.0,67.12,0.41,214.89,94.23,True
170,90.64,88.77,1.93,1.3,3.0,57.06,0.01,369.91,5.76,True
171,144.13,10.83,0.63,2.39,3.0,78.59,0.88,38.3,195.0,True
172,114.09,54.6,1.36,1.78,3.0,66.5,0.39,224.52,88.73,True
173,127.33,35.3,1.04,2.05,3.0,71.83,0.6,142.43,135.58,True
174,90.99,88.26,1.92,1.3,3.0,57.2,0.01,367.74,7.0,True
175,134.5,24.86,0.86,2.19,3.0,74.71,0.72,98.01,160.92,True
176,123.0,41.62,1.14,1.96,3.0,70.08,0.53,169.3,120.24,True
177,99.91,75.27,1.7,1.49,3.0,60.79,0.16,312.45,38.55,True
178,137.23,20.88,0.8,2.25,3.0,75.81,0.76,81.07,170.59,True
179,108.82,62.28,1.49,1.67,3.0,64.38,0.3,257.2,70.08,True
180,109.61,61.13,1.47,1.68,3.0,64.69,0.32,252.29,72.88,True
181,131.03,29.91,0.95,2.12,3.0,73.32,0.66,119.49,148.66,True
182,109.49,61.31,1.47,1.68,3.0,64.64,0.31,253.06,72.44,True
183,100.43,74.5,1.69,1.5,3.0,61.0,0.17,309.19,40.41,True
184,146.73,7.03,0.57,2.44,3.0,79.64,0.92,22.15,204.21,True
185,126.34,36.75,1.06,2.03,3.0,71.43,0.59,148.6,132.06,True
186,131.36,29.44,0.94,2.13,3.0,73.45,0.67,117.47,149.82,True
187,126.11,37.08,1.07,2.02,3.0,71.34,0.58,149.99,131.26,True
188,119.02,47.42,1.24,1.88,3.0,68.48,0.47,193.98,106.16,True
189,138.77,18.64,0.76,2.28,3.0,76.43,0.79,71.54,176.03,True
190,118.6,48.03,1.25,1.87,3.0,68.31,0.46,196.59,104.67,True
