,nuc,aexp,ns,age,asexp,la
1923,,,,,,
1942,,,,,,
2046,,,,,,
1988,,,,,,
1978,,,,,,
1980,,,,,,
2057,,,,,,
2002,,,,,,
2041,,,,,,
2063,,,,,,
2031,,,,,,
2089,,,,,,
2138,,,,,,
2146,,,,,,
2171,,,,,,
2189,,,,,,
2198,,,,,,
2199,,,,,,
2222,,,,,,
2228,,,,,,
2242,,,,,,
2247,,,,,,
2259,,,,,,
2281,,,,,,
2291,,,,,,
2296,,,,,,
2341,,,,,,
1912,,,,,,
1918,,,,,,
1921,,,,,,
1951,,,,,,
1956,,,,,,
1958,,,,,,
1962,,,,,,
1973,,,,,,
2003,,,,,,
2005,,,,,,
2015,,,,,,
2022,,,,,,
2023,,,,,,
2033,14.9,422,1,46.9027777777778,0.4243255601280289,60.5
2036,,,,,,
2037,29.395238095238096,42,1,20.35416666666665,0.26073009710910344,60.5
2042,29.395238095238096,13,1,46.9027777777778,0.4243255601280289,60.5
2045,,,,,,
2048,,,,,,
2060,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2076,,,,,,
2077,,,,,,
2087,,,,,,
2101,,,,,,
2096,,,,,,
2106,35.8461538461538,115.5,1,20.35416666666665,0.4243255601280289,60.5
2108,,,,,,
2145,,,,,,
2153,,,,,,
2193,54.5555555555556,115.5,1,46.9027777777778,0.4243255601280289,60.5
2220,,,,,,
2203,,,,,,
2241,78.52941176470591,115.5,1,46.9027777777778,0.26073009710910344,60.5
2250,,,,,,
2263,,,,,,
2266,,,,,,
2271,,,,,,
2272,,,,,,
2274,,,,,,
2363,,,,,,
