,nuc,aexp,ns,age,asexp,la
1923,,,,,,
1951,,,,,,
2096,,,,,,
1958,,,,,,
2002,,,,,,
1978,,,,,,
2106,,,,,,
2153,,,,,,
2005,,,,,,
2023,,,,,,
2031,,,,,,
2189,,,,,,
2198,,,,,,
2199,,,,,,
2203,,,,,,
2222,,,,,,
2241,,,,,,
2259,15.8181818181818,44,2,126.363636363636,0.992187461350056,2.0
2266,,,,,,
2296,107.75,5,2,6.0,0.90625,3.0
1921,,,,,,
1962,,,,,,
2022,,,,,,
2036,8.0,0.0,1,238.0,151.0,36.0
2041,0.0,6,2,71.0588235294118,0.609375,0.0
2042,,,,,,
2048,,,,,,
2057,,,,,,
2060,0.0,0,1,177.75,0.0,1.0
2070,,,,,,
2071,,,,,,
2089,,,,,,
2108,,,,,,
2145,,,,,,
2193,,,,,,
2242,,,,,,
2272,,,,,,
2281,,,,,,
2341,1.50806451612903,17,2,184.47826086956505,1.17870330810547,3.0
2363,,,,,,
1918,,,,,,
1942,,,,,,
1956,,,,,,
2015,,,,,,
2033,,,,,,
2037,,,,,,
2076,,,,,,
2077,,,,,,
2087,,,,,,
2101,,,,,,
2138,,,,,,
2146,,,,,,
2228,,,,,,
2263,,,,,,
2271,,,,,,
2274,,,,,,
1912,,,,,,
1980,,,,,,
1988,,,,,,
2003,,,,,,
2045,,,,,,
2046,,,,,,
2171,,,,,,
2247,,,,,,
