,nuc,arexp,ent,ndev,ns,age,asexp,la,ld
749,4.142857142857141,0.0,2.04771001032691,0.5714285714285711,7,24.71428571428569,2.27157071538321e-07,0,7
760,0.0,0.0,2.16927918690222,2.4,2,49.8,0.0036802291870117,0,6
681,1.65,4.0,2.8048834082216,0.25,1,14.2,0.0078109205933287,760,0
682,0.0,13.0,2.7392801224367203,0.565217391304348,8,13.9565217391304,0.0019874722711392,3,21
755,0.285714285714286,30.0,3.69489932060078,2.27777777777778,5,31.4444444444444,0.0080000049232347,0,0
718,2.0,0.5,4.01681850331082,0.4583333333333329,2,30.2916666666667,0.0,14.0,52
836,0.0,26.8333333333333,2.09949372363395,4.33333333333333,2,28.142857142857103,0.0002479567156115,1,2
700,2.28571428571429,0.0,2.52943682194871,0.6428571428571429,2,13.0714285714286,0.5,10.0,5
678,1.0,2.0,0.0,0.153846153846154,1,30.1538461538462,2.0,335.5,671.0
797,,,,,,,,,
827,5.4,3.1666666666666696,3.8939962987857206,1.1,3,94.5333333333333,0.0018289894833104,10.5,29
