,nuc,aexp,ns,age,asexp,la
1918,,,,,,
1935,,,,,,
1937,,,,,,
1933,,,,,,
1942,,,,,,
1958,,,,,,
1962,,,,,,
2002,,,,,,
1973,,,,,,
1923,,,,,,
1988,,,,,,
2005,,,,,,
1993,,,,,,
2023,,,,,,
2024,,,,,,
2041,,,,,,
2033,,,,,,
2031,,,,,,
2042,,,,,,
2046,,,,,,
2045,,,,,,
2037,72.5714285714286,42,3,37.9523809523809,0.500005647608916,2.0
2048,,,,,,
2063,,,,,,
2070,,,,,,
2067,,,,,,
2069,,,,,,
2071,,,,,,
2087,,,,,,
2138,,,,,,
2108,,,,,,
2189,,,,,,
2089,,,,,,
2198,,,,,,
2171,,,,,,
2145,,,,,,
2199,,,,,,
2217,,,,,,
2220,,,,,,
2228,,,,,,
2241,,,,,,
2247,,,,,,
2271,,,,,,
2234,,,,,,
2272,,,,,,
2250,,,,,,
2242,,,,,,
2266,,,,,,
2281,,,,,,
2291,,,,,,
2341,,,,,,
2022,21.466666666666697,82,2.0,55.4,66.0,16.0
2222,20.461538461538503,48,1.0,15.2307692307692,0.161784052853271,15.0
2363,,,,,,
2274,45.9583333333333,47,1.0,50.0833333333333,0.333272298177086,14.0
