,nuc,aexp,ns,age,asexp,la
2002,,,,,,
2031,,,,,,
1923,,,,,,
2247,,,,,,
1912,,,,,,
2089,,,,,,
2291,,,,,,
1918,,,,,,
1933,,,,,,
2171,,,,,,
2222,,,,,,
1935,6.33333333333333,23.5,1,46.9027777777778,0.26073009710910344,60.5
1956,,,,,,
1937,,,,,,
1921,,,,,,
1920,,,,,,
1942,,,,,,
1958,,,,,,
1951,29.395238095238096,6,2,32.25,1.013671875,60.5
1962,,,,,,
1993,,,,,,
1988,,,,,,
1978,,,,,,
1973,,,,,,
1997,6.33333333333333,23.5,2,46.9027777777778,3.0,60.5
1980,,,,,,
2005,,,,,,
2023,,,,,,
2003,8.464285714285715,23.5,2,46.9027777777778,0.0,227.0
2015,,,,,,
2033,14.9,422,1,46.9027777777778,0.4243255601280289,60.5
2022,,,,,,
2046,29.395238095238096,6,2,46.9027777777778,1.013671875,60.5
2037,,,,,,
2042,29.395238095238096,6,1,46.9027777777778,0.179049665594738,60.5
2045,,,,,,
2024,,,,,,
2041,6.33333333333333,23.5,2,46.9027777777778,0.26073009710910344,60.5
2048,,,,,,
2049,,,,,,
2057,,,,,,
2070,,,,,,
2063,,,,,,
2071,,,,,,
2069,,,,,,
2067,,,,,,
2060,6.33333333333333,23.5,2,46.9027777777778,0.0,227.0
2101,,,,,,
2108,,,,,,
2096,,,,,,
2106,,,,,,
2087,,,,,,
2077,,,,,,
2097,,,,,,
2076,,,,,,
2138,29.395238095238096,6,2,46.9027777777778,0.4243255601280289,60.5
2198,,,,,,
2153,,,,,,
2220,,,,,,
2199,,,,,,
2189,,,,,,
2203,,,,,,
2217,,,,,,
2145,,,,,,
2228,,,,,,
2241,29.395238095238096,392,1,46.9027777777778,0.26073009710910344,60.5
2259,,,,,,
2250,,,,,,
2242,,,,,,
2271,,,,,,
2234,,,,,,
2263,,,,,,
2266,,,,,,
2272,6.33333333333333,23.5,1,5.9,0.0,227.0
2341,,,,,,
2296,,,,,,
2363,,,,,,
2281,,,,,,
2274,,,,,,
