,nuc,aexp,ns,age,asexp,la
2242,,,,,,
2046,29.395238095238096,6,2,46.9027777777778,1.69622898101807,60.5
2198,29.395238095238096,0,2,46.9027777777778,0.4243255601280289,60.5
2171,,,,,,
1920,,,,,,
2341,,,,,,
1921,,,,,,
1918,,,,,,
2247,,,,,,
1923,,,,,,
2259,,,,,,
1912,,,,,,
1933,,,,,,
1937,,,,,,
1935,,,,,,
1958,,,,,,
1942,,,,,,
1951,29.395238095238096,6,2,32.25,34.0,60.5
1962,,,,,,
1978,,,,,,
1973,,,,,,
1980,,,,,,
1988,,,,,,
1997,6.33333333333333,23.5,1,46.9027777777778,1.013671875,60.5
1956,,,,,,
2002,,,,,,
1993,,,,,,
2003,8.464285714285715,23.5,2,46.9027777777778,0.0,227.0
2005,,,,,,
2022,,,,,,
2015,,,,,,
2023,,,,,,
2033,,,,,,
2024,24.5,6,2,5.9,1.013671875,60.5
2041,,,,,,
2031,,,,,,
2042,,,,,,
2037,,,,,,
2045,,,,,,
2057,,,,,,
2049,,,,,,
2063,,,,,,
2048,,,,,,
2060,,,,,,
2067,,,,,,
2077,,,,,,
2070,,,,,,
2087,,,,,,
2076,,,,,,
2089,,,,,,
2071,,,,,,
2069,,,,,,
2097,,,,,,
2145,,,,,,
2106,,,,,,
2153,,,,,,
2096,,,,,,
2108,,,,,,
2101,,,,,,
2138,,,,,,
2189,,,,,,
2199,,,,,,
2217,,,,,,
2203,,,,,,
2220,,,,,,
2222,,,,,,
2250,,,,,,
2263,,,,,,
2241,,,,,,
2228,,,,,,
2234,,,,,,
2266,,,,,,
2271,,,,,,
2274,,,,,,
2272,6.33333333333333,23.5,1,5.9,0.0,227.0
2281,,,,,,
2296,,,,,,
2291,,,,,,
2363,,,,,,
