,nuc,aexp,nd,ns,age,la,ld
1056,,,,,,,
1067,,,,,,,
1063,,,,,,,
1057,591.0,290,2,1,1.0,0,0
1060,423.666666666667,62,2,1,10.6666666666667,0,1
1074,613.5,3,2,1,50.5,13,0
1069,,,,,,,
1070,,,,,,,
1068,,,,,,,
1076,,,,,,,
1083,,,,,,,
1080,,,,,,,
1085,,,,,,,
1090,,,,,,,
1092,,,,,,,
1091,184.75,95,6,2,33.375,0,13
1095,,,,,,,
1097,,,,,,,
1112,701.5,480,2,1,8.5,0,0
1103,,,,,,,
1117,162.3,115,8,2,106.3,253,0
1110,,,,,,,
1120,709.5,21,2,1,1.0,12,0
1121,,,,,,,
1123,,,,,,,
1118,,,,,,,
1126,,,,,,,
1128,,,,,,,
1129,,,,,,,
1134,,,,,,,
1137,,,,,,,
1139,,,,,,,
1138,,,,,,,
1144,702.5,245,2,1,16.0,0,0
1141,,,,,,,
1151,713.5,59,2,1,140.5,8,0
1146,,,,,,,
1162,,,,,,,
1153,,,,,,,
1152,,,,,,,
1168,,,,,,,
1167,,,,,,,
1179,,,,,,,
1178,765.0,27,2,1,8.0,4,0
1180,,,,,,,
1182,,,,,,,
1196,,,,,,,
1200,205.5,134,2,1,243.0,123,0
1191,,,,,,,
1197,,,,,,,
1206,,,,,,,
1218,,,,,,,
1201,563.333333333333,79,2,1,10.0,65,0
1209,,,,,,,
1227,,,,,,,
1228,,,,,,,
1225,,,,,,,
1230,,,,,,,
1244,,,,,,,
1248,,,,,,,
1266,,,,,,,
1273,6.0,30,5,1,222.111111111111,44,0
1280,,,,,,,
1278,,,,,,,
1282,,,,,,,
1283,,,,,,,
1287,,,,,,,
1305,2.0,148,1,1,32.0,0,2
1288,,,,,,,
1311,,,,,,,
1307,,,,,,,
1072,,,,,,,
1086,,,,,,,
1093,,,,,,,
1186,221.125,95,5,1,89.5,178,0
1079,,,,,,,
1071,,,,,,,
1096,256.4,0,2,1,0.0,0,0
1066,112.090909090909,0,8,2,0.0,262,24
1102,185.57142857142892,0,3,1,0.0,0,0
1106,,,,,,,
1115,,,,,,,
1105,,,,,,,
1135,,,,,,,
1136,,,,,,,
1150,161.1,143,6,1,288.7,0,0
1116,,,,,,,
1163,266.0,45,3,1,70.8333333333333,0,0
1169,,,,,,,
1174,227.714285714286,151,1,2,120.285714285714,133,0
1185,167.0,0,6,2,12.0,328,0
1176,,,,,,,
1211,416.75,0,3,1,197.75,96,0
1189,791.5,0,2,1,51.5,7,0
1199,,,,,,,
1217,,,,,,,
1229,313.83333333333303,0,3,1,146.666666666667,60,0
1223,260.0,43,5,1,45.125,0,0
1233,634.666666666667,112,1,1,20.6666666666667,29,0
1237,,,,,,,
1220,,,,,,,
1240,,,,,,,
1241,601.666666666667,121,2,1,43.0,0,0
1259,618.666666666667,92,1,1,0.0,65,0
1265,377.0,47,1,1,332.4,42,0
1222,,,,,,,
1268,192.72727272727292,49,7,2,80.0,0,0
1267,144.13333333333298,31,9,1,275.0,0,0
1277,,,,,,,
1291,19.5,84,2,1,388.333333333333,0,0
1296,17.2857142857143,0,1,3,189.42857142857105,85,137
1299,5.0,0,1,1,6.0,0,92
1302,,,,,,,
1316,,,,,,,
1319,,,,,,,
1082,,,,,,,
1236,250.1,192,5,3,232.1,1,0
1219,,,,,,,
1065,,,,,,,
1252,,,,,,,
1084,95.7727272727273,0,14,3,147.545454545455,0,0
1262,,,,,,,
1101,272.2,105,1,1,214.4,0,0
1275,,,,,,,
1160,378.0,33,3,1,0.0,3,1
1234,593.666666666667,44,2,3,124.333333333333,0,1
1304,,,,,,,
1261,928.0,167,2,3,65.0,0,27
1164,,,,,,,
1089,97.07142857142858,93,5,2,56.6428571428571,1258,0
1104,346.75,79,4,2,0.0,117,24
1184,,,,,,,
1113,,,,,,,
1286,,,,,,,
1193,43.2820512820513,10,18,2,479.333333333333,0,49
1125,,,,,,,
1281,24.1666666666667,67,1,2,181.75,510,87
1173,512.0,51,4,1,85.8,57,0
1270,,,,,,,
1062,40.466666666666704,24.5,1,2,16.6,365,149
1155,,,,,,,
1111,90.9375,99,7,1,255.5,14.0,0
1077,,,,,,,
1075,,,,,,,
1133,220.2,131,2,1,7.0,5,0
1094,,,,,,,
1114,,,,,,,
1165,2.0,161,2,1,129.333333333333,59,0
1157,,,,,,,
1158,,,,,,,
1198,416.0,36.0,2,1,4.25,370,0
1166,,,,,,,
1183,,,,,,,
1232,,,,,,,
1212,16.1,135,8,2,484.6,2,27
1221,434.0,0,3,4,453.5,85,1
1276,6.28,0,3,2,328.48,0,59
1087,633.0,92,2,3,57.0,3,5
1081,630.0,0,2,3,53.5,10,1
1064,,,,,,,
1109,,,,,,,
1285,,,,,,,
1130,457.666666666667,0,2,3,142.333333333333,3,1
1203,830.0,13,2,3,18.0,5,16.0
1172,,,,,,,
1154,4.64705882352941,13.5,4,2,2.82352941176471,2962.0,0
1145,,,,,,,
1100,,,,,,,
1271,,,,,,,
