,nuc,aexp,nd,ns,age,asexp,la,ld
5170,8.66666666666667,45,3,1,104.166666666667,0.0,19.5,15
4978,,,,,,,,
4987,,,,,,,,
5386,20.0,346,2,2,14.5,0.166338686541857,0.0,3
5321,,,,,,,,
5129,,,,,,,,
5509,24.0,165,1,1,25.0,25.0,0.0,0
4907,,,,,,,,
5706,,,,,,,,
5294,1.625,374,4,1,125.75,10.0,15.0,62
4908,4.0,44,1,2,0.0,0.5009784773289989,0.0,3
4913,0.0,0,3,2,125.0,0.0,143,0.0
4919,0.036144578313253,2,3,2,13.75,0.75,0.0,63
4974,,,,,,,,
4914,0.0851063829787234,1,5,4,96.8181818181818,0.5,0.0,15
4981,25.0,0.0,1,1,46.0,8.0,0.0,10
4923,16.4,0.0,3,2,8.8,1.0,0.0,19
4976,1.5,23.5,2,2,122.25,0.1274378598992619,0.0,7
4965,3.11764705882353,17.0,3,2,49.29411764705879,0.1274378598992619,0.0,141
4993,0.0606060606060606,198,1,1,33.0,19.0,165,2558.0
5002,7.21428571428571,202,3,1,0.108433734939759,22.0,0.0,240
5014,3.0,20.5,2,2,16.0,0.0019646288184294,0.0,2
5060,15.333333333333302,179,6,3,10.4444444444444,0.527485149057826,0.0,0.0
5057,0.0,238,1,1,23.5,62.0,0.0,4
5008,106.2916666666665,152,2,2,35.0,1.0799741193348,0.0,3
5028,7.028571428571429,154,13,6,127.714285714286,0.203968880247527,0.0,0.0
5027,0.036144578313253,72,3,1,6.09090909090909,8.0,0.0,624
5077,0.0,256,2,2,207.0,0.1274378598992619,127,2558.0
5171,0.0,284,5,3,9.66666666666667,0.354067572588633,0.0,26
5087,46.0,0.0,1,1,23.3333333333333,13.0,0.0,36
5089,50.6666666666667,19.5,1,1,0.0,74.0,73,23
5138,54.0,0.0,4,3,164.428571428571,1.3938343930215198e-07,0.0,356
5249,8.20833333333333,343,5,1,0.0,120.0,0.0,1727
5163,0.2,279,1,1,0.0625,8.0,0.0,9
5236,0.036144578313253,49,6,3,221.9,0.0047776103560293,0.0,31
5180,0.333333333333333,2,1,2,0.0,0.0,0.0,4
5257,,,,,,,,
5268,0.108108108108108,4,12,10,101.214285714286,0.0212,0.0,75
5274,14.0,21.5,2,1,10.0,37.0,0.0,7
5299,10.1764705882353,56.5,5,1,15.9411764705882,141.0,0.0,75
5322,2.5,0.0,1,1,126.5,37.0,0.0,5
5333,,,,,,,,
5356,0.0,416,2,1,85.0,41.0,0.0,99
5319,0.0606060606060606,386,3,2,62.625,0.1254732310808319,0.0,58
5390,0.0,442,5,2,10.857142857142902,6.989466783124946e-10,0.0,73
5379,2.76,435,9,6,41.9866666666667,0.0055341027908672,1.0,0.0
5389,0.0,14,5,1,41.25,0.0,0.0,139
5441,38.9574468085106,33,21,8,0.0,3.666403999521599e-12,0.0,1164
5444,,,,,,,,
5398,,,,,,,,
5599,0.0,145,6,4,96.5,1.03287761719845,0.0,71
5630,7.928571428571429,164.0,3,2,154.357142857143,0.166338686541857,0.0,190
5564,23.6666666666667,93.0,2,2,98.0,60.5,53,14
5583,1.6666666666666698,136,5,1,0.0,11.0,2.0,77
5585,9.0,0.0,1,1,89.0,22.0,0.0,49
5729,14.333333333333302,677,1,2,0.0,0.0097776056632119,0.0,2
