,nuc,aexp,ns,age,asexp,la,target
0,26.21,137.0,1.0,29.58,109.0,2038.0,True
1,5.33,138.0,1.0,49.67,110.0,886.0,True
2,6.29,140.0,1.0,56.79,112.0,769.0,True
3,26.37,141.0,1.0,13.63,113.0,2043.0,True
4,33.2,250.0,1.0,85.0,145.0,299.0,True
5,6.21,143.0,1.0,41.89,114.0,883.0,True
6,26.22,149.0,1.0,36.89,119.0,732.0,True
7,17.14,165.0,1.0,7.0,134.0,515.0,True
8,14.56,167.0,1.0,11.89,136.0,443.0,True
9,7.3,173.0,1.0,0.5,141.0,816.0,True
10,13.38,182.0,1.0,8.79,148.0,330.0,True
11,12.44,260.0,1.0,16.12,154.0,182.0,True
12,29.28,249.0,1.0,37.6,115.0,912.0,True
13,22.86,265.0,1.0,54.57,158.0,232.0,True
14,10.62,259.0,1.0,29.5,122.0,1104.0,True
15,16.62,189.0,1.0,121.25,154.0,530.0,True
16,15.97,295.0,1.0,41.83,150.0,562.0,True
17,22.61,300.0,1.0,60.85,154.0,695.0,True
18,20.61,303.0,1.0,80.14,157.0,164.0,True
19,25.4,298.0,1.0,4.8,177.0,219.0,True
20,33.27,317.0,1.0,41.6,166.0,230.0,True
21,11.0,329.0,1.0,90.8,172.0,45.0,True
22,19.5,310.0,1.0,20.0,187.0,51.0,True
23,23.0,332.0,1.0,120.11,173.0,96.0,True
24,25.5,214.0,1.0,46.75,168.0,202.0,True
25,23.6,334.0,1.0,105.0,175.0,81.0,True
26,37.0,336.0,1.0,44.83,177.0,242.0,True
27,37.0,316.0,1.0,97.5,192.0,42.0,True
28,28.77,218.0,1.0,25.85,171.0,368.0,True
29,20.7,344.0,1.0,48.2,183.0,594.0,True
30,23.36,348.0,1.0,22.25,185.0,125.0,True
31,23.0,227.0,1.0,28.0,177.0,85.0,True
32,43.0,231.0,1.0,59.0,180.0,114.0,True
33,14.28,233.0,1.0,130.38,181.0,697.0,True
34,24.16,235.0,1.0,69.0,183.0,818.0,True
35,35.17,236.0,1.0,44.0,184.0,515.0,True
36,13.86,237.0,1.0,86.29,185.0,442.0,True
37,20.73,246.0,1.0,7.27,193.0,97.0,True
