,nuc,aexp,age,asexp,la,ld,target
0,30.0,18.0,33.0,1.0,42.0,14.0,True
1,60.0,15.0,31.0,0.0,6.0,4.0,True
2,35.0,1.0,31.0,0.0,3.0,2.0,True
3,59.0,115.0,10.0,1.0,8.0,8.0,True
4,35.0,0.0,31.0,0.0,9.0,3.0,True
5,45.0,6.0,19.0,1.31,53.0,2.0,True
6,33.0,2.0,31.25,0.44,123.0,3.0,True
7,54.0,25.0,14.0,9.0,31.0,0.0,True
8,42.0,36.0,23.83,0.0,22.0,8.0,True
9,49.25,0.0,23.5,0.0,7.0,7.0,True
10,39.33,13.0,34.0,0.0,5.0,1.0,True
11,32.86,32.0,55.86,1.51,90.0,15.0,True
12,34.36,34.0,73.27,0.5,137.0,10.0,True
13,44.17,0.0,34.67,0.0,88.0,2.0,True
14,43.33,59.0,14.5,0.26,62.0,5.0,True
15,51.67,73.0,9.44,0.0,225.0,21.0,True
16,44.25,1.0,10.75,0.33,68.0,1.0,True
17,40.83,44.0,9.5,0.5,15.0,14.0,True
18,39.71,56.0,22.29,0.0,73.0,15.0,True
19,46.0,0.0,18.0,0.0,29.0,1.0,True
20,30.5,99.0,38.33,0.0,30.0,15.0,True
21,43.0,89.0,9.25,0.0,129.0,14.0,True
22,33.53,4.0,34.07,0.12,133.0,134.0,True
23,40.75,82.0,68.25,0.38,77.0,13.0,True
24,47.5,89.0,11.0,0.0,15.0,9.0,True
25,44.5,93.0,12.5,37.0,16.0,1.0,True
26,58.0,107.0,27.0,0.02,8.0,4.0,True
27,54.57,86.0,48.86,0.84,64.0,55.0,True
28,33.17,3.0,49.17,2.0,37.0,10.0,True
29,38.86,1.0,39.86,0.67,81.0,44.0,True
30,33.2,13.0,47.9,0.07,115.0,43.0,True
31,46.0,0.0,24.0,0.0,5.0,0.0,True
32,46.83,99.0,58.67,0.25,17.0,197.0,True
33,50.0,0.0,60.0,0.0,68.0,3.0,True
34,50.0,0.0,37.0,0.0,20.0,14.0,True
35,29.75,0.0,44.25,0.0,45.0,9.0,True
36,32.25,2.0,66.0,0.04,194.0,8.0,True
37,52.0,118.0,12.0,0.11,9.0,8.0,True
38,53.0,6.0,33.0,1.0,3.0,4.0,True
39,39.0,0.0,36.33,0.0,30.0,9.0,True
40,30.74,91.36,37.99,0.01,38.28,24.56,True
41,30.92,85.86,37.74,0.02,44.25,31.46,True
42,31.75,60.01,36.58,0.05,72.28,63.85,True
43,31.44,69.47,37.01,0.04,62.02,51.99,True
44,33.22,13.69,34.5,0.11,122.49,121.86,True
45,30.73,91.88,38.01,0.01,37.72,23.91,True
46,32.02,51.46,36.2,0.06,81.55,74.55,True
