,nuc,aexp,nd,ns,age,la,ld
2337,,,,,,,
2335,,,,,,,
2329,,,,,,,
2332,,,,,,,
2325,,,,,,,
2331,,,,,,,
2336,,,,,,,
2333,,,,,,,
2349,,,,,,,
2350,,,,,,,
2341,,,,,,,
2353,,,,,,,
2354,1844.5,265,2,1,0.0,0.0,0
2345,,,,,,,
2355,,,,,,,
2348,,,,,,,
2358,,,,,,,
2359,,,,,,,
2352,,,,,,,
2363,,,,,,,
2367,,,,,,,
2372,,,,,,,
2364,642.166666666667,103,3,2,38.8333333333333,0.0,58
2376,,,,,,,
2356,,,,,,,
2366,,,,,,,
2371,1262.33333333333,105,2,1,6.33333333333333,0.0,1
2381,,,,,,,
2377,,,,,,,
2384,,,,,,,
2383,1270.0,377,2,1,4.66666666666667,0.0,1
2380,,,,,,,
2382,349.916666666667,122,2.0,2,51.75,846,324
2394,,,,,,,
2403,,,,,,,
2392,,,,,,,
2393,,,,,,,
2404,,,,,,,
2390,,,,,,,
2413,47.6153846153846,14,7,1,41.384615384615394,0.0,64
2412,,,,,,,
2407,,,,,,,
2411,,,,,,,
2421,,,,,,,
2415,,,,,,,
2410,20.4117647058824,47,3,1,290.941176470588,1.0,267
2425,,,,,,,
2420,,,,,,,
2435,,,,,,,
2422,,,,,,,
2436,,,,,,,
2428,,,,,,,
2447,,,,,,,
2443,,,,,,,
2416,,,,,,,
2440,,,,,,,
2448,,,,,,,
2456,,,,,,,
2454,7.52,0,5,1,283.04,5.0,1069
2452,,,,,,,
2450,,,,,,,
2458,,,,,,,
2465,,,,,,,
2473,,,,,,,
2459,1.0,0.0,1,1,95.0,8,7
2472,,,,,,,
2479,5.0,67,2,1,0.0,0.0,6
2457,,,,,,,
2482,,,,,,,
2477,,,,,,,
2474,,,,,,,
2494,,,,,,,
2499,,,,,,,
2498,,,,,,,
2491,94.9411764705882,27,10,2,72.5882352941177,0.0,66
2490,,,,,,,
2506,,,,,,,
2507,,,,,,,
2496,,,,,,,
2500,,,,,,,
2501,,,,,,,
2509,,,,,,,
2511,20.0,0.0,1,1,97.25,44,10
2517,,,,,,,
2513,,,,,,,
2512,,,,,,,
2515,,,,,,,
2521,,,,,,,
2519,,,,,,,
2516,,,,,,,
2528,,,,,,,
2535,,,,,,,
2527,,,,,,,
2523,,,,,,,
2524,,,,,,,
2529,,,,,,,
2538,,,,,,,
2539,0.0,404,1,1,0.0,0.0,0
2543,,,,,,,
2530,,,,,,,
2536,,,,,,,
2545,,,,,,,
2547,,,,,,,
2565,,,,,,,
2546,,,,,,,
2564,,,,,,,
2553,,,,,,,
2552,,,,,,,
2574,,,,,,,
2561,,,,,,,
2575,,,,,,,
2567,,,,,,,
2577,30.785714285714302,59,6,2,381.928571428571,0.0,492
2573,,,,,,,
2579,8.34782608695652,64,13,3,332.826086956522,0.0,702
2584,,,,,,,
2587,24.5714285714286,45,4,2,398.571428571429,4.0,40
2592,,,,,,,
2583,,,,,,,
2595,,,,,,,
2582,,,,,,,
2597,,,,,,,
2590,,,,,,,
2585,,,,,,,
2609,,,,,,,
2605,,,,,,,
2613,,,,,,,
2607,,,,,,,
2615,,,,,,,
2623,,,,,,,
2624,,,,,,,
2598,15.7142857142857,0,5,2,0.0,519,46
2612,,,,,,,
2603,,,,,,,
2625,,,,,,,
2610,,,,,,,
2629,,,,,,,
2630,18.0,554,1,1,8.0,0.0,0
2645,,,,,,,
2636,78.8888888888889,91,11,2,10.4444444444444,0.0,151
2631,,,,,,,
2647,,,,,,,
2650,70.6666666666667,86,2,2,0.0,82,12
2632,,,,,,,
2649,,,,,,,
2664,,,,,,,
2660,,,,,,,
2662,,,,,,,
2661,,,,,,,
2665,,,,,,,
2635,84.8125,16,9,2,18.8125,0.0,4
2672,,,,,,,
2676,,,,,,,
2670,,,,,,,
2681,,,,,,,
2682,,,,,,,
2689,,,,,,,
2692,,,,,,,
2690,1.0,84,1,1,11.0,108,0.0
2693,,,,,,,
2699,37.8461538461538,0,15,2,83.76923076923079,0.0,191
2687,,,,,,,
2675,,,,,,,
2701,,,,,,,
2673,91.53846153846148,97,7,1,28.53846153846149,0.0,24
2696,,,,,,,
2702,,,,,,,
2695,,,,,,,
2707,,,,,,,
2705,,,,,,,
2700,,,,,,,
2704,,,,,,,
2709,,,,,,,
2716,,,,,,,
2715,211.833333333333,7,3,1,113.5,0.0,2
2711,,,,,,,
2718,,,,,,,
2727,39.0555555555556,14,8,2,93.11111111111109,0.0,489
2724,,,,,,,
2722,,,,,,,
2710,,,,,,,
2736,,,,,,,
2733,107.5,38,1,1,407.25,0.0,10
2725,80.304347826087,99,8,2,23.1304347826087,0.0,162
2735,,,,,,,
2717,,,,,,,
2744,20.0,0.0,2,1,74.5,51,0
2752,16.1428571428571,40,4,2,303.285714285714,0.0,28
2728,,,,,,,
2739,5.0,30,4,2,10.4166666666667,0.0,37
2760,,,,,,,
2749,,,,,,,
2757,,,,,,,
2759,7.0,517,1,1,75.0,9,0.0
2758,,,,,,,
2765,,,,,,,
2766,,,,,,,
2767,,,,,,,
2756,,,,,,,
2763,2.0,524,1,1,9.5,0.0,0
2771,,,,,,,
2769,,,,,,,
2783,6.0,91,5,1,10.8666666666667,0.0,41
2784,,,,,,,
2785,,,,,,,
2772,,,,,,,
2786,,,,,,,
2776,3.8,30,1,1,118.0,0.0,374
2790,,,,,,,
2768,,,,,,,
2796,2.0,102,1,1,902.0,0.0,0
2787,,,,,,,
2806,,,,,,,
2802,11.5,106,1,2,221.0,0.0,7
2764,,,,,,,
2791,24.2222222222222,12,5,2,177.77777777777803,0.0,2
2814,,,,,,,
2824,,,,,,,
2821,90.5,1,1,1,306.0,0.0,8
2825,,,,,,,
2815,1.75,0.0,1,1,2.5,532,101
2853,45.71875,51,28,3,377.609375,0.0,688
2843,,,,,,,
2846,,,,,,,
2847,,,,,,,
2867,,,,,,,
2857,,,,,,,
2855,,,,,,,
2856,,,,,,,
2864,98.2857142857143,69,7,2,262.214285714286,0.0,28
2880,,,,,,,
2885,71.1818181818182,174,6,2,226.636363636364,1.0,16
2888,,,,,,,
2891,,,,,,,
2873,,,,,,,
2892,,,,,,,
2893,3.5,0.0,1,1,43.0,19,2
2886,71.44444444444441,0,6,1,284.222222222222,0.0,39
2900,8.0,54,2,1,214.5,0.0,0
2904,18.0,55,2,1,350.5,0.0,0
2328,,,,,,,
2344,,,,,,,
2346,,,,,,,
2894,5.0,0.0,2,2,211.5,75,1
2360,,,,,,,
2338,,,,,,,
2370,,,,,,,
2375,,,,,,,
2361,,,,,,,
2378,,,,,,,
2340,658.666666666667,49,3,1,54.8333333333333,0.0,0.0
2339,1019.8333333333351,263,2,1,0.25,0.0,0
2379,260.473684210526,101,1.0,1,81.3684210526316,0.0,75
2386,,,,,,,
2373,,,,,,,
2385,,,,,,,
2399,63.0,0.0,2,1,22.88888888888889,0.0,333
2391,1.75,0.0,4,1,57.375,47,0.0
2389,,,,,,,
2397,,,,,,,
2402,,,,,,,
2417,4.33333333333333,125,1.0,1,6.55555555555556,0.0,970
2419,,,,,,,
2427,,,,,,,
2401,,,,,,,
2414,,,,,,,
2431,,,,,,,
2433,,,,,,,
2439,,,,,,,
2441,,,,,,,
2418,,,,,,,
2445,,,,,,,
2451,,,,,,,
2442,6.625,0.0,7,1,43.4375,0.0,200
2464,,,,,,,
2434,11.6,56,1.0,2,253.6,0.0,15
2437,,,,,,,
2468,,,,,,,
2467,42.0,0,2,1,269.5,0.0,0.0
2480,7.25,45,1,1,0.0,0.0,35
2469,,,,,,,
2483,,,,,,,
2478,,,,,,,
2481,,,,,,,
2470,137.25,52,3,1,0.0,0.0,16
2497,,,,,,,
2488,,,,,,,
2485,,,,,,,
2514,,,,,,,
2475,,,,,,,
2503,231.333333333333,32,1.0,1,95.3333333333333,0.0,127
2492,,,,,,,
2522,11.1538461538462,69,1,2.0,0.0,1343,155
2540,27.6666666666667,38,1.0,1,69.3333333333333,0.0,0
2537,29.0,0.0,7,2,49.5333333333333,0.0,88
2541,,,,,,,
2542,,,,,,,
2518,53.31428571428571,59,8,1,81.5714285714286,0.0,0.0
2548,38.3269230769231,19.5,12,2,115.557692307692,0.0,158
2544,12.125,78,1.0,1,232.535714285714,0.0,810
2550,,,,,,,
2555,42.6388888888889,0.0,8,2,45.22222222222221,0.0,365
2554,,,,,,,
2558,27.8,86,4,1,8.1,0.0,0.0
2566,,,,,,,
2533,,,,,,,
2560,,,,,,,
2562,,,,,,,
2570,,,,,,,
2551,,,,,,,
2572,,,,,,,
2578,0.0,94,2,1,26.0,0.0,6
2608,,,,,,,
2591,,,,,,,
2616,2.76190476190476,0.0,5,1,6.19047619047619,0.0,0
2611,31.6,59,1.0,2,0.0,164,81
2606,9.6,0.0,1.0,1,134.8,46,30
2618,87.3333333333333,0.0,5,2,64.8666666666667,0.0,86
2619,,,,,,,
2627,,,,,,,
2617,4.75,89,3,1,0.0,0.0,0
2633,29.1904761904762,1,1.0,1,21.047619047619,0.0,388
2628,,,,,,,
2620,,,,,,,
2596,,,,,,,
2640,0.0,81,1,1,2.414285714285715,32,2
2648,,,,,,,
2637,,,,,,,
2651,0.0,87,1,1,22.5,0.0,52
2641,,,,,,,
2622,62.851851851851904,90,4.0,2,14.8148148148148,0.0,40
2658,0.0,67,9,1,6.941176470588241,0.0,3
2666,,,,,,,
2671,,,,,,,
2669,,,,,,,
2674,,,,,,,
2654,,,,,,,
2668,,,,,,,
2694,,,,,,,
2713,,,,,,,
2719,,,,,,,
2712,,,,,,,
2720,,,,,,,
2655,,,,,,,
2703,,,,,,,
2721,249.5,86,1,1,21.0,0.0,0.0
2731,,,,,,,
2734,21.2352941176471,0.0,8,2,0.0,925,391
2726,2.5,100,2,1,0.0,0.0,28
2751,64.5,78,1,1,0.0,0.0,8
2748,,,,,,,
2740,76.23076923076921,113,1.0,2,164.461538461538,0.0,182
2747,96.0,0.0,1,1,35.5,0.0,12
2761,,,,,,,
2743,,,,,,,
2773,,,,,,,
2808,,,,,,,
2794,,,,,,,
2803,0.0,4,3,2,95.1428571428571,0.0,2
2804,,,,,,,
2810,,,,,,,
2800,,,,,,,
2831,,,,,,,
2813,,,,,,,
2818,,,,,,,
2826,,,,,,,
2822,,,,,,,
2833,,,,,,,
2812,166.5,116,1.0,1,147.0,0.0,1
2837,,,,,,,
2845,31.0,19,1.0,2,74.1666666666667,0.0,21
2839,,,,,,,
2852,,,,,,,
2859,17.25,0.0,2,1,124.5,0.0,15
2863,,,,,,,
2840,,,,,,,
2848,16.1111111111111,21,1.0,2,213.555555555556,0.0,85
2865,8.0,106,1.0,1,37.5714285714286,0.0,140
2868,,,,,,,
2870,,,,,,,
2874,,,,,,,
2866,6.428571428571429,8,1.0,1,30.142857142857103,3.0,163
2849,,,,,,,
2869,,,,,,,
2889,,,,,,,
2890,,,,,,,
2879,2.6666666666666696,0,1.0,1,0.0,44,34
2896,135.142857142857,56,4,1,164.428571428571,0.0,0.0
2882,12.0,0.0,1,1,106.5,0.0,17
2343,,,,,,,
