,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,6.67,5.0,0.67,2.0,0.0,1.19,455.0,340.0,True
1,4.0,20.0,0.4,3.0,15.2,0.56,700.0,418.0,False
2,6.74,7.0,0.09,2.0,12.5,0.99,830.0,871.0,True
3,16.55,15.0,0.27,3.0,8.27,1.03,553.0,503.0,True
4,14.1,44.0,0.14,3.0,5.81,1.25,453.0,595.0,True
5,13.55,45.0,0.27,1.0,5.45,41.0,254.0,425.0,True
6,11.0,48.0,0.12,4.0,9.0,1.25,660.0,423.0,True
7,19.62,27.0,0.38,3.0,7.12,1.97,479.0,282.0,True
8,15.12,57.0,0.18,4.0,8.94,1.25,51.0,365.0,True
9,11.33,61.0,0.22,2.0,18.94,1.25,354.0,450.0,True
10,28.0,63.0,0.33,3.0,4.89,1.25,530.0,308.0,True
11,61.0,64.0,1.5,2.0,13.0,1.25,1.0,703.0,True
12,25.92,40.0,0.25,3.0,11.42,1.0,757.0,848.0,True
13,19.14,43.0,0.43,4.0,2.71,1.97,517.0,435.0,True
14,42.75,70.0,0.75,2.0,0.0,1.25,155.0,335.0,True
15,16.73,53.0,0.14,4.0,10.73,1.97,719.0,498.0,True
16,23.5,68.0,0.19,3.0,12.5,1.03,397.0,287.0,True
17,24.16,89.0,0.16,6.0,12.16,0.56,1180.0,790.0,True
18,95.0,90.0,1.0,2.0,0.0,1.25,480.0,512.0,True
19,11.72,91.0,0.12,3.0,16.0,1.97,312.0,280.0,True
20,62.83,99.0,0.5,2.0,7.17,1.25,523.0,364.0,True
21,31.8,136.0,0.3,4.0,8.9,1.97,526.0,515.0,True
22,44.43,141.0,0.43,3.0,1.14,1.97,387.0,348.0,True
23,43.0,153.0,0.21,3.0,13.29,1.97,974.0,538.0,True
24,155.5,126.0,1.5,2.0,0.0,1.25,448.0,519.0,True
25,33.56,130.0,0.44,6.0,0.22,1.25,231.0,412.0,True
26,49.5,198.0,0.38,3.0,12.88,1.97,171.0,316.0,True
27,53.0,12.0,0.67,2.0,0.33,1.79,565.0,408.0,True
28,42.25,18.0,0.5,2.0,0.25,1.79,1121.0,955.0,True
29,27.05,25.0,0.19,7.0,24.0,0.95,600.0,698.0,False
30,23.83,152.0,0.22,6.0,13.43,1.25,677.0,754.0,True
31,10.0,239.0,0.71,4.0,45.57,0.5,42.0,449.0,False
32,38.83,254.0,0.33,3.0,13.25,1.97,287.0,337.0,True
33,81.6,260.0,0.8,3.0,16.6,1.97,29.0,337.0,True
34,92.8,166.0,0.8,4.0,14.6,1.25,80.0,487.0,True
35,90.67,187.0,0.67,3.0,7.0,1.25,179.0,280.0,True
36,40.05,194.0,0.25,7.0,50.05,1.25,309.0,554.0,False
37,90.78,3.0,0.67,6.0,9.89,0.63,427.0,356.0,True
38,67.0,562.0,0.5,5.0,8.5,1.97,1075.0,726.0,True
39,81.92,264.0,0.5,3.0,23.58,1.25,675.0,574.0,True
40,143.89,904.0,1.0,5.0,51.67,1.03,566.0,1030.0,True
41,53.45,925.0,0.4,3.0,11.7,1.97,732.0,1053.0,True
42,58.84,931.0,0.42,3.0,44.74,1.97,178.0,1173.0,True
43,105.0,101.0,0.75,3.0,27.75,1.68,285.0,486.0,True
44,173.3,54.0,0.9,5.0,35.2,1.45,3.0,474.0,True
45,0.86,186.0,0.07,3.0,0.0,2.0,537.0,450.0,True
46,0.67,228.0,0.17,4.0,3.5,33.0,321.0,277.0,True
47,113.4,39.0,0.73,6.0,12.13,1.12,582.0,585.0,True
48,159.18,45.0,1.0,3.0,8.91,1.12,136.0,309.0,True
49,160.08,253.0,0.92,3.0,60.33,1.68,670.0,590.0,True
50,317.29,12.0,1.86,6.0,30.86,0.96,722.0,773.0,True
51,134.53,17.0,0.76,5.0,35.06,0.96,689.0,473.0,True
52,27.36,23.0,0.82,3.0,23.36,16.0,390.0,789.0,True
53,275.36,150.0,1.27,5.0,0.0,0.62,92.0,1218.0,True
54,42.0,265.0,3.0,3.0,22.8,0.87,92.0,1291.0,False
55,3.57,274.0,1.0,2.0,0.0,257.0,2.0,692.0,True
56,5.0,13.0,0.39,3.0,13.87,11.0,1159.0,649.0,True
57,21.25,316.0,1.75,3.0,1.62,295.0,1042.0,576.0,True
58,0.5,389.0,0.2,3.0,3.9,17.0,581.0,349.0,True
59,2.5,331.0,0.5,2.0,7.25,5.0,261.0,412.0,True
60,5.13,459.0,0.47,8.0,1.0,80.0,34.0,1086.0,True
61,9.78,487.0,0.85,2.0,15.78,0.5,1166.0,694.0,False
62,20.67,5.0,2.67,1.0,16.33,2.0,5.0,485.0,True
63,5.06,147.0,0.33,7.0,59.42,0.0,307.0,1087.0,False
64,10.83,519.0,1.5,5.0,36.17,0.0,51.0,451.0,True
65,10.43,58.0,1.43,3.0,0.57,51.0,412.0,453.0,True
66,2.56,323.0,0.56,3.0,27.56,16.0,402.0,313.0,True
67,12.09,560.0,1.09,4.0,26.82,0.0,531.0,395.0,False
68,13.09,561.0,1.09,4.0,0.0,0.0,395.0,531.0,False
69,14.09,562.0,1.09,4.0,0.0,0.0,781.0,396.0,False
70,13.83,68.0,1.17,3.0,15.42,60.0,676.0,450.0,True
71,14.48,1.0,0.76,3.0,6.24,0.0,668.0,616.0,False
72,18.68,49.0,0.79,8.0,9.63,0.25,348.0,572.0,False
73,17.77,27.0,0.68,7.0,13.73,26.0,502.0,665.0,True
74,4.33,85.0,1.0,3.0,27.44,0.17,687.0,562.0,False
75,4.4,331.0,0.5,5.0,16.4,0.0,906.0,599.0,True
76,11.57,76.0,1.71,1.0,35.14,0.75,283.0,583.0,True
77,21.47,111.0,1.13,7.0,73.2,0.17,283.0,780.0,False
78,10.33,56.0,1.0,3.0,1.89,51.0,206.0,340.0,True
79,31.31,66.0,1.54,6.0,22.46,0.06,232.0,484.0,True
80,11.16,135.0,0.84,6.0,33.95,0.17,331.0,910.0,False
81,0.0,99.0,0.0,1.0,0.0,71.0,0.0,693.0,True
82,20.42,210.0,1.42,5.0,29.17,136.0,981.0,943.0,True
83,28.69,151.0,1.12,7.0,39.56,0.08,895.0,807.0,False
84,37.19,130.0,1.44,6.0,1.94,0.06,142.0,502.0,True
85,21.09,75.0,1.82,3.0,60.45,0.5,895.0,821.0,True
86,25.75,158.0,4.25,3.0,24.75,0.75,172.0,307.0,False
87,30.08,167.0,0.88,6.0,43.6,0.75,394.0,366.0,False
88,18.25,496.0,4.0,1.0,30.5,137.0,218.0,494.0,True
89,53.83,38.0,2.58,3.0,40.75,1.5,630.0,570.0,True
90,38.0,15.0,7.67,3.0,5.67,14.0,442.0,506.0,True
91,17.33,195.0,3.5,2.0,57.67,0.06,665.0,562.0,False
92,16.54,40.0,2.0,5.0,5.85,1.21,328.0,331.0,True
93,12.0,21.0,5.0,2.0,8.5,10.0,5.0,809.0,True
94,5.71,63.0,2.14,2.0,4.57,1.0,16.0,493.0,True
95,30.67,44.0,1.75,6.0,35.29,0.5,779.0,590.0,True
96,3.75,56.0,0.33,3.0,85.92,42.0,276.0,520.0,True
97,4.4,10.0,1.4,1.0,11.0,0.76,752.0,555.0,True
98,14.83,331.0,3.33,2.0,0.0,0.0,28.0,356.0,False
99,30.9,1.0,1.5,5.0,46.5,0.5,222.0,1113.0,True
100,15.17,12.0,2.67,1.0,77.33,6.0,0.0,779.0,True
101,61.78,19.0,5.56,4.0,9.44,0.53,625.0,426.0,False
102,11.5,114.0,2.0,3.0,11.64,67.0,760.0,790.0,True
103,28.42,23.0,2.47,5.0,55.42,0.53,154.0,578.0,True
104,8.0,83.0,2.08,3.0,0.0,0.0,3.0,484.0,True
105,1.0,524.0,0.5,1.0,2.0,339.0,0.0,1163.0,True
106,3.0,534.0,1.0,1.0,0.0,347.0,0.0,1173.0,True
107,32.56,591.0,3.28,5.0,8.28,0.25,159.0,1438.0,False
108,44.38,607.0,2.76,6.0,0.0,0.0,401.0,762.0,False
109,3.9,4.0,1.4,1.0,18.0,3.0,371.0,631.0,True
110,23.7,668.0,1.91,4.0,68.35,0.0,604.0,1371.0,True
111,23.7,668.0,1.91,4.0,68.35,0.0,607.0,1374.0,True
112,25.0,677.0,3.3,4.0,9.3,0.03,62.0,370.0,False
113,18.0,54.0,4.17,2.0,24.33,39.0,317.0,343.0,True
114,9.53,157.0,1.0,5.0,0.0,0.63,78.0,678.0,False
115,62.0,22.0,7.0,3.0,43.25,15.0,5.0,570.0,True
116,3.71,7.0,1.71,1.0,0.0,0.0,9.0,504.0,True
117,56.64,464.0,5.73,2.0,0.0,1.0,12.0,527.0,False
118,11.53,68.0,1.76,3.0,33.18,0.35,417.0,383.0,True
119,11.53,68.0,1.76,3.0,33.18,0.35,417.0,383.0,True
120,10.94,178.0,0.56,1.0,14.67,136.0,287.0,475.0,True
121,82.77,491.0,6.62,5.0,0.0,0.08,79.0,897.0,False
122,24.78,197.0,3.22,3.0,30.11,0.5,1071.0,901.0,False
123,13.33,0.0,2.0,2.0,19.0,0.0,67.0,419.0,False
124,22.07,103.0,3.14,1.0,0.0,0.76,126.0,781.0,False
125,2.69,107.0,0.46,2.0,62.54,80.0,502.0,1198.0,True
126,69.43,206.0,9.14,6.0,10.14,0.5,324.0,692.0,False
127,48.29,121.0,4.43,1.0,0.0,93.0,175.0,701.0,True
128,5.86,125.0,1.14,2.0,2.71,0.76,890.0,643.0,False
129,50.5,576.0,4.43,1.0,1.86,409.0,175.0,698.0,True
130,4.36,31.0,0.45,3.0,30.36,0.01,483.0,555.0,False
131,36.86,134.0,4.0,2.0,18.21,0.76,246.0,385.0,False
132,6.0,37.0,0.76,2.0,4.29,0.0,656.0,864.0,False
133,62.35,137.0,4.15,4.0,15.65,0.76,483.0,343.0,False
134,12.25,611.0,4.25,2.0,0.0,18.0,0.0,1209.0,False
135,50.47,109.0,2.53,3.0,43.43,0.35,289.0,379.0,False
136,20.57,13.0,1.7,5.0,40.13,0.75,262.0,641.0,True
137,43.63,106.0,2.2,6.0,0.0,0.75,479.0,990.0,True
138,13.0,166.0,2.86,1.0,8.43,133.0,433.0,460.0,True
139,23.5,38.0,3.6,2.0,13.6,35.0,930.0,543.0,False
