,nuc,arexp,ent,ndev,age,asexp,la,ld
6757,302.91666666666697,334.249999999997,0.468995593589281,5.705882352941179,6.0,1.001266363812,47.5,0
6775,234.25,374.166666666666,1.06045336442943,5.705882352941179,14.333333333333302,0.931136402980458,64.5,6
7059,133.91666666666652,367.866666666664,0.7219280948873621,0.16145833333333348,6.5,1.001266363812,35.0,0
7007,302.91666666666697,283.0,1.27516298278486,38.5,13.25,1.96706191587738,47.5,0
6718,93.58333333333334,283.0,0.7117966273847359,2.8,18.4,0.90625,64.5,0
6847,302.91666666666697,69.0,1.10175987610982,5.705882352941179,12.666666666666698,1.96706191587738,16.0,6
7262,302.91666666666697,16.0,2.98343553845782,5.705882352941179,45.22222222222221,1.55439758300781,16.0,0
6610,302.91666666666697,329.33333333333303,1.64690688329572,5.705882352941179,18.8333333333333,1.6729214586464098,2.5,6
7846,302.91666666666697,0.0,1.56806100037454,53.4,20.73055555555555,0.0,64.5,0
6643,174.6,141.5,1.63700140270759,4.76,0.4,0.53210557535794,64.5,0
6555,302.91666666666697,37.0,0.150633715078446,5.705882352941179,2.3333333333333304,1.38764997489117,64.5,0
6964,28.282894736842103,64.0,1.31923239694577,0.7272727272727271,135.5,0.587874770489042,64.5,6
6989,302.91666666666697,4.0,1.85410286353937,0.16145833333333348,0.0,0.925925925925926,64.5,5
7000,154.333333333333,283.0,2.09920610905478,5.705882352941179,106.166666666667,0.75,16.0,6
6590,302.91666666666697,902.200000000027,1.99383986177062,5.705882352941179,3.5,1.66426022112117,47.5,0
7464,31.038461538461554,201.5,1.47395300928859,4.46153846153846,120.166666666667,1.15703902668251,64.5,0
7121,180.32142857142892,391.949999999998,1.08158926632512,5.705882352941179,9.66666666666667,1.001266363812,64.5,6
7520,302.91666666666697,13.0,3.02718355896823,5.705882352941179,38.2,0.4600635908095999,64.5,3
7547,211.34375,453.0,3.07912393879476,5.705882352941179,76.34375,0.589920853456519,64.5,6
7676,28.282894736842103,283.0,2.42325458822349,1.3,116.9,0.920036718249321,64.5,6
