,nuc,aexp,nd,ns,age,asexp,la,ld
5717,7.073387096774194,180,1,1,53.4,3.24845932482276e-05,92.0,3
5077,9.25,256,2,1,10.7777777777778,0.1274378598992619,92.0,5
4911,9.25,205.0,1,1,63.4,0.256656616364497,92.0,89
4914,9.25,1,1,1,77.08823529411765,0.5,92.0,15
4919,7.073387096774194,2,1,1,13.75,0.75,92.0,17.0
4965,9.25,175,1,1,49.29411764705879,59.5,92.0,141
4987,9.25,189,1,1,77.08823529411765,0.1254732310808319,92.0,36
5028,9.25,154,1,1,77.08823529411765,0.203968880247527,92.0,350
5049,13.5,169,1,1,77.08823529411765,0.527485149057826,18.5,17.0
5051,9.25,173,1,1,78.8333333333333,59.5,18.5,37
5090,9.25,193,1,1,77.08823529411765,0.167467837515468,18.5,40
5060,15.333333333333302,179,1,1,415.454545454545,0.527485149057826,92.0,17.0
5094,17.6666666666667,195,1,1,77.08823529411765,59.5,92.0,22
5129,7.073387096774194,18,1,1,39.6111111111111,0.124168161896053,92.0,17.0
5138,20.0,232,1,1,77.08823529411765,1.3938343930215198e-07,92.0,356
5171,20.0,284,1,1,9.66666666666667,59.5,92.0,26
5236,9.25,49,1,1,77.08823529411765,0.0047776103560293,92.0,31
5245,20.0,339,1,1,17.5,0.255878687444241,92.0,160
5250,14.25,50,1,1,287.0,0.0451866723898053,92.0,17.0
5251,9.25,344,1,1,77.08823529411765,0.0541104400761637,18.5,51
5283,6.941176470588241,0,1,1,17.5,0.0,92.0,12.5
5319,5.428571428571429,386,1,1,62.625,0.1254732310808319,92.0,17.0
5337,3.42222222222222,396,1,1,77.08823529411765,0.0055341022396657,92.0,72
5390,9.25,442,1,1,10.857142857142902,59.5,92.0,73
5416,7.073387096774194,205.0,1,1,48.45360824742272,0.240584182418603,92.0,108
5438,3.42222222222222,29,1,1,9.23076923076923,0.6580800009096159,92.0,17.0
5441,20.0,33,1,1,77.08823529411765,3.666403999521599e-12,92.0,1164
5444,7.073387096774194,35,1,1,77.08823529411765,1.01648000075358,92.0,326
5466,9.4,501,1,1,2.708333333333335,0.0537040082014023,92.0,17.0
5523,7.073387096774194,416,1,1,77.08823529411765,0.166338686541857,92.0,38
5594,7.78571428571429,567,1,1,77.08823529411765,0.0005588683215173,92.0,17.0
5599,9.625,145,1,1,77.08823529411765,59.5,92.0,71
5630,7.928571428571429,794.0,1,1,77.08823529411765,0.166338686541857,92.0,190
5770,9.25,219,1,1,77.08823529411765,0.537988683212231,92.0,35
5811,7.073387096774194,238,1,1,17.5,1.3435388752605502,92.0,93
5817,3.71428571428571,242,1,1,77.08823529411765,1.19341567583229,92.0,15
5909,9.25,757,1,1,1.14285714285714,0.0170705921244375,92.0,16
5760,10.474712643678199,507,1,1,261.0,1.0799741193348,92.0,10.5
5481,11.45,895.0,1,1,10.7777777777778,0.845377605736098,92.0,3
