,nuc,aexp,age,asexp,la,ld
1168,11.1818181818182,139,16.0,0.4828551056115789,61,0
1179,5.344262295081969,153,392.016393442623,0.6250003632286519,0,541
1207,23.0,0,18.5714285714286,0.0,0,3
1241,33.5,13,9.5,0.140625,0,4
1247,12.8125,213,84.25,0.481481481822672,0,662
1199,16.571428571428598,15,160.857142857143,0.0,0,178
1250,2.28571428571429,105,63.28571428571429,14.0,0,47
1303,33.0,0,49.6666666666667,0.0,0,90
1219,21.0,190,46.25,50.0,0,95
1310,36.26315789473679,283,26.84210526315789,0.111263527200178,0,237
1294,30.5,117,0.0,1.19977710778333e-11,0,165
1346,38.723404255319096,128,65.44680851063829,1.3107241942966996e-12,0,837
1329,12.055555555555598,0,21.25,0.0,0,122
1326,5.428571428571429,309,5.571428571428571,0.481481481822672,0,2
1304,29.058823529411807,278,39.3529411764706,0.253907366434888,0,856
1351,36.75,0,26.25,0.0,0,16
1391,24.21428571428569,11,35.4285714285714,0.0714166164398193,0,48
1360,11.0,1269,128.769230769231,3.46869601181963e-19,0,111
1387,19.2222222222222,369,105.133333333333,0.1249811829453869,0,324
1163,15.8611111111111,136,31.4166666666667,0.0,0,188
1411,12.142857142857098,386,323.714285714286,0.4814816908978301,0,323
1165,80.0,0,39.3333333333333,0.111263527200178,0,360
1201,0.0,132,4.8,0.984005906256675,0,45
1235,10.0,204,36.4137931034483,0.0,0,1874
1447,25.4444444444444,423,46.6111111111111,0.0004179061587702,0,533
1180,0.0,154,37.7971014492754,0.124828555466513,0,785
1236,12.1739130434783,21,403.0,1.0,0,1478
1341,59.4117647058824,15,403.0,0.3330965833738449,0,66
1317,52.125,290,403.0,0.253907366434888,0,264
1369,0.0,8,6.43103448275862,0.0046296296296296,0,2
1334,46.77777777777778,0,57.3333333333333,0.0,0,35
1386,9.31578947368421,0,98.6315789473684,0.0130313319598587,0,3371
1243,0.0,47,15.0,9.0,0,5
1356,30.357142857142897,331,0.0,0.0277777777777781,0,103
1363,0.3103448275862069,341,11.833333333333302,0.328370213509602,0,21
1193,31.3125,128,216.0,0.50004829636507,0,228
1368,47.77777777777778,1,198.111111111111,0.0625152587911276,0,31
1378,19.8947368421053,357,251.75,0.166598664176263,0,368
1160,35.0,1,13.2,161.0,0,7
1166,19.8,120,77.40625,0.2500005070848,0,68
1172,68.0,123,105.666666666667,161.0,0,18
1171,17.6875,143,24.5625,0.328140258790058,0,795.0
1198,26.75,129,76.14583333333334,22.0,0,33
1175,29.142857142857103,0,67.21428571428571,0.0,0,77.0
1231,10.6666666666667,19,50.22222222222221,1.0,0,228.0
1226,6.5454545454545485,200,77.90625,0.1241238356805389,0,462
1349,81.0,3,53.2,0.875,0,15
1384,23.5810810810811,1,219.959459459459,91.0,0,165
1359,13.6153846153846,335,77.90625,0.0416184533387943,0,96
1256,21.3157894736842,231,70.3974358974359,0.02779980708186,0,450
1390,22.4117647058824,10,68.83333333333334,0.0293299348052042,0,5
1450,24.3333333333333,430,1.6,57.0,0,15
