,nuc,aexp,nd,ns,age,asexp,la,ld
10257,,,,,,,,
10054,,,,,,,,
11332,,,,,,,,
11475,,,,,,,,
9361,0.7111111111111109,6,5,1,1.4888888888888898,104.0,99.5,130
9465,,,,,,,,
9685,2.2380952380952404,2,4,2,0.952380952380952,1.0,15.0,107.5
9393,1.18032786885246,2,7,1,3.04918032786885,107.5,227.5,313.5
9558,1.35,2,9,1,3.65,0.0,261.0,80.0
9384,0.306451612903226,52,15,1,1.5645161290322598,261.5,155.5,422.0
9806,7.928571428571429,18,5,1,71.5714285714286,9.0,148.0,152.0
9808,0.0,18,3,1,0.0,100.0,1515,58.0
9397,0.549019607843137,2,11,1,3.5098039215686296,169.5,35.0,185.5
9400,1.6666666666666698,34,5,1,3.5833333333333304,97.5,52.0,103.5
9417,0.581395348837209,4,12,1,1.48837209302326,623.0,60.5,304.0
9403,0.3928571428571429,3,17,1,2.125,195.0,84.5,556.5
9438,1.22222222222222,7,6,1,1.05555555555556,101.0,46.5,321.5
9432,1.2564102564102602,1,16,1,3.97435897435897,136.0,84.5,602.0
9469,0.470588235294118,8,4,1,3.23529411764706,76.5,52.0,196.5
9473,1.19047619047619,7,22,1,3.89285714285714,165.5,126.0,322.5
9491,1.23214285714286,6,15,1,154.60000000000002,6.0,54.0,299.5
9498,21.12,13,12,3.0,106.96,94.5,28.0,908
9523,1.0,8,9,1,4.15384615384615,264.5,16.0,590.5
9532,42.0,14,3.0,3,147.272727272727,0.15371665590975,130.0,66
9552,28.35,38,10,2,83.725,80.0,232.5,1141.5
9533,1.57692307692308,9,11,1,3.11538461538462,332.0,54.0,153.0
9557,2.51923076923077,16,17,1,4.78846153846154,172.5,135.5,1710.0
9582,26.2727272727273,0,16,2.0,8.42424242424242,98.0,237.0,1
9579,,,,,,,,
9561,1.21052631578947,35,14,2,30.8157894736842,121.0,222.0,1703.5
9591,2.17171717171717,10,14,1,13.3737373737374,92.5,128.0,485.0
9606,1.34146341463415,2,12,1,15.512195121951196,76.5,124.0,747.0
9617,2.57142857142857,1,8,2,9.0,223.5,97.5,283.0
9597,,,,,,,,
9711,,,,,,,,
9777,2.46341463414634,15,14,1,12.5853658536585,94.5,189.0,652.5
9738,4.075,42,15,2,9.525,126.0,169.0,939.0
9872,0.6190476190476191,0,11,1,4.57142857142857,74.5,94.5,319.5
9942,4.46875,206,10,1,7.53125,338.5,129.0,548.0
9982,4.375,0,12,1,5.03571428571429,69.0,124.0,1055.5
9949,,,,,,,,
10089,,,,,,,,
10092,5.2,22,6,1,5.13333333333333,86.0,165.0,139.5
10105,0.181818181818182,21,7,1,2.45454545454545,95.5,58.5,350.0
10182,1.39473684210526,25,9,1,2.26315789473684,366.0,278.0,216.5
10193,3.63636363636364,4,13,1,18.772727272727305,209.5,84.5,352.5
10192,3.59090909090909,77,12,1,2.2727272727272703,111.5,158.5,562.5
10201,21.1538461538462,100,4,1,9.69230769230769,126.0,79.5,218.5
10217,6.48571428571429,30,11,2,11.0571428571429,194.0,59.5,298.5
10225,4.04081632653061,23,10,1,34.448979591836704,74.5,99.5,632.5
10350,4.2807017543859605,31,18,1,17.719298245614,194.0,72.0,352.0
10380,4.56,30,14,3,15.6,176.0,58.5,303.0
10470,19.0294117647059,10,7,2,0.0294117647058824,97.5,153.5,1077.0
10893,15.0,28,5,2.0,100.888888888889,0.370092917766555,184,125.5
10916,2.06896551724138,1,11,2,7.4482758620689715,206.5,55.0,399.5
10959,7.71428571428571,90,17,2,35.028571428571404,64.0,47.0,710.0
11156,2.63333333333333,22,16,1,21.4333333333333,96.5,344.5,1208.0
11159,3.69491525423729,18,18,1,28.084745762711897,143.0,85.0,374.0
11301,12.1,40.5,5,4,44.67424242424245,0.140625002153683,74.0,2
11370,10.5833333333333,20,8,2,15.166666666666698,93.5,74.0,256.5
11346,16.1,9,10,4,76.3,91.5,207.0,458.0
11542,13.6,855.0,3,3,32.2,126.5,68.0,365
9358,6.83333333333333,51,4,1,0.0,121.0,16.0,57.0
9370,0.4102564102564099,137,11,1,42.85416666666665,271.0,372.0,1163.0
9374,1.1395348837209298,1,11,1.0,191.744186046512,117.0,250.5,103.5
9376,1.10344827586207,32,8,1.0,0.482758620689655,142.0,80.5,948.5
9378,30.55,128,20,1,9.82954545454546,87.0,324.5,4432.0
9406,30.0,27,12,1,7.9375,68.0,176.5,1710.0
9445,1.19178082191781,0.0,20,1,3.24657534246575,389.0,170.5,272.0
9496,29.4642857142857,11,8,1,139.733333333333,75.5,38.5,99
9513,1.27906976744186,15,9,1,210.0,519.0,260.0,984.0
9550,37.0,15,9,1,184.777777777778,15.0,102.5,330.0
9551,,,,,,,,
9564,1.32142857142857,38,21,1.0,22.46428571428569,265.5,204.0,2470.0
9578,39.5555555555556,90.0,5,5,123.555555555556,36.5,153.0,172.0
9586,11.6818181818182,413.0,1.0,2,99.4545454545455,81.0,1778,3319.0
9680,2.3454545454545497,12,21.0,1,12.2181818181818,157.0,322.0,1710.0
9781,12.5714285714286,34,22,1.0,7.047619047619048,109.5,80.5,1954.0
9704,38.309523809523796,178,19,1.0,14.892307692307696,125.0,391.0,971
9836,4.75675675675676,179.5,17,1,168.333333333333,156.0,87.0,411
9859,2.27692307692308,21,9,1,3.792857142857145,190.5,180.0,750.0
9909,1.3913043478260902,757.0,14,1,9.82608695652174,74.5,71.0,34.0
9911,1.47826086956522,0,10,1.0,4.73913043478261,272.0,26.5,324.0
9950,7.28571428571429,1,8,4,70.3900316455696,73.5,10.0,193.0
9979,3.9583333333333295,154.5,19,1,19.5833333333333,149.5,255.5,545.0
10006,,,,,,,,
10017,2.61666666666667,16,20,1,54.775,144.0,69.0,1576.0
10029,37.4117647058824,889.0,5,2,99.7647058823529,378.5,48.0,434.0
10064,2.68965517241379,101.5,15,2,3.68965517241379,135.5,113.0,540.5
10093,4.34615384615385,74,10,1,72.123339658444,170.5,67.0,767.5
10108,1.58823529411765,23,4,1,111.5,56.5,30.0,403.0
10112,5.892857142857139,24,21.0,1,14.7857142857143,179.0,113.0,183.5
10143,,,,,,,,
10258,6.325,29,18,1.0,11.725,97.5,53.0,770.5
10319,3.93333333333333,7,9,1,27.6666666666667,169.5,65.5,258.5
10490,0.5957446808510639,72,18,1,44.03511404561825,248.5,373.0,533.0
10550,,,,,,,,
10741,31.2,76,3,1.0,113.4,144.0,497.0,2899.5
10818,20.514285714285705,56.5,12,4,16.1142857142857,215.0,204.0,318.5
11022,18.0434782608696,48.0,7,5,147.977272727273,0.08064,64.5,1095.0
11258,,,,,,,,
11304,,,,,,,,
