,nuc,aexp,ns,age,asexp,la
1993,,,,,,
2002,,,,,,
2189,,,,,,
2198,,,,,,
2217,,,,,,
2228,,,,,,
2242,,,,,,
2301,,,,,,
1912,,,,,,
1918,,,,,,
1920,,,,,,
1921,,,,,,
1923,,,,,,
1933,,,,,,
1935,,,,,,
1937,,,,,,
1942,,,,,,
1951,,,,,,
1956,,,,,,
1958,,,,,,
1962,,,,,,
1973,,,,,,
1978,,,,,,
1980,,,,,,
1988,,,,,,
1997,6.33333333333333,5,2,46.9027777777778,1.013671875,60.5
2003,,,,,,
2005,,,,,,
2015,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2031,,,,,,
2033,,,,,,
2037,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2045,,,,,,
2046,,,,,,
2048,,,,,,
2049,,,,,,
2057,,,,,,
2060,,,,,,
2063,,,,,,
2066,,,,,,
2067,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2076,,,,,,
2077,,,,,,
2087,,,,,,
2089,,,,,,
2096,,,,,,
2097,,,,,,
2101,,,,,,
2106,,,,,,
2108,,,,,,
2138,,,,,,
2145,,,,,,
2153,,,,,,
2171,,,,,,
2193,,,,,,
2199,,,,,,
2203,,,,,,
2220,,,,,,
2222,,,,,,
2234,,,,,,
2241,,,,,,
2247,,,,,,
2250,,,,,,
2259,,,,,,
2263,,,,,,
2266,,,,,,
2271,,,,,,
2272,,,,,,
2274,,,,,,
2281,,,,,,
2291,,,,,,
2296,,,,,,
2341,,,,,,
2363,,,,,,
