,nuc,aexp,ns,age,asexp,la
2138,29.395238095238096,284.0,2,46.9027777777778,0.161784052834264,60.5
2222,11.845238095238102,13.5,2,0.9545454545454546,0.161784052853271,227.0
2242,1.8,17.5,2,49.1428571428571,0.26073009710910344,227.0
1973,1.8,6,1,55.4777777777778,0.0233196159122085,227.0
2048,48.8181818181818,6,1,287.826388888889,0.0740740740740741,227.0
2063,35.7,25.5,2,5.83333333333333,1.013671875,202.0
1980,114.0,34,2,5.83333333333333,0.26073009710910344,202.0
2077,46.1034482758621,6,1,5.9,152.0,227.0
2234,18.8730158730159,6,1,22.71428571428569,0.786865234375,227.0
1956,49.43243243243239,115.5,1,63.28125,161.0,227.0
1962,43.4285714285714,37.0,1,46.9027777777778,127.0,227.0
2005,1.8,69,1,106.1363636363635,0.23720447227796798,227.0
2015,49.7826086956522,54.0,1,46.9027777777778,183.5,227.0
2023,57.8571428571429,54.0,1,46.9027777777778,127.0,227.0
2033,14.9,6.0,1,46.9027777777778,0.0480000000002748,60.5
2037,72.5714285714286,37.0,1,63.28125,0.26073009710910344,60.5
2042,46.2903225806452,85.0,1,46.9027777777778,0.4243255601280289,60.5
2096,44.58928571428571,23.5,1,46.9027777777778,127.0,227.0
2106,25.34848484848485,293,1,20.35416666666665,0.4243255601280289,60.5
2108,29.395238095238096,23.5,1,37.8888888888889,127.0,227.0
2145,18.8730158730159,12,1,103.4848484848485,0.26073009710910344,227.0
2189,24.0625,25.5,2,5.9,0.26073009710910344,152.0
2241,25.34848484848485,392,1,46.9027777777778,0.26073009710910344,60.5
2250,18.8730158730159,447,1,46.9027777777778,1.6943359375,227.0
2266,17.5897435897436,160.5,1,5.83333333333333,0.26073009710910344,227.0
2271,23.2372881355932,23.5,1,46.9027777777778,75.0,227.0
2272,11.6727272727273,23.5,1,5.9,25.0,227.0
2071,19.2857142857143,2,1,34.1428571428571,0.099767325632148,152.0
2274,1.8,17.5,1,50.0833333333333,0.23720447227796798,227.0
1923,29.395238095238096,6,3,247.0,0.0626220703125,227.0
1937,17.8235294117647,1,2,28.25,1.013671875,92.0
2066,14.9,6,2,46.9027777777778,21.0,60.5
1993,107.666666666667,37.0,3,6.90625,0.26073009710910344,60.5
2046,29.395238095238096,6,2,46.9027777777778,1.013671875,60.5
2057,85.1428571428571,312.5,4,46.9027777777778,0.21337499999999998,227.0
2097,18.8730158730159,6,1,5.9,1.013671875,227.0
2171,1.8,23.5,3,46.9027777777778,0.0,227.0
2002,74.8571428571429,6,4,1.0,75.0,227.0
2070,21.5909090909091,6,1,46.9027777777778,0.26073009710910344,81.0
2203,4.291666666666665,37.0,1,23.8,0.26073009710910344,152.0
2281,72.0769230769231,23.5,4,66.4615384615385,0.099767325632148,227.0
2259,15.8181818181818,308.5,3,34.1428571428571,0.0740740740740741,227.0
2296,107.75,23.5,3,30.2941176470588,0.26073009710910344,60.5
2301,29.395238095238096,6,2,5.9,34.0,60.5
2247,72.6666666666667,115.5,4,1.0,0.099767325632148,227.0
2291,35.309523809523796,126,4,221.75,0.099767325632148,227.0
1920,2.74342105263158,37.0,2,40.0,20.0,92.0
1921,20.3703703703704,13.5,2,46.9027777777778,20.0,60.5
1933,86.625,23.5,2,20.35416666666665,25.0,60.5
1951,7.375,15,2,63.28125,1.013671875,60.5
1958,7.375,37.0,2,46.0,20.0,60.5
2024,14.9,14,2,106.1363636363635,0.4032581005429416,60.5
2040,25.34848484848485,362,2,20.35416666666665,20.0,60.5
1918,3.954761904761905,17.5,2,131.0,0.05177147697323965,227.0
2060,4.571895424836605,23.5,2,46.9027777777778,0.0,227.0
2067,11.845238095238102,284,2,0.9545454545454546,9.0,227.0
2069,11.845238095238102,8,2,46.9027777777778,0.6159380496719935,60.5
2087,67.5,23.5,2,5.9,152.0,227.0
2200,48.75,23.5,4,46.9027777777778,0.0740740740740741,92.0
2263,2.74342105263158,23.5,2,46.9027777777778,3.0,227.0
2049,12.49444444444445,19,2,0.9545454545454546,1.013671875,148.0
1935,6.33333333333333,23.5,1,46.9027777777778,0.26073009710910344,60.5
1942,1.8,37.0,2,46.9027777777778,0.23720447227796798,227.0
1988,29.395238095238096,37.0,2,5.83333333333333,0.26073009710910344,60.5
1997,17.55,23.5,1,46.9027777777778,0.6159380496719935,60.5
2003,8.464285714285715,23.5,1,46.9027777777778,75.0,227.0
2022,11.845238095238102,157.0,1,5.83333333333333,20.0,227.0
2031,18.8730158730159,115.5,2,287.826388888889,0.26073009710910344,227.0
2041,6.33333333333333,23.5,2,46.9027777777778,0.26073009710910344,60.5
2045,29.395238095238096,23.5,1,63.28125,1.013671875,60.5
2076,1.32051282051282,19.0,1,46.9027777777778,20.0,227.0
2089,1.8,31.5,2,46.9027777777778,0.26073009710910344,227.0
2101,2.69047619047619,9.5,1,5.9,9.0,227.0
2153,1.8,37.0,1,46.9027777777778,0.808349609375,227.0
2198,25.34848484848485,23.5,2,46.9027777777778,0.4243255601280289,60.5
2199,2.74342105263158,23.5,2,46.9027777777778,0.26073009710910344,227.0
2217,6.33333333333333,23.5,2,46.9027777777778,0.4243255601280289,60.5
2363,41.7857142857143,37.0,3,287.826388888889,0.05177147697323965,227.0
2293,29.395238095238096,23.5,1,29.6666666666667,0.4243255601280289,60.5
2220,11.845238095238102,157.0,1,6.90625,20.0,227.0
2341,18.8730158730159,85.0,2,46.9027777777778,1.013671875,227.0
1912,19.2142857142857,1.5,2,34.1428571428571,0.1826416621642315,152.0
2228,4.58823529411765,11,3,5.9,0.26073009710910344,58.0
