,nuc,aexp,ns,age,asexp,la
2041,,,,,,
1973,,,,,,
1988,,,,,,
2022,,,,,,
2063,,,,,,
2048,,,,,,
2198,,,,,,
2203,,,,,,
2070,,,,,,
2096,,,,,,
2217,,,,,,
2220,,,,,,
2250,,,,,,
2222,,,,,,
2291,,,,,,
2341,,,,,,
2003,,,,,,
1980,,,,,,
1956,,,,,,
2071,,,,,,
2087,,,,,,
2077,,,,,,
2101,,,,,,
2263,,,,,,
2145,,,,,,
2200,,,,,,
2274,,,,,,
2272,,,,,,
1942,,,,,,
2138,,,,,,
2171,,,,,,
2281,,,,,,
2057,,,,,,
2037,,,,,,
2228,,,,,,
1912,19.2142857142857,68,1,74.46428571428571,54.0,4
2005,,,,,,
1993,107.666666666667,40,2,31.4444444444444,75.5,110
2271,,,,,,
2108,,,,,,
2023,,,,,,
2045,,,,,,
2060,,,,,,
2199,,,,,,
2242,,,,,,
2259,,,,,,
1962,,,,,,
