,nuc,aexp,ns,age,asexp,la
1921,,,,,,
2042,,,,,,
2041,,,,,,
2296,,,,,,
2101,,,,,,
2069,21.3333333333333,8,1,103.777777777778,2.0,1
2060,,,,,,
2076,,,,,,
2145,,,,,,
1912,,,,,,
2146,,,,,,
2198,,,,,,
1951,,,,,,
1923,,,,,,
1962,,,,,,
1973,,,,,,
1988,,,,,,
1980,,,,,,
2002,,,,,,
2033,,,,,,
2023,,,,,,
2048,,,,,,
2071,,,,,,
2228,54.4814814814815,11,1,13.333333333333302,0.99365234375,0
2250,,,,,,
2259,,,,,,
2263,,,,,,
2341,0.0,17,2,184.47826086956505,1.17870330810547,0
2363,0.0,108,1,38.4285714285714,88.0,0
1958,71.0,75,1,46.0,61.0,3
2193,54.5555555555556,301,1,125.0,0.0500000211350978,2
2247,,,,,,
2242,,,,,,
2045,,,,,,
2106,,,,,,
2274,,,,,,
2199,29.368421052631607,1,2,118.368421052632,0.5,0
2031,,,,,,
2087,,,,,,
1942,139.0,63,2,76.1904761904762,0.7187271136579629,462
2272,,,,,,
2203,,,,,,
2291,0.0,126,2,4.93333333333333,0.99999618063999,6
2222,,,,,,
2057,,,,,,
2070,,,,,,
1918,10.2,71,1,0.0,143.5,438
1956,,,,,,
1978,,,,,,
2096,,,,,,
2005,,,,,,
2077,,,,,,
2108,,,,,,
2046,47.4444444444444,20,2,131.13333333333298,1.69622898101807,2
2153,,,,,,
2138,,,,,,
2036,8.0,423,1,415.0,151.0,38.0
2271,,,,,,
2171,,,,,,
2281,0.0,3,2,185.20833333333348,1.0,285
2266,,,,,,
2022,21.466666666666697,82,1,91.0,167.0,418
2189,,,,,,
2003,4.1,0,1,0.0,169.0,696.0
2241,,,,,,
