,nuc,arexp,ent,ns,age,asexp,la,ld
18376,,,,,,,,
18909,12.3636363636364,4070.63315295846,4.85192091680891,1,117.818181818182,0.992184877394992,1692,15
20249,22.285714285714302,3653.24953102429,2.43320990504501,4,22.657142857142897,0.865100861049788,1370,1277
21445,,,,,,,,
22089,,,,,,,,
20030,8.20481927710843,3117.5000000002,5.721071763970048,1,552.373493975904,0.9999999544843092,8465,0
19312,10.8,2480.75000000016,1.6690101763726002,2,127.2,1386.0,312,13
21395,,,,,,,,
19073,,,,,,,,
18915,,,,,,,,
18896,,,,,,,,
