,nuc,aexp,age,asexp,la,ld
1175,,,,,,
1182,20.2,36.0,1.2,0.0,27.5,3
1199,,,,,,
1303,,,,,,
1329,,,,,,
1334,,,,,,
1346,,,,,,
1360,,,,,,
1351,20.2,36.0,26.25,0.0,37.5,10.0
1450,,,,,,
1160,,,,,,
1163,,,,,,
1165,,,,,,
1166,,,,,,
1168,9.618589743589741,420.0,7.645833333333335,0.253001701905484,37.5,34
1169,,,,,,
1171,,,,,,
1179,,,,,,
1180,,,,,,
1188,20.2,420.0,23.91666666666665,0.0130125151956269,37.5,10.0
1193,,,,,,
1201,20.2,420.0,1.2,25.0,37.5,45
1203,,,,,,
1204,11.0909090909091,420.0,186.25,25.0,37.5,10.0
1207,,,,,,
1219,,,,,,
1226,,,,,,
1231,,,,,,
1235,,,,,,
1236,,,,,,
1241,,,,,,
1243,,,,,,
1247,,,,,,
1250,5.593478260869565,420.0,63.28571428571429,25.0,133.0,34.0
1256,,,,,,
1273,,,,,,
1294,,,,,,
1304,,,,,,
1310,,,,,,
1317,,,,,,
1326,5.428571428571429,420.0,1.2,0.253001701905484,133.0,13.5
1341,,,,,,
1349,,,,,,
1353,20.2,36.0,67.5,25.0,37.5,44.0
1356,,,,,,
1359,,,,,,
1363,,,,,,
1368,20.2,420.0,23.91666666666665,0.0730940524954349,37.5,31
1369,,,,,,
1378,,,,,,
1384,,,,,,
1386,,,,,,
1387,,,,,,
1390,,,,,,
1391,,,,,,
1411,,,,,,
1447,,,,,,
