,nuc,aexp,age,asexp,la,ld
1166,,,,,,
1169,,,,,,
1171,,,,,,
1180,,,,,,
1182,,,,,,
1188,,,,,,
1193,,,,,,
1199,,,,,,
1201,,,,,,
1204,,,,,,
1226,,,,,,
1231,,,,,,
1235,,,,,,
1241,,,,,,
1243,,,,,,
1250,,,,,,
1256,,,,,,
1303,,,,,,
1317,,,,,,
1326,,,,,,
1329,,,,,,
1334,,,,,,
1346,,,,,,
1351,,,,,,
1353,39.75,5,67.5,0.5102880658436211,69,9.0
1359,,,,,,
1360,,,,,,
1368,47.77777777777778,346,198.111111111111,36.0,61,31
1369,,,,,,
1378,,,,,,
1384,,,,,,
1386,,,,,,
1387,,,,,,
1390,,,,,,
1447,,,,,,
1450,,,,,,
1304,29.058823529411807,315.0,39.3529411764706,0.253907366434888,18.5,856
1391,,,,,,
