,nuc,arexp,ent,ndev,age,asexp,la,ld
5739,39.47,87.0,1.8656884815564296,1.21,33.4,0.0018261477787801,4618,254
5588,51.53571428571429,125.0,1.730203492825015,3.35714285714286,11.357142857142902,0.0791056167945688,160.5,109
5766,20.61538461538461,54.5833333333334,1.10529335109454,2.92307692307692,23.076923076923105,0.0939304386187003,702.0,1887
5642,47.75,5.0,1.51518128707551,6.375,22.5,0.1769547325102879,1.0,37
5644,11.333333333333302,6.0,1.420397739328255,2.0,36.1666666666667,5.0,225,24
5733,4.8,0.0,2.5406906582667848,0.95,384.333333333333,0.0,214,193
5903,33.5,43.6666666666667,1.19124688707043,1.625,6.75,1.0,408.0,3386
5574,45.1333333333333,123.0,1.730203492825015,3.3333333333333304,22.533333333333307,74.0,109.0,448
5729,14.1617647058824,164.333333333334,1.68667354622307,0.75,58.533333333333346,0.5,279,255
5661,0.0,87.5,0.0,0.0,0.0,8.0,449.0,0
5521,13.4285714285714,106.0,1.4652542117106202,1.35714285714286,18.7857142857143,0.156435146635124,55.0,77
6446,8.33333333333333,0.0,1.50567526773163,3.1666666666666696,4.66666666666667,0.0,849,151
6002,0.285714285714286,24.5,1.43523377828264,0.142857142857143,8.571428571428571,18.0,62.5,37
5586,14.845238095238102,56.00000000000011,1.5807614371594099,3.7058823529411806,3.23529411764706,0.5464617156882651,2826,2
5889,37.3333333333333,90.95000000000022,1.03618149934122,10.6666666666667,8.0,8.330571417948218e-20,256.5,2
6033,4.611111111111111,11.0,3.4654259470998103,0.6111111111111109,6.5,0.484487863996407,83,13
5911,110.666666666667,188.25,1.7506457956810246,12.5,37.6666666666667,0.40874123359453,234,29
5969,94.75,141.38333333333298,1.8856140752888104,8.428571428571429,33.125,0.232536005936261,665,86
6029,20.9,130.0,1.8553885422075305,2.4,12.4,0.0626289227762466,49.0,117
6049,13.166666666666698,81.10833333333335,0.102460827765925,2.3333333333333304,20.0,0.450919299370464,614.0,7
6074,176.25,102.25,0.8852061229071378,16.25,1.5,1.71232806411219,368.5,2
6134,17.1538461538462,20.75,1.6750078718019,2.69230769230769,33.5384615384615,4.0,143.0,253
6039,5.3846153846153895,45.5,1.52016738806692,1.38461538461538,21.6923076923077,28.0,246.0,48
6174,88.9090909090909,236.083333333334,0.9803770435803746,7.545454545454548,4.36363636363636,1.0,843.5,40
