,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,0.0,28.0,1.49,1.0,0.0,22.0,450.0,0.0,False
1,11.0,73.0,0.0,1.0,0.0,51.0,2.0,1.0,False
2,0.0,163.0,1.77,1.0,0.0,14.0,0.0,584.0,False
3,2.8,81.0,2.05,2.0,12.4,1.0,75.0,25.0,False
4,4.5,271.0,1.91,2.0,5.17,0.22,134.0,28.0,False
5,1.43,273.0,2.67,1.0,0.0,5.0,23.0,12.0,False
6,8.26,300.0,3.64,2.0,11.11,0.22,680.0,98.0,False
7,0.94,310.0,3.2,2.0,5.94,0.22,35.0,118.0,False
8,5.5,386.0,3.66,3.0,0.31,0.06,605.0,22.0,False
9,5.0,495.0,1.45,1.0,0.0,255.0,32.0,34.0,False
10,0.83,615.0,4.07,2.0,2.88,0.22,1805.0,12.0,False
11,1.75,617.0,1.63,1.0,5.0,313.0,57.0,56.0,False
12,3.14,692.0,2.3,1.0,3.14,348.0,588.0,328.0,False
13,33.0,744.0,0.0,1.0,1.0,383.0,9.0,0.0,False
14,26.0,764.0,0.0,1.0,1.0,396.0,29.0,27.0,False
15,10.86,6.0,2.41,1.0,88.14,0.0,302.0,13.0,False
16,0.0,52.0,0.0,1.0,0.0,25.0,36.0,0.0,False
17,12.8,145.0,1.34,1.0,20.8,93.0,108.0,3.0,False
18,14.78,96.0,2.65,1.0,73.22,31.0,41.0,44.0,False
19,2.0,6.0,0.0,1.0,38.0,3.0,5.0,0.0,False
20,45.0,159.0,0.0,1.0,0.0,63.0,1.0,1.0,False
21,2.2,187.0,1.64,1.0,2.0,18.0,24.0,9.0,False
22,11.0,282.0,0.0,1.0,0.0,119.0,3.0,2.0,False
23,0.5,325.0,0.72,1.0,0.0,167.0,68.0,13.0,False
24,18.0,320.0,0.0,1.0,2.0,97.0,5.0,5.0,False
25,1.12,361.0,2.61,1.0,0.88,227.0,32.0,26.0,False
26,0.0,410.0,0.0,1.0,0.0,218.0,61.0,0.0,False
27,1.69,432.0,3.35,1.0,3.54,29.0,624.0,0.0,False
28,17.0,477.0,0.81,1.0,96.5,210.0,4.0,4.0,False
29,3.25,486.0,2.24,1.0,127.5,300.0,111.0,21.0,False
30,10.2,509.0,1.94,1.0,86.2,320.0,33.0,13.0,False
31,2.0,563.0,0.0,1.0,3.0,186.0,8.0,2.0,False
32,25.33,154.0,1.53,2.0,34.0,0.7,3.0,6.0,False
33,6.0,901.0,0.51,1.0,7.5,473.0,33.0,2.0,False
34,35.8,954.0,1.5,1.0,0.0,482.0,45.0,44.0,False
35,9.0,39.0,0.0,1.0,13.0,35.0,7.0,1.0,False
36,37.5,1070.0,0.99,1.0,22.0,568.0,166.0,4.0,False
37,21.57,1091.5,1.85,2.0,19.43,0.99,192.0,3.0,False
38,9.0,674.5,0.0,1.0,3.0,38.0,5.0,11.0,False
39,4.26,1159.0,3.89,2.0,25.52,0.99,543.0,67.0,False
40,1.0,1207.5,0.1,1.0,135.0,708.0,73.0,0.0,False
41,14.71,1346.0,1.32,1.0,18.29,798.0,179.0,2.0,False
42,4.5,1363.0,0.44,1.0,13.5,831.0,86.0,3.0,False
43,2.62,803.5,3.38,1.0,226.0,76.0,472.0,36.0,False
44,4.62,238.0,2.73,1.0,1.25,187.0,44.0,31.0,False
45,63.0,824.5,0.0,1.0,20.0,673.0,14.0,10.0,False
46,30.0,1435.0,0.98,1.0,28.0,914.0,51.0,2.0,False
47,4.64,841.0,3.13,1.0,167.82,84.0,2.0,33.0,False
48,1.0,270.5,0.0,1.0,103.0,157.0,8.0,2.0,False
49,18.42,1753.0,3.16,1.0,37.65,1167.0,536.0,44.0,False
