,nuc,aexp,ns,age,asexp,la
1980,,,,,,
2046,,,,,,
1978,,,,,,
2057,,,,,,
2199,,,,,,
2063,,,,,,
1988,,,,,,
2189,,,,,,
2242,,,,,,
2222,,,,,,
2228,,,,,,
2281,,,,,,
2296,,,,,,
1912,,,,,,
1918,,,,,,
1923,,,,,,
1935,,,,,,
1942,,,,,,
1951,,,,,,
1956,,,,,,
1962,,,,,,
1973,,,,,,
2002,,,,,,
2003,,,,,,
2005,,,,,,
2015,,,,,,
2022,,,,,,
2023,,,,,,
2031,,,,,,
2033,,,,,,
2037,,,,,,
2042,29.395238095238096,54.0,1,46.9027777777778,0.4243255601280289,84
2041,,,,,,
2067,,,,,,
2048,,,,,,
2060,,,,,,
2069,,,,,,
2071,,,,,,
2076,,,,,,
2070,,,,,,
2077,,,,,,
2087,,,,,,
2096,,,,,,
2089,,,,,,
2097,,,,,,
2101,,,,,,
2106,,,,,,
2108,,,,,,
2145,,,,,,
2153,,,,,,
2171,,,,,,
2193,,,,,,
2198,,,,,,
2203,,,,,,
2220,,,,,,
2234,,,,,,
2241,,,,,,
2247,,,,,,
2259,,,,,,
2250,,,,,,
2263,,,,,,
2266,,,,,,
2271,,,,,,
2272,,,,,,
2274,,,,,,
2291,,,,,,
2341,,,,,,
2363,,,,,,
