,nuc,aexp,ns,age,asexp,la
1912,,,,,,
1918,,,,,,
1920,,,,,,
1921,,,,,,
1923,,,,,,
1933,,,,,,
1937,,,,,,
1956,,,,,,
1942,,,,,,
1962,,,,,,
1973,,,,,,
1978,1.5,2,1.0,73.0,0.75,533
1980,,,,,,
2002,,,,,,
2003,,,,,,
2005,,,,,,
2015,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2031,,,,,,
2033,,,,,,
2037,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2046,,,,,,
2048,,,,,,
2057,,,,,,
2060,,,,,,
2066,,,,,,
2067,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2076,,,,,,
2077,,,,,,
2087,,,,,,
2089,,,,,,
2097,,,,,,
2101,,,,,,
2106,,,,,,
2108,,,,,,
2145,,,,,,
2189,,,,,,
2193,,,,,,
2198,,,,,,
2199,,,,,,
2203,,,,,,
2217,,,,,,
2220,,,,,,
2222,,,,,,
2228,,,,,,
2241,,,,,,
2242,,,,,,
2247,,,,,,
2250,,,,,,
2259,,,,,,
2263,,,,,,
2266,,,,,,
2271,,,,,,
2272,,,,,,
2274,,,,,,
2291,,,,,,
2341,,,,,,
2363,,,,,,
1935,,,,,,
1951,,,,,,
2296,,,,,,
2049,42.7727272727273,71.5,2.0,14.087438423645349,28.0,3.0
