,nuc,aexp,nd,ns,age,la,ld
1057,591.0,290,2,1,1.0,67.0,0
1066,12.748251748251748,70,8,2,21.8181818181818,67.0,24
1063,364.5,67,13,2,31.8,13.0,1
1060,4.16233766233766,62,2,1,10.6666666666667,13.0,1
1069,104.545454545455,47.5,5,3,16.727272727272698,76,159
1064,116.666666666667,47.5,16,2,119.5,13.0,464
1062,40.466666666666704,47.5,10,2,119.5,40.0,149
1071,4.16233766233766,47.5,2,1,249.0,33,2
1070,203.833333333333,73,3,1,36.1666666666667,13.0,1
1056,4.16233766233766,47.5,2,1,0.75,13.0,1
1067,4.16233766233766,47.5,2,1,36.0,15,1
1078,4.16233766233766,84,2,1,115.5,13.0,1
1065,364.5,69,4,1,5.6,13.0,1
1068,162.0,72,7,1,119.5,13.0,1
1072,4.16233766233766,91.5,2,1,53.3333333333333,13.0,1
1074,4.16233766233766,47.5,2,1,50.5,13,1
1083,37.5,45,11,2,119.5,97.0,69
1084,95.7727272727273,47.5,14,3,147.545454545455,97.0,30
1085,12.748251748251748,47.5,12,2,46.5,40.0,88
1075,162.0,91.5,6,1,56.71428571428571,13.0,1
1077,73.6111111111111,47.5,15,7,119.5,67,2
1079,112.615384615385,47.5,6,1,131.615384615385,13.0,1
1081,4.16233766233766,91.5,2,1,53.5,10,1
1076,4.16233766233766,91.5,2,1,64.0,12,1
1091,364.5,47.5,6,2,33.375,126.0,13
1093,4.16233766233766,22,5,2,35.8571428571429,339.0,217
1080,4.16233766233766,47.5,2,1,22.0,13.0,1
1082,425.666666666667,138.5,3,1,9.0,67.0,1
1096,4.16233766233766,101,2,1,0.0,97.0,0
1097,353.75,117,3,1,32.5,67.0,0
1086,116.666666666667,68,3,1,56.0,13.0,1
1087,4.16233766233766,92,2,1,57.0,9,1
1102,185.57142857142892,77,3,1,0.0,67.0,0
1089,234.5,93,5,1,56.6428571428571,13.0,1
1101,272.2,105,4,1,214.4,13.0,2
1105,52.9,114,4,1,11.25,67.0,1
1090,4.16233766233766,47.5,3,1,41.5,13.0,1
1094,4.16233766233766,47.5,4,1,29.5,13.0,1
1092,4.16233766233766,47.5,12,1,29.4545454545455,13.0,1
1100,234.5,106,4,1,38.25,67.0,1
1112,364.5,480,2,1,8.5,6,0
1095,162.0,47.5,6,1,119.5,13.0,1
1104,52.9,114.5,4,1,222.25,13.0,2
1103,4.16233766233766,47.5,2,1,112.0,19,1
1111,90.9375,99,7,1,255.5,13.0,2
1117,36.6428571428571,115,8,2,106.3,97.0,7
1106,436.333333333333,46,3,1,3.6666666666666696,31,1
1109,162.0,53,7,1,93.1764705882353,13.0,1
1110,116.666666666667,98,3,1,70.0,13.0,1
1113,162.0,55,9,1,122.15,13.0,1
1123,34.175,47.5,20,3,119.5,13.0,193
1126,214.57142857142892,47.5,6,2,65.14285714285711,163,16
1128,173.625,47.5,7,2,126.75,359,12
1115,4.16233766233766,47.5,2,1,46.0,13.0,1
1114,162.0,91.5,7,1,102.285714285714,13.0,1
1130,457.666666666667,130,2,1,142.333333333333,67.0,1
1134,139.5,47.5,12,2,119.5,13.0,159
1116,52.9,91.5,4,1,67.0,13.0,1
1118,4.16233766233766,47.5,4,1,0.0,13.0,1
1129,116.666666666667,91.5,3,1,296.0,13.0,2
1138,4.16233766233766,91.5,2,1,71.0,13.0,1
1120,4.16233766233766,47.5,2,1,1.0,12,1
1121,234.5,109,3,1,34.2,65,1
1145,28.75,47.5,20,2,231.308823529412,88,86
1125,153.0,91.5,7,1,36.7,13.0,1
1137,116.666666666667,91.5,3,1,234.833333333333,13.0,2
1133,364.5,131,2,1,7.0,5,1
1135,208.14285714285705,47.5,4,1,135.714285714286,13.0,1
1136,4.16233766233766,47.5,3,1,73.25,13.0,1
1154,4.64705882352941,0,4,1,2.82352941176471,67.0,0
1150,78.6,114.5,6,1,288.7,13.0,2
1139,476.666666666667,47.5,3,1,30.3333333333333,13.0,1
1141,4.16233766233766,47.5,2,1,38.25,30,1
1160,4.16233766233766,47.5,3,1,22.75,13.0,1
1146,4.16233766233766,47.5,2,1,0.0,13.0,1
1151,364.5,59,2,1,140.5,8,1
1152,4.16233766233766,47.5,5,1,37.875,13.0,1
1165,490.333333333333,47.5,2,1,129.333333333333,13.0,1
1153,4.16233766233766,47.5,5,1,28.0,13.0,1
1167,111.966666666667,4,16,3,110.5,339.0,35
1168,364.5,5,11,2,83.3333333333333,13.0,67
1155,1.81818181818182,47.5,2,1,0.545454545454545,13.0,1
1157,145.9,70,4,1,119.4,13.0,1
1158,162.0,71,6,1,119.5,13.0,1
1174,227.714285714286,47.5,6,2,120.285714285714,133,102
1162,9.647058823529411,47.5,5,1,195.0,13.0,1
1178,4.16233766233766,27,2,1,8.0,4,1
1163,4.16233766233766,45,3,1,70.8333333333333,13.0,1
1180,116.666666666667,47.5,16,2,121.12,67.0,72
1182,70.43478260869571,47.5,15,2,119.5,13.0,215
1164,162.0,47.5,5,1,118.6,13.0,1
1166,497.333333333333,163,2,1,46.6666666666667,13.0,1
1185,12.748251748251748,47.5,6,2,12.0,328,39
1169,1.55555555555556,47.5,6,1,119.5,13.0,1
1189,4.16233766233766,124,2,1,51.5,13.0,1
1172,259.16666666666697,49,4,1,178.333333333333,13.0,1
1173,162.0,51,4,1,85.8,13.0,1
1179,4.16233766233766,47.5,2,1,127.0,13.0,1
1176,364.5,91.5,4,1,48.1666666666667,13.0,1
1183,162.0,88,5,1,119.5,13.0,1
1199,345.4,114.5,4,1,514.6,13.0,2
1201,563.333333333333,79,2,1,10.0,13.0,1
1186,162.0,95,5,1,89.5,13.0,1
1184,162.0,89,5,1,119.5,13.0,1
1191,162.0,91.5,5,1,41.875,13.0,1
1196,4.16233766233766,91.5,2,1,63.5555555555556,13.0,1
1200,4.16233766233766,47.5,2,1,243.0,13.0,2
1197,364.5,91.5,4,1,42.0,13.0,1
1198,416.0,202,2,1,4.25,13.0,1
1218,116.666666666667,114.5,4,1,347.0,13.0,2
1203,4.16233766233766,47.5,2,1,18.0,5,1
1206,438.75,47.5,3,1,6.5,13.0,1
1222,364.5,47.5,10,4,214.4,66,49
1209,4.16233766233766,47.5,2,1,82.6666666666667,13.0,1
1211,416.75,18,3,1,197.75,13.0,1
1212,52.9,135,8,1,484.6,67.0,1
1217,4.16233766233766,47.5,2,1,31.3333333333333,6,1
1228,482.2,47.5,3,2,11.8,113,3
1219,107.545454545455,96,12,1,214.818181818182,67.0,1
1221,116.666666666667,126,3,1,453.5,13.0,2
1220,19.538461538461497,47.5,6,1,136.230769230769,13.0,1
1234,4.16233766233766,44,2,1,124.333333333333,13.0,1
1236,250.1,47.5,5,3,232.1,232,137
1225,4.16233766233766,21,2,1,159.666666666667,13.0,1
1223,162.0,43,5,1,119.5,13.0,1
1240,364.5,47.5,9,5,66.6666666666667,126.0,0
1227,75.2916666666667,128,2,1,140.75,13.0,1
1246,23.0,39,4,2,9.2,339.0,134
