,nuc,aexp,ns,age,asexp,la
2089,,,,,,
1956,,,,,,
2002,,,,,,
2041,,,,,,
1923,,,,,,
2242,,,,,,
2023,,,,,,
2291,,,,,,
2247,,,,,,
2228,,,,,,
2301,,,,,,
2033,,,,,,
2048,,,,,,
2189,,,,,,
2259,,,,,,
2234,,,,,,
2101,,,,,,
2057,,,,,,
2250,,,,,,
2096,,,,,,
2071,,,,,,
2274,,,,,,
2106,,,,,,
2266,,,,,,
2241,,,,,,
1973,,,,,,
2070,,,,,,
2272,,,,,,
2199,,,,,,
1921,,,,,,
1958,,,,,,
2024,,,,,,
1920,,,,,,
2040,57.0,362,5,24.3333333333333,212.0,65
2153,,,,,,
2049,,,,,,
2293,,,,,,
1980,,,,,,
1988,,,,,,
2005,,,,,,
2015,,,,,,
2042,,,,,,
2063,,,,,,
2077,,,,,,
2138,,,,,,
2271,,,,,,
2263,,,,,,
1978,1.5,2,1,73.0,5.0,533
1935,,,,,,
2045,,,,,,
2341,,,,,,
