,nuc,aexp,ndev,nd,age,asexp,la,ld
7810,,,,,,,,
8149,13.5714285714286,34,2.42857142857143,2,61.8571428571429,0.4989870325080121,3,184.5
8036,11.5,10,2.5,3,47.5,0.498046875,1,77.0
8022,61.2,0,5.5,4,148.65,0.0,5,188.0
7109,56.6125,3,6.142857142857139,4,6.571428571428571,0.515625,208,835.0
8690,,,,,,,,
7179,11.1,121,1.7,4,22.55,0.3459010759789069,18.5,357.0
7147,,,,,,,,
7075,48.732142857142854,11,13.4285714285714,7,40.1428571428571,0.19268798828125,94,691.0
7276,15.369318181818201,69,3.619047619047621,4,69.23809523809521,0.50137637661182,836,3042.0
6986,,,,,,,,
7011,,,,,,,,
7165,,,,,,,,
7239,,,,,,,,
7411,6.0125,61,2.0625,4,31.5625,5.388259911854461e-05,137,419.0
7157,,,,,,,,
7115,,,,,,,,
7325,36.25,24,4.0625,8,46.8125,0.5002319804979191,28.0,1742.5
7275,,,,,,,,
7556,4.30769230769231,72,0.326923076923077,6,49.1730769230769,1.0,120.5,1354.5
7725,16.0,1243.0,4.142857142857141,6,9.714285714285714,0.0,133,1134.5
7309,,,,,,,,
7360,,,,,,,,
7479,,,,,,,,
7465,,,,,,,,
7718,,,,,,,,
8182,11.08,449,1.16,3,209.08,0.3893342034887369,220.0,1814.0
7641,,,,,,,,
8183,15.1052631578947,32,2.94736842105263,2,148.263157894737,2.0,533.0,2917.0
7720,,,,,,,,
8277,7.0,6,1.88888888888889,4,64.3333333333333,0.96875,29.0,312.5
7733,,,,,,,,
8475,30.125,27,5.25,5,37.5,22.0,26.5,653.0
8660,3.8125,9,1.5,3,123.1875,0.129451811207641,20.5,262.5
7088,6.1,44,2.0,1,9.0,0.316731711224197,4,271.0
7816,,,,,,,,
7859,,,,,,,,
7349,18.0,45,3.41176470588235,1,41.1764705882353,0.0625579730842958,45.5,880.0
7860,,,,,,,,
7976,,,,,,,,
8236,,,,,,,,
7598,2.6990950226244355,89.0,4.5,1,19.5,1.0981509385721,0,139
7636,61.8,58.5,7.7,2,59.5,43.0,0,165.5
8185,,,,,,,,
7870,39.6,2,11.8,1,12.8,0.25,11.0,97.0
7918,84.1428571428571,17,7.428571428571429,1,31.5714285714286,1.4999618530273402,14.0,266.0
7966,7.6,5,3.2,1,181.8,0.1152263374485599,42.5,170.0
8016,13.5384615384615,20,3.5,4,19.875,0.0625318636493829,0,118.0
8116,29.2222222222222,69,8.33333333333333,5,224.333333333333,0.971678166410108,0,251.0
8146,36.2,32,7.153846153846152,1,37.0,24.0,415,511.0
7371,55.309523809523796,48,5.44444444444444,2,18.7222222222222,0.114207058575235,188,1102.0
7523,27.3636363636364,32,10.833333333333302,1,21.8333333333333,0.0004608123040079,895,1450.0
8432,,,,,,,,
8338,29.647058823529395,9,8.5,5,13.5,0.395823807346441,1,77.0
7783,16.3049535603715,98.5,5.5,3,32.375,0.416580199231674,2,117
7678,15.2565789473684,131,5.642857142857139,6,57.8571428571429,0.458851498734265,2,488.0
8632,76.76923076923079,1,9.714285714285714,1,105.428571428571,0.0,0,298.0
7843,65.82352941176471,1446.0,5.82352941176471,5,69.9411764705882,0.0,3,256.5
8676,2.645833333333335,1,1.15,3,67.25,1.0,3,68.5
7101,29.5416666666667,9,1.11458333333333,5,33.7083333333333,0.1440469622612,316.0,1885.0
7875,4.34883720930233,40,1.0,1,145.904761904762,0.0,1,532.5
8059,6.75,242.0,0.5,3,0.0,340.0,4,159.5
7265,32.8,208,5.77777777777778,3,3.0,0.416580199231674,5,175.0
7925,21.3875,20,2.21052631578947,2,55.47368421052629,2.5,6,249
7248,,,,,,,,
8661,47.0,19,8.142857142857139,7,93.7142857142857,0.0019844770453524,0,775.5
7258,,,,,,,,
7372,,,,,,,,
7120,13.47727272727275,187,4.85714285714286,7,1.28571428571429,0.416580199231674,34.5,1054.5
7723,,,,,,,,
7154,8.08333333333333,1,2.5,4,72.75,310.5,10.0,181.5
8020,15.935404896421849,30,1.5,6,32.5277777777778,0.626995317120616,3,943.0
7691,,,,,,,,
6995,,,,,,,,
7060,,,,,,,,
7068,,,,,,,,
7195,16.0,26,6.454545454545452,1,1.2,1.6874449402093898,31.0,649.0
7121,,,,,,,,
7116,,,,,,,,
7160,,,,,,,,
7170,,,,,,,,
7234,69.6666666666667,3,1.23728813559322,9,58.3559322033898,0.008,57.5,3223.0
7249,14.713333333333349,205,3.68,6,10.2,0.416580199231674,14.5,643.0
7261,55.1805555555556,70,1.80555555555556,18,87.8472222222222,2252.0,143.0,6603
7171,,,,,,,,
7295,24.19375,68,7.545454545454548,3,103.818181818182,1.16207509646656,12.0,183.5
7313,16.470588235294098,76,3.85,8,45.65,0.040015872997773,56.5,1742.5
7315,6.4,218,1.1,2,25.775,171.0,10.0,444.0
7345,15.0588235294118,1315.0,1.83636363636364,8,42.6,0.0,904,8173.0
7194,17.6363636363636,10,3.54545454545455,6,11.42261904761905,0.507900218462633,8.5,632.0
7173,,,,,,,,
7211,,,,,,,,
7210,,,,,,,,
7220,,,,,,,,
7273,,,,,,,,
7228,,,,,,,,
7358,,,,,,,,
7576,64.9019607843137,281,13.6,9,9.92156862745098,0.152777292839559,14.5,1222.0
7367,,,,,,,,
7933,74.3333333333333,380,8.18181818181818,5,19.72727272727269,0.757164004342913,9,475.0
7991,3.4642857142857153,119.5,12.166666666666698,4,143.5,191.0,210,212.0
7578,,,,,,,,
7690,18.35,113,5.5625,7,20.375,0.9999656676952758,4,888.5
7610,,,,,,,,
8062,9.9,297,2.3,1,144.142857142857,7.0,345.5,2056.0
7685,,,,,,,,
8123,7.36363636363636,23,1.54545454545455,3,72.5454545454545,58.5,12.0,364.5
7722,,,,,,,,
8171,43.4642857142857,2,8.4,4,1.9270833333333348,1.0,155,96.0
8197,14.3529411764706,40,1.94117647058824,1,34.51666666666665,0.998986958064961,28.0,469.5
8217,7.875,128.0,1.5,2,4.75,0.3893342034887369,16.0,286.0
8507,253.375,169,5.6153846153846105,2,242.230769230769,140.0,155.5,2247.0
8612,36.615384615384606,139,4.30769230769231,6,21.92307692307689,312.5,49.0,767.5
7029,0.8660714285714285,56,0.111111111111111,1,76.7222222222222,33.0,32.0,605.0
7126,24.75735294117645,2,3.77777777777778,1,31.38888888888889,0.75,17.0,535.0
7131,21.71428571428569,188,5.22222222222222,1,17.72,0.666610720653352,365,664.0
7175,25.8333333333333,78.5,5.0,4,1.47619047619048,0.1866273204235519,0,139.5
7222,43.125,65,4.5625,1,1.6363636363636398,0.50137637661182,30.0,664.5
7418,16.3049535603715,34,1.875,1,2.8333333333333304,0.459359999959355,69.0,1054.5
7513,53.9642857142857,1259.0,6.928571428571429,7,12.0714285714286,0.0,0,904.0
7735,10.2857142857143,164.0,1.04545454545455,4,22.5,0.145893637226739,0,264
7760,,,,,,,,
7902,25.90833333333335,236.5,4.2222222222222205,1,17.0,0.278223022685863,244,377.0
7125,45.7666666666667,4,0.6915760869565215,2,1.04166666666667,136.5,160,66
7144,14.0,14,6.33333333333333,1,3.738636363636365,435.5,1,47.5
7190,20.034482758620697,1,12.666666666666698,3,22.0,0.3867187503965399,41.5,668.5
7198,44.13131313131311,4070.5,1.19191919191919,2,49.5151515151515,0.0244916280729702,57.5,942.5
7204,27.1621621621622,151,2.21621621621622,2,111.428571428571,0.14863246205117,67.0,2012.0
7672,72.0,161.0,10.7777777777778,7,24.0,0.416580199231674,1,562.0
7767,266.8333333333335,235.5,1.875,3,50.25,277.0,1,213.0
8484,47.633333333333354,11,6.22222222222222,2,187.666666666667,0.3763823265423629,18.0,702.0
8684,17.8333333333333,99.5,9.1,3,95.2,0.0308321339051664,1,118.0
7898,15.2352941176471,361,1.91111111111111,3,69.7333333333333,0.145893637226739,42.5,915.0
8258,15.2352941176471,61,3.14285714285714,1,5.230769230769232,16.0,2,360.0
7073,14.4090909090909,183,3.28571428571429,4,21.4761904761905,0.416580199231674,92.0,1158.0
7202,44.1388888888889,10,18.25,7,11.666666666666698,0.333333015441895,3,476.0
7377,54.6666666666667,229,4.16666666666667,4,15.541666666666698,0.152777292839559,28.0,926.5
7855,,,,,,,,
7548,0.0,5,14.6,7.0,0.0,4.0,3,138.5
7051,333.5,53.0,0.625,1,1.75,0.757164004342913,4,94.0
7995,,,,,,,,
7021,2.625,36.0,6.8,3,69.1,1.01608276309048,6,118.0
7354,3.3875,79,2.47058823529412,1,32.9411764705882,111.0,2,159.5
7869,10.3923076923077,121,4.15789473684211,1,0.114285714285714,0.9999656676952758,23.5,449.0
8216,3.516666666666665,35,1.25,4,214.5,0.0625165300494537,6,279.0
8017,80.0476190476191,9,4.177083333333335,1,1.3875,0.0833168029785156,7,308.5
7087,23.107142857142897,55,4.16666666666667,8,8.566964285714285,0.0400153608588367,41.5,1629.5
8005,,,,,,,,
8050,,,,,,,,
7123,43.1,1584.0,6.8,6,15.1,1811.0,35.0,479.0
8086,,,,,,,,
7182,30.31372549019605,16,9.66666666666667,4,0.6770833333333335,0.570846557617188,14.0,473.0
8144,,,,,,,,
7885,,,,,,,,
7240,96.3103448275862,2802.0,4.0,9,0.5714285714285711,0.0,52.0,2335.5
7754,37.1875,53,6.466666666666669,6,0.4,0.27083428700765,0,387.0
7284,25.0,52,25.5,5,43.77777777777778,240.0,397,77.0
7297,57.4285714285714,53.0,4.95,8,41.3,0.200021436043403,29.0,1542.0
7308,68.58333333333334,11,13.166666666666698,2,8.64102564102564,8.0,19.5,155.0
7329,17.0909090909091,221,13.633333333333349,6,3.35714285714286,0.0900255172293427,20.5,220.0
8184,,,,,,,,
7093,,,,,,,,
7406,12.6794871794872,105,4.11111111111111,2,2.414285714285715,236.5,387,475.0
7467,14.4090909090909,99,2.04761904761905,6.0,6.33333333333333,0.50137637661182,108.0,1222.0
7498,6.683333333333335,256,3.3333333333333304,6,30.972972972973,0.416580199231674,84.5,1054.5
7517,7.33333333333333,31.0,3.11111111111111,3,106.94827586206901,0.145893637226739,18.0,472.5
7518,4.138095238095236,264,5.6,1,43.2,349.5,121.5,1157.0
7172,,,,,,,,
7105,,,,,,,,
7656,45.875,82,16.0,6,40.74285714285711,1.16207509646656,16.0,266.0
7219,,,,,,,,
7682,55.63636363636361,85,5.42105263157895,5,0.333333333333333,0.8822933320720642,84.5,1400.0
7704,24.0,14.0,4.16666666666667,4,26.3333333333333,0.0,29.0,132.0
7227,,,,,,,,
7727,11.126984126984098,177.5,2.86666666666667,2,3.375,0.416580199231674,379,472.5
7260,,,,,,,,
7905,24.732142857142847,599.5,15.5,6,128.108108108108,0.166666667822598,349,1173.0
7942,15.75,1542.5,5.33333333333333,3,119.888888888889,0.0004887752301166,34.0,200.5
7529,22.783482142857153,81.5,2.14285714285714,2,4.421052631578951,215.0,659,1867.5
8039,18.05555555555555,591.0,9.54545454545454,6,53.5454545454545,0.0,28.0,554.0
8121,32.8181818181818,369.5,17.75,4,3.85714285714286,0.263888473642433,455,702.0
7612,22.783482142857153,291,2.90909090909091,1,10.4545454545455,0.130012717255557,13.0,702.0
8200,13.9090909090909,102.5,2.63636363636364,2,188.22647058823546,7.0,18.0,524.0
7355,,,,,,,,
8267,9.6875,118.5,11.666666666666698,7,57.921875,0.250064017375232,28.0,571.5
8319,58.04,361.5,15.5,5,117.64,0.278223022685863,49.0,503.0
8345,4.44444444444444,314.0,10.70833333333335,1,0.222222222222222,413.0,21.5,398.0
8505,64.6666666666667,527.0,20.5,5,159.888888888889,0.0003248470032455,22.5,446.0
7387,37.25,230,3.95652173913043,1,9.34782608695652,451.0,33.0,191.0
7627,24.151428571428553,73.0,12.0,1,12.25,466.0,389,233.0
7642,19.618951612903253,47.0,11.0,3,0.0,466.0,0,217
7928,45.55,171.0,6.142857142857139,1,11.43462469733655,5.0,495,419.0
8040,55.6,522.5,4.964285714285715,5,78.5454545454545,0.0,0,311.0
7949,15.348484848484851,385,12.666666666666698,1,203.5,0.152777292839559,624,363.5
7409,26.118055555555557,18.0,3.0,3,6.8461538461538485,0.263888473642433,9,390.0
8150,6.683333333333335,139,5.71428571428571,4,130.830508474576,118.0,336.0,1502.0
7403,,,,,,,,
7665,,,,,,,,
