,nuc,aexp,nd,ns,age,la,ld
1064,,,,,,,
1077,,,,,,,
1084,,,,,,,
1111,90.9375,99,7,2,255.5,144,67
1167,,,,,,,
1211,,,,,,,
1113,,,,,,,
1222,,,,,,,
1150,,,,,,,
1129,,,,,,,
1228,,,,,,,
1154,,,,,,,
1237,,,,,,,
1241,601.666666666667,121,2,2,43.0,293,16
1282,,,,,,,
1103,,,,,,,
1138,,,,,,,
1240,,,,,,,
1151,713.5,59,3,2,140.5,8,3
1164,,,,,,,
1166,497.333333333333,163,1,2,46.6666666666667,163,14
1209,562.666666666667,67,3,2,82.6666666666667,74,35
1227,75.2916666666667,128,3,2,140.75,393,374
1218,,,,,,,
1259,618.666666666667,92,3,2,0.0,65,10
1266,643.0,196,2,2,90.0,11,5
1280,,,,,,,
1096,256.4,101,2,2,0.0,607,0
1100,356.0,106,4,2,38.25,102,7
1115,415.0,141,3,2,46.0,111,53
1155,1.81818181818182,1,2,2,0.545454545454545,348,321
1163,266.0,45,3,2,70.8333333333333,319,16
1128,,,,,,,
1168,,,,,,,
1172,259.16666666666697,49,3,2,178.333333333333,247,16
1248,,,,,,,
1283,45.3333333333333,181,1,2,267.0,21,2
1286,,,,,,,
1305,2.0,148,1,2,32.0,101,2
1199,345.4,9,3,2,514.6,349,77
1265,377.0,47,2,2,332.4,42,3
1271,1.33333333333333,0,3,2,99.1666666666667,237,576
1062,,,,,,,
1200,205.5,134,3,3,243.0,123,20
1182,,,,,,,
1267,144.13333333333298,31,4,2,275.0,53,39
1319,18.0909090909091,1,4,2,623.5454545454551,1538,7
1145,,,,,,,
1302,,,,,,,
1063,,,,,,,
1069,,,,,,,
1079,,,,,,,
1085,,,,,,,
1090,,,,,,,
1092,,,,,,,
1095,,,,,,,
1101,,,,,,,
1123,,,,,,,
1126,,,,,,,
1134,,,,,,,
1141,,,,,,,
1153,,,,,,,
1169,,,,,,,
1219,,,,,,,
1220,,,,,,,
1252,,,,,,,
1270,,,,,,,
1291,,,,,,,
1296,,,,,,,
1116,,,,,,,
1121,287.6,109,2,2,34.2,65,47
1308,,,,,,,
1158,238.14285714285705,71,2,2,68.71428571428571,277,59
1117,,,,,,,
1316,,,,,,,
1176,282.0,13,2,2,48.1666666666667,312,64
1232,273.0,110,2,2,16.571428571428598,69,13
1236,,,,,,,
1301,60.8,127,2,2,0.0,81,0
1281,,,,,,,
1299,,,,,,,
1118,352.5,103,3,2,0.0,277,13
1262,620.666666666667,193,3,2,155.333333333333,296,1
1075,,,,,,,
1276,6.28,7,3,2,328.48,345,7
1080,,,,,,,
1074,613.5,3,5.0,2,50.5,13,12
1076,614.5,12,5.0,2,64.0,12,7
1081,630.0,24,5.0,2,53.5,10,10
1275,,,,,,,
1173,330.0,51,4,2,85.8,8,18
1178,765.0,27,5.0,2,8.0,4,1
1071,605.0,207.0,2,2,249.0,33,32
1217,,,,,,,
1109,98.52941176470593,53,7,2,93.1764705882353,575,12.0
1083,,,,,,,
1112,701.5,480,2,2,8.5,6,11.5
1089,,,,,,,
1261,928.0,167,2,2,65.0,43,22.0
1094,,,,,,,
1273,6.955555555555558,30,5,2,222.111111111111,44,27
1174,,,,,,,
1311,10.6666666666667,117.5,1,2,124.666666666667,78,32
1198,,,,,,,
1201,563.333333333333,79,3,2,10.0,65,0
1268,,,,,,,
1185,167.0,108,2,3,12.0,328,39
1110,356.5,98,2,2,70.0,64,1
1133,727.5,131,3,2,7.0,5,5.5
1165,373.0,161,3,2,129.333333333333,59,1
1233,634.666666666667,112,3,2,20.6666666666667,29,5.5
1186,221.125,95,5,2,89.5,178,2
1066,,,,,,,
1234,593.666666666667,47.5,3,2,124.333333333333,106,1
1104,346.75,79,3,1,222.25,117,0
1082,425.666666666667,89,2,2,9.0,131,6
1180,,,,,,,
1285,,,,,,,
1060,423.666666666667,62,3,2,10.9136904761905,15,1
1065,260.2,69,4,2,5.6,211,11.5
1067,407.333333333333,223.0,2,2,36.0,15,3
1225,,,,,,,
1086,424.333333333333,68,2,2,56.0,4.5,2
1304,,,,,,,
1097,353.75,117,3,2,34.0,197,0
1136,,,,,,,
1102,185.57142857142892,77,3,2,0.0,1376,1.0
1106,436.333333333333,46,2,2,3.625,31,34
1139,476.666666666667,183.5,3,2,30.3333333333333,53,2
1157,145.9,74.0,3,2,119.4,269,18
1196,178.333333333333,2.5,2,2,63.5555555555556,255,4
1068,,,,,,,
1206,438.75,9,2,2,6.18181818181818,177,4
1093,,,,,,,
1091,,,,,,,
1278,13.8975,202,1,3,9.5,346,14
1125,,,,,,,
1307,29.0,365,1,2,15.431818181818201,20,8
1130,457.666666666667,137.5,3,2,142.333333333333,74,1
1072,408.666666666667,113,3,2,53.3333333333333,203,6
1152,,,,,,,
1056,312.25,112,3,2,0.83695652173913,76,70
1183,,,,,,,
1191,,,,,,,
1160,378.0,33,2,2,22.75,194,0
1105,292.0,114,3,2,11.25,23,1
1197,,,,,,,
1277,6.0,4,2,2,516.0,70,119
1223,,,,,,,
1288,,,,,,,
1287,,,,,,,
1250,,,,,,,
1137,253.0,574,2.5,2,20.0,127,12
1229,,,,,,,
1070,203.833333333333,73,2,2,36.1666666666667,271,9
1184,344.4,89,4,2,8.6,117.0,8
1221,434.0,4,2,2,481.818181818182,85,19
1078,622.0,84,3,2,115.5,18.0,7.0
1087,633.0,92,3,2,57.0,8.0,5.5
1244,486.25,126,2,2,55.75,71.0,52.0
1203,830.0,13,5.0,2,18.0,4,22.0
1120,709.5,21,5.0,2,1.0,4,7.0
1254,907.0,27,5.0,2,48.64583333333335,12,7.0
1189,791.5,124,5.0,2,0.6095238095238096,7,1
1179,311.0,12.0,3,2,127.0,5,76.0
1135,,,,,,,
1246,,,,,,,
1230,,,,,,,
1114,,,,,,,
1255,,,,,,,
1212,16.1,135,3,2,320.923076923077,287.0,27
1146,465.5,249,3,2,11.300751879699249,30.0,22.0
1057,452.5,290,3,2,1.33333333333333,31.0,22.0
