,nuc,aexp,ns,age,asexp,la
2002,,,,,,
2228,,,,,,
2222,,,,,,
1912,,,,,,
2281,,,,,,
2171,,,,,,
2031,,,,,,
1923,,,,,,
1918,,,,,,
2089,,,,,,
2247,,,,,,
2242,,,,,,
1920,,,,,,
1942,,,,,,
1921,,,,,,
1933,,,,,,
1935,,,,,,
1937,,,,,,
1951,,,,,,
1956,,,,,,
1958,,,,,,
1962,,,,,,
1973,,,,,,
1978,,,,,,
1980,,,,,,
1988,,,,,,
1993,,,,,,
2024,,,,,,
1997,6.33333333333333,5,2,46.9027777777778,1.013671875,60.5
2005,,,,,,
2015,,,,,,
2022,,,,,,
2023,,,,,,
2003,,,,,,
2033,,,,,,
2040,,,,,,
2037,,,,,,
2041,,,,,,
2042,,,,,,
2045,,,,,,
2046,,,,,,
2048,,,,,,
2049,,,,,,
2057,,,,,,
2060,,,,,,
2063,,,,,,
2066,,,,,,
2067,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2097,,,,,,
2087,,,,,,
2076,,,,,,
2077,,,,,,
2101,,,,,,
2108,,,,,,
2096,,,,,,
2106,,,,,,
2145,,,,,,
2138,,,,,,
2153,,,,,,
2193,,,,,,
2189,,,,,,
2199,,,,,,
2203,,,,,,
2217,,,,,,
2198,,,,,,
2220,,,,,,
2234,,,,,,
2250,,,,,,
2241,,,,,,
2263,,,,,,
2266,,,,,,
2271,,,,,,
2259,,,,,,
2272,,,,,,
2274,,,,,,
2293,,,,,,
2291,,,,,,
2296,,,,,,
2301,,,,,,
2341,,,,,,
2363,,,,,,
