,nuc,aexp,ns,age,asexp,la
2199,,,,,,
2153,47.53846153846151,90,1,70.07692307692311,74.0,164.0
1988,,,,,,
1923,,,,,,
2031,52.125,360,1.0,41.25,1.15951012159542,69.0
2291,0.5,126,2,4.93333333333333,0.99999618063999,61.5
1918,10.2,71,1,131.0,57.0,167.0
1980,7.984375,0.0,2,72.25,0.515499006723985,120.5
2106,35.8461538461538,293,2.0,35.615384615384606,0.0500000211350978,10.0
1978,1.5,2,2,73.0,0.921544997487217,113.0
2234,128.0,8.0,5,22.71428571428569,5.12e-07,110.0
2022,21.466666666666697,60.5,1,55.4,66.0,162.5
2003,6.866071428571431,0,1,111.6,0.0,169.0
2046,47.4444444444444,20,2,40.574074074074105,1.69622898101807,107.0
2037,72.5714285714286,42,3,37.03846153846155,0.500005647608916,106.0
2041,13.2352941176471,6,2,71.0588235294118,0.6250731199979781,60.5
2060,13.25,22.0,1,177.75,0.0,133.0
2070,21.5909090909091,37,3,81.6666666666667,0.371054984383822,134.0
2145,67.5,12,3,40.0882352941176,0.5111931522031611,108.0
2057,80.44444444444441,1,1.0,133.857142857143,0.5,198.5
2069,22.6666666666667,8,1,103.777777777778,2.0,203.5
2087,67.5,5.0,1,11.0,0.0,298.0
2296,110.875,5,1.0,6.0,0.90625,98.5
2171,45.4166666666667,0,1.0,181.666666666667,0.0,232.0
2222,20.461538461538503,44.5,2,15.2307692307692,0.161784052853271,56.5
1973,59.2,8,2.0,33.625,0.0233196159122085,79.5
2281,72.0769230769231,19.0,1.0,5.53846153846154,1.0,84.5
2341,49.3478260869565,17,1.0,182.1428571428575,1.17870330810547,231.0
2263,24.25,4,1,124.0,21.5,161.5
2015,48.45,7,2.0,65.6521739130435,0.0169181527206219,130.0
2077,49.5,16,2.0,15.448275862068998,0.006356960395351,72.0
2042,44.0,13,2.0,72.58064516129029,0.179049665594738,81.0
2271,23.2372881355932,0,2.0,106.0,0.0,288.5
2048,48.7846153846154,9,3.0,25.6818181818182,0.352798461914062,48.0
2272,11.6727272727273,0,3.0,17.4727272727273,0.02197265625,91.0
2071,19.2857142857143,11,2.0,56.485714285714295,0.7624395262785075,81.5
1956,49.43243243243239,352,3.0,45.2432432432432,0.4506154019874021,77.5
2005,64.2173913043478,2.0,3,18.0869565217391,0.277088761329651,63.5
2274,45.9583333333333,47,2.0,50.0833333333333,0.5990712438272354,59.5
1912,19.2142857142857,68,1,37.8875,50.5,163.5
2067,22.6666666666667,284,1,39.4137931034483,148.5,236.0
1942,51.80952380952379,61.0,2,76.1904761904762,0.771700196795084,95.0
2189,24.0625,59.5,2,9.875,0.0078125,65.5
2002,75.5,16,2,22.282894736842103,0.0148468017578125,85.0
2203,22.8,41,3,24.8,0.782321506076389,101.5
2220,21.0555555555556,97.0,1,54.375,77.0,135.5
2241,61.73333333333335,392,4,20.5714285714286,0.3333333333197019,54.0
2193,51.565789473684205,301,5,125.0,0.372685185185185,93.0
2228,50.68333333333335,56.0,2,13.333333333333302,0.99365234375,64.5
2063,20.55,44,2,192.5,1.37650020589928,185.0
2242,43.0,41.0,2,49.1428571428571,0.808349609375,98.5
2247,76.0,253.5,1.0,42.22222222222221,1.00109722403067,75.5
2108,61.6666666666667,0,2.0,164.75,0.0,57.5
2096,89.0,2,2.0,55.0,0.1944444444444439,48.0
2259,5.708333333333335,44,1.0,123.9166666666665,0.992187461350056,120.5
2266,17.5897435897436,1,2.0,80.0906593406593,0.4910767943515024,103.5
2076,17.5,286.0,1,86.27868852459021,136.0,301.5
2089,59.2,285.5,2,89.90476190476191,1.1079959869384752,105.0
1962,43.4285714285714,66,2.0,90.1842105263158,0.266251862049103,90.0
2033,28.602564102564106,422,2.0,115.75,0.540985107421875,43.5
2250,42.605263157894704,372.0,2.0,73.1076923076923,0.140625003760094,93.0
2023,50.6666666666667,7.5,3.0,53.17142857142861,0.34318275453980096,80.5
2101,8.70588235294118,100.0,1,19.55,60.0,169.0
2363,18.679487179487197,116.5,1,34.64285714285715,88.0,168.0
