,nuc,arexp,nd,ns,age,la,ld,target
0,4.32,71.0,7.0,2.0,5.5,468.0,78.0,True
1,6.75,41.0,3.0,1.0,2.75,25.0,18.0,True
2,9.22,88.0,6.0,3.0,6.56,127.0,61.0,True
3,10.43,111.0,4.0,2.0,0.0,19.0,5.0,True
4,6.0,119.0,3.0,1.0,3.67,48.0,3.0,True
5,6.6,127.0,3.0,2.0,0.6,242.0,87.0,True
6,16.57,129.0,6.0,2.0,0.43,315.0,12.0,True
7,22.0,150.0,4.0,2.0,9.6,43.0,32.0,True
8,29.25,155.0,3.0,2.0,1.0,197.0,1.0,True
9,4.43,164.0,9.0,1.0,11.64,146.0,107.0,True
10,9.1,170.0,5.0,1.0,6.0,287.0,190.0,True
11,15.4,171.0,5.0,2.0,4.7,365.0,177.0,True
12,13.4,172.0,3.0,1.0,4.4,95.0,11.0,True
13,9.29,185.0,5.0,1.0,4.71,94.0,12.0,True
14,11.05,190.0,13.0,2.0,10.05,90.0,35.0,True
15,40.0,249.0,3.0,1.0,0.0,56.0,16.0,True
16,20.0,253.0,4.0,1.0,13.62,256.0,348.0,True
17,28.25,260.0,3.0,2.0,14.5,45.0,54.0,True
18,8.33,269.0,2.0,1.0,2.0,165.0,76.0,True
19,23.43,270.0,5.0,1.0,1.71,249.0,3.0,True
20,12.6,298.0,8.0,1.0,9.33,142.0,26.0,True
21,41.5,18.0,5.0,1.0,3.17,163.0,80.0,True
22,27.0,329.0,4.0,1.0,13.75,59.0,9.0,True
23,39.33,349.0,2.0,1.0,2.0,34.0,9.0,True
24,16.5,366.0,2.0,1.0,9.5,69.0,20.0,True
25,0.0,375.0,2.0,1.0,0.0,111.0,0.0,True
26,28.67,392.0,3.0,1.0,0.0,468.0,285.0,True
27,35.4,484.0,3.0,1.0,5.4,109.0,14.0,True
28,29.73,562.0,5.0,2.0,3.73,67.0,31.0,True
29,15.08,4.0,9.0,4.0,30.58,234.0,180.0,True
30,31.5,674.0,4.0,1.0,24.0,81.0,38.0,True
31,39.44,682.0,5.0,1.0,0.22,418.0,370.0,True
32,15.5,754.0,3.0,1.0,0.0,38.0,42.0,True
33,75.33,793.0,3.0,1.0,5.0,42.0,6.0,True
34,22.5,25.0,2.0,1.0,47.0,64.0,6.0,True
35,35.33,1.0,3.0,1.0,66.0,88.0,19.0,True
36,16.0,43.0,5.0,2.0,58.2,449.0,510.0,True
37,10.6,843.0,4.0,1.0,32.2,69.0,10.0,True
38,1.75,18.0,2.0,1.0,1.0,91.0,8.0,True
39,72.0,108.5,2.0,1.0,54.5,51.0,0.0,False
40,1.36,628.0,6.0,1.0,10.32,372.0,234.0,True
41,29.23,8.0,6.0,1.0,93.23,297.0,53.0,True
42,18.5,641.5,4.0,1.0,8.25,497.0,110.0,True
43,25.33,29.0,4.0,1.0,5.33,144.0,1.0,True
44,30.5,594.0,4.0,2.0,116.75,21.0,19.0,True
45,12.67,604.0,3.0,1.0,125.67,50.0,3.0,True
46,7.67,606.5,4.0,1.0,16.33,17.0,14.0,True
47,11.14,40.0,6.0,1.0,19.57,134.0,5.0,True
48,73.0,101.5,2.0,1.0,11.0,252.0,0.0,False
49,32.4,11.0,3.0,2.0,3.6,82.0,45.0,True
50,29.0,103.5,4.0,1.0,121.5,11.0,9.0,True
51,23.91,18.0,9.0,3.0,119.91,91.0,18.0,True
52,48.75,71.0,4.0,1.0,27.5,220.0,6.0,True
53,77.5,78.0,2.0,1.0,37.5,297.0,35.0,True
54,61.25,22.0,3.0,1.0,1.75,87.0,3.0,True
55,1.14,82.0,4.0,1.0,5.43,113.0,1.0,True
56,69.0,86.0,3.0,1.0,6.0,208.0,14.0,True
57,72.0,87.0,2.0,1.0,23.25,309.0,37.0,True
58,63.67,90.0,3.0,1.0,9.33,31.0,11.0,True
59,0.33,49.0,3.0,1.0,6.22,745.0,0.0,False
60,2.42,70.0,8.0,1.0,21.75,39.0,39.0,True
61,18.0,63.0,2.0,1.0,6.33,94.0,0.0,True
62,28.33,99.0,3.0,1.0,6.0,228.0,7.0,True
63,44.29,293.0,5.0,1.0,18.29,151.0,167.0,True
64,53.0,117.33,3.0,1.0,285.75,203.0,10.0,True
65,52.67,305.0,2.0,1.0,130.33,50.0,95.0,True
66,14.52,1.0,18.0,1.0,263.81,28.0,114.0,True
67,13.5,301.5,3.0,1.0,32.75,79.0,65.0,True
68,4.17,6.0,4.0,1.0,233.83,354.0,352.0,True
69,33.35,317.0,5.0,1.0,147.4,156.0,358.0,True
70,29.5,329.5,3.0,1.0,3.5,49.0,34.0,True
71,79.8,333.83,2.0,1.0,12.0,264.0,173.0,True
72,68.33,333.33,2.0,1.0,25.0,63.0,28.0,True
73,33.43,129.17,7.0,1.0,2.36,90.0,74.0,True
74,15.0,165.0,2.0,1.0,3.33,69.0,21.0,True
75,0.67,18.0,2.0,1.0,10.0,229.0,10.0,True
76,40.67,372.17,3.0,1.0,68.0,27.0,3.0,True
77,34.33,369.83,6.0,1.0,38.83,645.0,12.0,True
78,7.25,155.0,3.0,1.0,0.0,124.0,36.0,True
79,6.5,199.0,2.0,1.0,2.0,60.0,6.0,True
80,3.65,26.0,4.0,1.0,1.94,656.0,92.0,True
81,0.4,305.0,10.0,1.0,140.6,74.0,2.0,False
82,28.08,311.0,9.0,1.0,40.67,492.0,483.0,True
83,71.25,317.0,2.0,1.0,0.0,194.0,113.0,True
84,6.69,42.0,7.0,3.0,5.5,880.0,277.0,True
85,11.33,235.0,3.0,1.0,14.44,346.0,232.0,True
86,16.67,241.0,2.0,1.0,0.0,78.0,6.0,True
87,25.0,21.0,4.0,1.0,2.83,233.0,117.0,True
88,22.17,369.5,4.0,2.0,147.0,37.0,23.0,True
89,11.0,393.5,2.0,1.0,68.0,75.0,47.0,True
90,151.5,0.0,2.0,1.0,0.0,166.0,0.0,False
91,10.0,440.58,2.0,1.0,9.0,65.0,25.0,True
92,28.6,460.0,4.0,2.0,41.2,90.0,4.0,True
93,205.0,493.5,2.0,1.0,3.0,132.0,46.0,True
94,66.5,510.5,2.0,1.0,0.5,62.0,13.0,True
95,14.46,536.0,4.0,2.0,121.23,117.0,75.0,True
96,22.24,102.0,10.0,1.0,14.15,1851.0,317.0,True
97,14.1,107.0,4.0,2.0,0.4,45.0,47.0,True
98,88.6,567.5,2.0,1.0,98.0,367.0,49.0,True
99,1.64,121.0,4.0,1.0,13.09,101.0,60.0,True
100,30.0,130.0,3.0,1.0,0.0,5.0,5.0,True
101,5.0,9.0,2.0,1.0,0.0,75.0,0.0,True
102,135.0,584.5,2.0,1.0,229.33,231.0,171.0,True
103,38.0,416.33,2.0,1.0,190.0,171.0,51.0,True
104,39.0,186.0,2.0,1.0,6.33,46.0,29.0,True
105,68.33,153.0,3.0,1.0,89.33,4.0,3.0,True
106,4.44,165.0,2.0,1.0,1.11,293.0,450.0,True
107,42.86,171.0,5.0,1.0,21.29,360.0,41.0,True
108,0.33,188.5,3.0,1.0,44.67,153.0,0.0,False
109,157.0,691.5,3.0,1.0,105.33,48.0,27.0,True
110,2.0,211.5,2.0,1.0,5.29,265.0,107.0,True
111,176.67,677.67,3.0,1.0,102.33,49.0,42.0,True
112,0.0,670.33,2.0,1.0,0.0,141.0,0.0,True
113,49.83,26.0,4.0,1.0,32.5,16.0,19.0,True
114,10.33,17.0,3.0,1.0,23.78,369.0,195.0,True
115,9.0,693.33,3.0,1.0,53.5,18.0,18.0,True
116,151.25,35.0,3.0,1.0,57.0,223.0,12.0,True
117,14.8,709.67,3.0,1.0,1.8,121.0,62.0,True
118,18.67,170.0,3.0,1.0,120.33,45.0,1.0,True
119,6.2,716.17,2.0,1.0,135.6,121.0,23.0,True
120,65.25,169.0,3.0,1.0,15.25,38.0,0.0,True
121,82.17,376.87,3.0,1.0,104.83,25.0,12.0,True
122,35.0,378.37,2.0,1.0,0.0,48.0,8.0,True
123,15.43,731.0,4.0,1.0,0.0,7.0,7.0,True
124,1.33,35.0,3.0,1.0,100.0,44.0,0.0,False
125,44.0,372.75,3.0,1.0,173.0,102.0,91.0,True
126,38.3,704.17,8.0,2.0,204.8,78.0,47.0,True
127,71.0,28.5,3.0,1.0,57.75,29.0,5.0,True
128,5.82,703.5,15.0,1.0,208.36,0.0,57.0,False
129,30.0,711.33,4.0,1.0,41.75,43.0,60.0,True
130,60.72,713.17,8.0,1.0,177.17,320.0,329.0,True
131,126.67,720.33,3.0,1.0,23.33,5.0,12.0,True
132,11.0,186.0,2.0,1.0,12.0,155.0,0.0,False
133,13.67,369.13,2.0,1.0,6.33,68.0,5.0,True
134,11.5,77.0,2.0,1.0,42.5,54.0,0.0,False
135,24.5,94.0,2.0,1.0,35.0,103.0,0.0,False
136,7.33,751.0,2.0,1.0,11.33,131.0,0.0,False
137,39.0,128.5,3.0,1.0,277.4,76.0,28.0,True
138,26.0,133.0,3.0,1.0,82.67,51.0,5.0,True
139,4.0,152.5,2.0,1.0,3.0,189.0,12.0,True
140,19.29,744.17,3.0,1.0,0.0,120.0,13.0,True
141,7.67,765.83,3.0,1.0,297.33,125.0,4.0,True
142,33.5,809.75,3.0,1.0,51.25,2.0,21.0,True
