,nuc,arexp,nd,ns,age,la,ld
9659,15.2,1473.08333333327,7,1,9.2,1.0,225
10257,64.0,28.0,5,1,97.09523809523807,1.0,2903
9710,,,,,,,
9691,29.021276595744705,165.0,20,1,22.468085106383,1.0,199
10340,83.8,28.0,8,1,33.7,1.0,524
9804,0.7,1.0,10,1,5.55,2.0,8
9924,36.4444444444444,442.5,5,1,13.2222222222222,1.0,1
10374,131.421052631579,1444.9999999999802,11,1,20.3157894736842,1.0,453
10219,6.75,1.0,9,1,21.55,1.0,138
10006,52.6842105263158,234.0,10,1,72.26315789473679,1.0,266
10408,11.304347826087,57.0,8,1,29.1304347826087,1.0,547
10202,5.66101694915254,1457.5833333332998,10,1,36.8983050847458,1.0,470
10411,,,,,,,
10438,42.5,112.5,8,1,10.0,3.0,187
10525,16.1428571428571,3.0,3,1,45.4285714285714,1.0,25
10528,53.2083333333333,77.0,11,1,156.458333333333,1.0,21
10552,27.0,1.0,7,1,24.4166666666667,1.0,128
10562,6.0,1.0,5,1,98.0555555555556,1.0,90
10586,38.85,78.5,10,1,52.3,1.0,180
10626,11.266666666666698,6.0,9,3,55.2,1.0,79
10635,,,,,,,
10666,32.2926829268293,61.0,17,1,62.8048780487805,1.0,456
10667,,,,,,,
10674,34.6666666666667,39.0,8,1,35.6111111111111,1.0,180
10700,15.9795918367347,4.0,15,2,23.6938775510204,1.0,37
10709,8.33333333333333,0.0,5,1,68.3333333333333,1.0,171
10836,64.25,2.0,3,1,60.75,1.0,3
10838,,,,,,,
10856,31.033333333333307,18.0,16,1,64.1333333333333,2.0,30
10973,159.285714285714,66.0,4,1,21.4285714285714,1.0,10
11007,94.6666666666667,27.0,3,1,32.6666666666667,2.0,4
11017,66.8181818181818,234.166666666668,6,1,65.0909090909091,1.0,73
11033,0.7894736842105259,24.0,13,2,21.368421052631604,2.0,79
11047,15.470588235294096,1.0,4,1,45.17647058823529,3.0,99
11086,,,,,,,
11141,,,,,,,
11155,34.1666666666667,20.0,8,1,50.0833333333333,1.0,269
11156,56.5,21.0,5,1,31.5,1.0,92
11189,71.695652173913,0.0,8,1,46.2173913043478,1.0,177
11258,,,,,,,
11322,5.125,38.0,16,2,27.53125,1.0,2268
11398,81.1875,23.0,10,1,10.375,1.0,240
11432,84.1111111111111,201.833333333334,4,1,9.55555555555556,1.0,902
11465,,,,,,,
11562,104.866666666667,68.6666666666668,14,1,69.1,1.0,418
