,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,1.5,22.0,0.08,4.0,0.08,0.56,1999.0,0.0,True
1,4.65,27.0,0.13,7.0,5.96,0.56,1420.0,53.0,True
2,19.0,97.0,0.33,5.0,2.56,1.97,1376.0,6.0,True
3,36.4,128.0,0.2,5.0,18.6,1.03,807.0,117.0,True
4,10.15,2.0,0.15,6.0,16.0,0.5,796.0,243.0,True
5,23.37,149.0,0.21,7.0,15.58,1.25,1392.0,389.0,True
6,30.29,26.0,0.24,6.0,25.35,1.79,870.0,261.0,True
7,42.11,2.0,0.37,6.0,5.95,1.25,1426.0,6.0,True
8,212.5,32.0,1.5,3.0,6.75,1.68,1456.0,2.0,False
9,130.8,90.0,0.8,8.0,13.9,1.68,945.0,101.0,True
10,72.29,11.0,0.59,6.0,69.06,1.12,1131.0,262.0,True
11,67.0,14.0,0.45,4.0,21.45,1.33,1787.0,416.0,True
12,81.82,118.0,0.59,6.0,0.0,1.45,2057.0,0.0,True
13,64.7,226.0,0.43,6.0,0.48,0.68,2057.0,261.0,True
14,2.68,26.0,0.21,5.0,4.42,5.0,1161.0,444.0,True
15,111.81,52.0,0.69,6.0,20.88,1.12,1115.0,433.0,True
16,274.36,149.0,1.27,5.0,7.36,0.62,1218.0,92.0,False
17,276.45,152.0,1.27,5.0,0.0,0.62,1220.0,92.0,False
18,133.08,7.0,0.71,5.0,36.92,0.98,1310.0,278.0,True
19,22.78,54.0,0.38,4.0,10.81,44.0,2101.0,363.0,True
20,17.12,204.0,1.25,4.0,8.75,190.0,1043.0,165.0,True
21,1.75,62.0,0.12,3.0,0.0,53.0,1478.0,343.0,True
22,38.71,74.0,1.14,5.0,21.71,63.0,1134.0,138.0,True
23,1.11,21.0,0.33,5.0,2.44,0.0,1141.0,95.0,True
24,1.9,105.0,0.35,5.0,11.8,12.0,847.0,59.0,True
25,1.05,446.0,0.14,8.0,7.03,0.0,1511.0,490.0,True
26,9.44,470.0,0.5,6.0,3.94,91.0,1369.0,70.0,True
27,4.83,52.0,1.5,4.0,3.67,2.0,1363.0,86.0,True
28,5.5,501.0,0.61,5.0,25.28,0.0,1913.0,457.0,True
29,10.92,32.0,0.83,6.0,42.25,22.0,757.0,194.0,True
30,3.0,371.0,1.5,3.0,32.5,0.0,1346.0,55.0,False
31,13.89,543.0,0.78,6.0,24.06,0.0,777.0,96.0,True
32,15.15,571.0,1.15,6.0,8.92,0.0,979.0,119.0,False
33,23.36,94.0,1.36,6.0,31.93,0.08,880.0,233.0,True
34,10.2,58.0,1.5,3.0,23.3,0.5,1935.0,62.0,False
35,24.19,28.0,1.44,5.0,81.06,0.35,1229.0,48.0,False
36,15.29,445.0,2.57,6.0,96.0,0.0,917.0,262.0,False
37,4.76,92.0,0.88,5.0,4.06,0.0,1222.0,138.0,True
38,17.32,134.0,0.75,6.0,31.64,0.04,2241.0,498.0,True
39,14.45,135.0,1.45,6.0,38.18,0.0,739.0,143.0,True
40,6.92,369.0,1.17,5.0,44.92,0.0,819.0,26.0,True
41,38.92,27.0,1.69,5.0,48.23,0.06,732.0,111.0,False
42,50.0,138.0,1.35,5.0,36.88,0.37,1181.0,71.0,False
43,17.92,139.0,1.25,3.0,62.83,94.0,1668.0,327.0,False
44,27.31,194.0,2.06,8.0,18.62,0.09,1637.0,194.0,False
45,13.33,0.0,1.43,4.0,4.57,0.0,2102.0,13.0,False
46,50.08,85.0,3.33,5.0,10.33,0.6,767.0,83.0,True
47,37.94,92.0,2.18,8.0,8.71,0.87,1702.0,9.0,False
48,51.56,5.0,3.89,5.0,29.44,0.83,924.0,29.0,True
49,46.3,10.0,3.8,6.0,8.4,0.5,1103.0,89.0,False
50,7.0,37.0,1.5,3.0,30.36,0.39,1228.0,30.0,False
51,41.24,265.0,1.81,9.0,0.0,0.03,1811.0,127.0,False
52,44.0,36.0,2.25,7.0,11.95,0.38,1023.0,377.0,False
53,8.91,271.0,2.09,6.0,83.91,0.0,1360.0,10.0,False
54,41.29,1.0,1.88,4.0,16.12,0.0,1545.0,315.0,False
55,15.56,7.0,1.89,4.0,26.72,0.99,2169.0,108.0,False
56,43.36,64.0,3.36,4.0,23.09,46.0,1077.0,8.0,True
57,60.03,50.0,1.59,8.0,33.59,0.08,1133.0,156.0,True
58,39.73,4.0,1.39,6.0,58.15,2.0,1111.0,159.0,True
59,50.32,274.0,2.58,6.0,35.79,0.04,2439.0,117.0,False
60,34.35,62.0,2.88,8.0,16.94,0.0,989.0,184.0,True
61,44.39,1.0,2.78,8.0,17.94,1.0,1234.0,104.0,True
62,98.73,1.0,4.55,4.0,8.18,0.33,1477.0,148.0,True
63,25.9,3.0,3.7,4.0,14.0,0.89,1070.0,181.0,False
64,39.25,167.0,4.38,3.0,20.5,1.0,1679.0,222.0,False
65,39.88,368.0,3.29,9.0,38.82,0.0,1158.0,193.0,True
66,42.24,370.0,3.29,9.0,0.0,0.0,1154.0,192.0,False
67,21.43,78.0,3.36,6.0,65.5,0.5,1158.0,204.0,True
68,6.93,146.0,1.53,3.0,62.13,103.0,1576.0,287.0,True
69,40.14,4.0,4.0,4.0,5.64,1.04,1146.0,5.0,True
70,25.43,111.0,2.19,7.0,38.48,1.05,716.0,251.0,False
71,43.25,184.0,2.85,10.0,38.75,0.85,1545.0,129.0,True
72,52.77,2.0,4.23,6.0,17.38,0.12,1652.0,166.0,True
73,33.86,8.0,1.97,9.0,53.86,0.22,1079.0,42.0,False
74,11.0,80.0,3.75,3.0,5.75,0.41,1300.0,15.0,False
75,36.22,552.0,2.56,6.0,77.56,0.0,1826.0,267.0,False
76,46.42,151.0,2.33,7.0,73.04,99.0,1211.0,333.0,True
77,43.29,100.0,4.64,7.0,4.93,0.46,1191.0,0.0,False
78,3.0,106.0,0.38,5.0,91.85,4.0,1449.0,201.0,True
79,13.4,1.0,1.73,4.0,52.0,0.5,871.0,43.0,False
80,14.76,63.0,2.04,4.0,44.72,0.13,2211.0,276.0,False
81,12.12,407.0,1.8,8.0,64.4,0.02,900.0,51.0,False
82,81.77,490.0,6.62,5.0,48.69,0.08,897.0,79.0,True
83,33.71,199.0,4.29,4.0,6.79,0.5,1330.0,607.0,False
84,49.71,17.0,3.38,4.0,26.38,1.68,1085.0,30.0,True
85,39.5,0.0,3.4,5.0,67.55,0.0,1565.0,225.0,False
86,41.83,126.0,2.4,6.0,71.9,0.13,1102.0,502.0,False
87,30.83,129.0,2.83,5.0,39.75,0.15,1295.0,668.0,False
88,22.5,7.0,4.8,5.0,82.3,0.51,843.0,59.0,True
89,26.54,34.0,2.71,3.0,30.04,1.1,1977.0,96.0,False
90,28.44,239.0,3.31,8.0,22.75,0.83,2202.0,23.0,True
91,42.56,105.0,2.2,6.0,60.51,0.75,990.0,479.0,False
92,42.7,107.0,2.09,6.0,4.09,0.75,1055.0,519.0,False
93,21.2,5.0,2.67,5.0,47.0,5.0,1842.0,51.0,True
94,47.57,18.0,4.93,6.0,23.57,0.13,1564.0,469.0,True
95,17.35,125.22,0.45,4.79,5.64,1.76,1372.91,11.05,True
96,12.53,207.76,0.8,4.19,14.66,1.17,1363.87,25.81,True
97,9.35,262.31,1.04,3.79,20.62,0.78,1357.9,35.56,False
98,14.8,168.93,0.64,4.47,10.42,1.45,1368.12,18.86,True
99,12.65,205.69,0.8,4.21,14.43,1.19,1364.1,25.44,True
100,5.23,332.81,1.34,3.28,28.33,0.27,1350.18,48.17,False
101,5.85,322.22,1.29,3.36,27.17,0.35,1351.34,46.28,False
102,7.84,288.13,1.15,3.6,23.44,0.59,1355.07,40.18,False
103,11.43,226.63,0.89,4.05,16.72,1.04,1361.81,29.18,True
104,3.62,360.38,1.45,3.08,31.34,0.08,1347.16,53.1,True
105,13.75,186.85,0.72,4.34,12.38,1.32,1366.16,22.07,True
106,7.79,288.93,1.15,3.6,23.53,0.59,1354.99,40.32,False
107,6.2,316.17,1.27,3.4,26.51,0.39,1352.0,45.19,False
108,17.02,130.92,0.48,4.75,6.26,1.72,1372.29,12.07,True
109,3.13,368.69,1.49,3.02,32.25,0.02,1346.25,54.59,False
110,7.11,300.61,1.2,3.51,24.81,0.51,1353.71,42.41,False
111,10.19,247.84,0.98,3.9,19.04,0.88,1359.49,32.97,True
112,14.65,171.55,0.65,4.46,10.7,1.43,1367.84,19.33,True
113,9.15,265.69,1.05,3.77,20.99,0.76,1357.53,36.17,False
114,8.81,271.52,1.08,3.73,21.63,0.71,1356.89,37.21,False
115,15.63,154.7,0.58,4.58,8.86,1.55,1369.68,16.32,True
116,9.28,263.46,1.04,3.78,20.75,0.77,1357.77,35.77,False
117,7.81,288.69,1.15,3.6,23.5,0.59,1355.01,40.28,False
118,12.14,214.53,0.83,4.14,15.4,1.12,1363.13,27.02,True
119,5.67,325.21,1.31,3.33,27.5,0.33,1351.01,46.81,False
120,17.92,115.55,0.41,4.86,4.58,1.83,1373.97,9.32,True
121,8.7,273.34,1.08,3.71,21.83,0.7,1356.69,37.54,False
122,13.42,192.55,0.74,4.3,13.0,1.28,1365.54,23.09,True
123,14.58,172.7,0.66,4.45,10.83,1.42,1367.71,19.54,True
124,17.85,116.7,0.42,4.86,4.71,1.83,1373.84,9.52,True
