,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,1.0,7.0,2.66,1.0,0.0,3.0,105.0,416.0,0
1,0.82,45.0,2.84,1.0,0.82,26.0,779.0,422.0,0
2,2.33,214.0,2.9,1.0,1.44,3.0,0.0,651.0,0
3,1.75,220.0,2.09,1.0,20.75,125.0,62.0,559.0,0
4,6.42,239.0,3.81,2.0,5.58,0.22,628.0,550.0,1
5,1.12,268.0,4.05,1.0,0.67,2.0,807.0,206.0,0
6,1.68,270.0,3.44,1.0,0.0,3.0,646.0,202.0,0
7,1.38,272.0,3.69,1.0,0.42,4.0,32.0,567.0,0
8,0.67,338.0,3.12,1.0,0.0,34.0,434.0,138.0,0
9,2.1,396.0,4.16,2.0,4.08,0.22,884.0,443.0,1
10,2.29,400.0,3.62,1.0,0.0,76.0,0.0,666.0,0
11,1.72,456.0,3.84,2.0,17.38,0.22,252.0,393.0,1
12,2.77,461.0,4.41,2.0,5.34,0.22,579.0,286.0,1
13,0.88,480.0,3.88,2.0,0.17,0.22,420.0,300.0,0
14,3.14,692.0,2.3,1.0,3.14,348.0,588.0,328.0,0
15,0.88,21.0,2.72,1.0,0.25,9.0,547.0,181.0,0
16,3.11,5.0,2.7,1.0,103.56,3.0,359.0,137.0,0
17,1.82,23.0,3.12,1.0,19.36,17.0,0.0,641.0,0
18,3.52,31.0,4.01,1.0,32.29,14.0,712.0,165.0,0
19,4.25,33.0,3.95,1.0,41.64,15.0,145.0,235.0,0
20,3.17,34.0,4.02,1.0,67.62,16.0,198.0,362.0,0
21,1.67,36.0,1.58,1.0,139.33,18.0,43.0,344.0,0
22,1.71,37.0,3.69,1.0,81.53,19.0,4.0,723.0,0
23,4.86,1.0,3.35,1.0,11.14,1.0,660.0,294.0,1
24,3.43,93.0,4.26,1.0,10.78,57.0,281.0,281.0,0
25,4.49,96.0,4.63,1.0,49.95,60.0,169.0,199.0,0
26,3.67,97.0,2.49,1.0,50.58,61.0,298.0,321.0,0
27,11.87,12.0,4.37,1.0,63.26,2.0,144.0,250.0,0
28,1.64,179.0,3.24,1.0,5.71,15.0,296.0,354.0,0
29,1.14,283.0,3.37,1.0,56.14,11.0,571.0,215.0,0
30,5.41,315.0,4.53,2.0,65.49,0.99,516.0,226.0,1
31,12.33,336.0,2.46,1.0,79.83,176.0,132.0,202.0,0
32,4.41,463.0,3.7,1.0,87.77,202.0,196.0,125.0,0
33,2.61,38.0,3.66,1.0,148.48,13.0,882.0,318.0,0
34,3.57,500.0,2.24,1.0,2.43,228.0,441.0,336.0,0
35,9.32,164.0,4.95,2.0,127.02,1.25,479.0,499.0,1
36,2.8,165.0,2.73,1.0,111.9,92.0,614.0,84.0,0
37,13.97,67.0,3.84,2.0,92.49,0.7,187.0,653.0,1
38,4.33,503.0,2.83,1.0,139.17,314.0,374.0,91.0,0
39,9.18,81.0,3.14,1.0,30.64,50.0,16.0,291.0,0
40,7.57,584.0,3.2,1.0,8.64,303.0,701.0,174.0,0
41,12.7,605.0,2.45,1.0,50.8,288.0,284.0,341.0,0
42,1.6,543.0,2.06,1.0,22.2,173.0,384.0,381.0,0
43,2.52,544.0,3.34,1.0,18.15,341.0,576.0,589.0,0
44,6.8,701.0,3.13,1.0,30.33,349.0,978.0,285.0,0
45,2.62,730.5,3.09,1.0,74.88,488.0,379.0,117.0,0
46,3.73,742.0,5.43,1.0,36.15,371.0,372.0,488.0,0
47,11.4,761.0,2.34,1.0,37.8,383.0,453.0,217.0,0
48,3.45,886.0,2.96,1.0,233.55,460.0,113.0,116.0,0
49,2.0,650.5,3.8,1.0,189.0,434.0,189.0,130.0,0
50,10.91,171.5,4.75,2.0,1.94,1.25,454.0,515.0,0
51,12.69,1010.0,5.03,2.0,45.29,0.99,487.0,328.0,1
52,7.0,1049.0,4.85,2.0,62.35,0.99,626.0,293.0,1
53,4.58,721.83,3.1,1.0,96.5,556.0,262.0,140.0,0
54,9.45,1086.5,4.11,2.0,35.94,0.99,701.0,483.0,1
55,11.0,1100.0,4.14,1.0,67.61,594.0,573.0,261.0,0
56,2.1,171.5,2.46,1.0,28.2,126.0,486.0,162.0,0
57,15.12,1108.5,4.11,1.0,55.33,599.0,237.0,632.0,0
58,10.15,1114.0,3.96,2.0,0.46,0.99,505.0,311.0,0
59,9.6,1201.5,2.64,1.0,69.3,702.0,161.0,271.0,0
60,3.55,779.5,6.21,1.0,164.1,584.0,499.0,200.0,0
61,7.6,1289.0,2.06,1.0,279.2,741.0,0.0,337.0,0
62,2.65,2.0,2.94,1.0,70.35,2.0,1222.0,524.0,0
63,2.62,803.5,3.38,1.0,226.0,76.0,472.0,36.0,0
64,1.95,237.0,5.0,1.0,11.56,186.0,221.0,370.0,0
65,3.56,1408.0,2.96,1.0,42.78,889.0,193.0,257.0,0
66,4.71,249.0,3.97,1.0,21.36,133.0,351.0,117.0,0
67,1.0,835.0,2.97,1.0,0.0,686.0,312.0,274.0,0
68,9.71,1467.0,2.58,1.0,191.14,943.0,3.0,271.0,0
69,9.71,1483.0,3.84,2.0,138.29,0.99,88.0,577.0,1
70,10.79,1495.5,3.38,1.0,108.36,962.0,295.0,147.0,0
71,1.4,1566.0,2.94,1.0,189.6,964.0,585.0,90.0,0
72,15.55,1662.5,3.63,1.0,17.5,1101.0,472.0,230.0,0
73,4.21,32.0,3.43,1.0,63.93,0.0,550.0,105.0,1
74,6.56,1747.5,5.8,1.0,152.33,1097.0,371.0,524.0,0
75,5.65,34.0,2.81,1.0,80.15,31.0,747.0,333.0,0
76,2.26,934.5,5.7,1.0,22.66,784.0,1041.0,499.0,0
77,4.83,959.5,3.62,1.0,190.5,809.0,227.0,52.0,0
78,2.05,24.0,3.54,1.0,88.82,14.0,177.0,214.0,0
79,1.75,26.0,3.41,1.0,52.25,16.0,229.0,257.0,0
80,7.05,1961.33,3.22,1.0,33.37,1316.0,110.0,451.0,0
81,1.5,46.0,3.4,1.0,2.0,6.0,0.0,640.0,0
82,1.88,1.0,2.54,1.0,29.62,1.0,321.0,179.0,1
