,ent,aexp,ndev,ns,age,asexp,la,ld
1317,,,,,,,,
1431,,,,,,,,
1176,,,,,,,,
1184,0.0,0,19.307692307692303,4,86.2307692307692,0.0642243225641614,241,198
1434,,,,,,,,
1179,,,,,,,,
1410,,,,,,,,
1221,,,,,,,,
1344,,,,,,,,
1205,,,,,,,,
1281,,,,,,,,
1377,,,,,,,,
1424,0.7416433363998259,711,20.25,2,43.1923076923077,0.91015625,464,473
1392,0.0,111,17.36805555555555,1,14.8888888888889,59.0,599,1
1314,0.0,1247.0,1.6984126984127,2,35.3650793650794,0.91015625,1,0
1433,,,,,,,,
1405,0.45868581620054,58,27.3333333333333,1,6.76923076923077,47.0,1217,0
1213,0.0,29,0.4871794871794871,1,14.8181818181818,19.0,3,0
1447,,,,,,,,
1438,0.74959525725948,43,6.21052631578947,2,7.84210526315789,21.0,361,0
1398,,,,,,,,
1386,0.871762149285661,23,5.925925925925927,3,69.6538461538462,0.333485891396264,1,123
1225,0.195909270873605,121,0.6638418079096045,1,50.5,101.0,464,0
1358,6.02749466729745,54,0.360576923076923,3,283.9455128205125,0.1652187410368719,843,94
1425,2.09172670122358,192,0.4871794871794871,2,4.28571428571429,29.5,3,288
1263,0.871762149285661,621,26.0,3,32.5714285714286,0.4856729157140679,942,4
1298,0.8838576316463815,639,2.1785714285714297,2,33.9454545454545,0.91015625,2712.5,1248
1369,0.0868905182727847,1,0.4871794871794871,2,53.7272727272727,0.987714052200317,4,0
1432,0.6654551903839855,0,5.925925925925927,3,142.666666666667,0.4856729157140679,219,214
1188,0.0868905182727847,26.5,25.25,2,10.7777777777778,59.0,287,0
1289,0.0,73,8.5,5.5,33.5833333333333,71.0,1,230
1423,0.305984873713835,32,14.5,3,191.75,0.499981116298762,443,458.0
1361,3.6746869681218,307.0,11.0,1,100.9110169491525,442.5,213,55
1227,,,,,,,,
1248,,,,,,,,
1311,,,,,,,,
1294,,,,,,,,
1426,,,,,,,,
1353,,,,,,,,
1335,,,,,,,,
