,nuc,arexp,ent,ns,age,asexp,la,ld
22227,0.0,4.0,4.2137606273656605,1,9.16666666666667,4.0,418,249
19312,10.8,2480.75000000016,1.41032936167226,1,0.0,1386.0,312,13
19634,27.76666666666669,3048.04999999976,4.67725063808829,1,40.0,0.0,355,560
18909,12.3636363636364,4070.63315295846,4.85192091680891,1,3.8,0.992184877394992,1692,15
18915,90.375,0.0,5.32466572264205,1,0.0535714285714286,0.0,281.0,0
20249,7.938888888888885,3653.24953102429,2.43320990504501,2,22.657142857142897,0.865100861049788,1370,0
19073,0.0,11.0,1.8005080609080948,2,108.444444444444,0.96826171875,394,0
19565,0.0,2689.08333333352,3.75327315037356,2,4.05,0.3173828125,789,0
21445,0.2,169.750000000001,5.59707049071892,3,14.4512195121951,0.166666666664918,0,0
18803,7.09090909090909,159.5,3.41501343940474,1,48.0909090909091,119.0,400.5,54
19142,,,,,,,,
18376,7.29166666666667,5.0,2.16026602365084,1,1.07692307692308,5.0,2374,0
20030,0.0,34.75,2.350776070798885,2,552.373493975904,0.9999999544843092,8465,0
20370,1.59090909090909,34.0,2.49908159540181,1,95.1666666666667,36.0,59.5,0
22089,9.29411764705882,0.0,3.3346503536400496,4,239.17647058823505,252.5,55.0,157
19000,0.0,325.116666666665,5.33022880306517,8,103.659090909091,0.267857679169798,26.5,308
19102,2.71884498480243,21.7239177489177,1.95056203035136,1,338.428571428571,36.0,9,146
21395,0.979974968710889,4012.9069264068,2.94018131786725,6,127.902173913043,0.195370271064715,10.0,3610
20570,,,,,,,,
18896,7.05,1.5,5.73117748557935,2,0.825,3847.5,1560.0,0
18682,3.4285714285714306,33.3333333333333,1.15028577376325,1,1.07692307692308,40.0,496.0,118
