,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,2.86,80.0,5.39,7.0,2.38,0.0,1569.0,411.0,False
1,4.09,115.0,4.16,10.0,4.71,0.0,365.0,189.0,True
2,3.93,124.0,3.89,6.0,2.79,0.01,358.0,520.0,False
3,4.48,253.0,4.54,8.0,4.35,0.0,87.0,108.0,True
4,3.37,323.0,3.08,4.0,1.58,0.0,1949.0,84.0,False
5,5.32,401.0,5.23,4.0,12.28,0.02,1616.0,154.0,True
6,15.48,1328.5,3.18,8.0,43.26,0.14,82.0,229.0,True
7,9.14,1896.5,5.74,4.0,73.12,0.32,2797.0,1162.0,True
8,11.61,1932.5,4.43,4.0,12.83,0.33,3294.0,4.0,True
9,36.59,30.0,3.88,4.0,1.77,0.58,1435.0,1.0,False
10,19.74,2385.33,5.0,5.0,0.43,0.24,3282.0,0.0,False
11,10.15,2500.83,5.7,4.0,0.15,0.32,4597.0,0.0,False
12,27.37,2532.75,4.21,3.0,4.03,0.46,3665.0,3.0,True
13,27.14,2541.08,4.65,4.0,2.97,0.33,2484.0,1.0,False
14,9.4,2576.5,5.49,6.0,98.08,0.2,895.0,974.0,True
15,41.96,2575.17,4.25,4.0,5.81,0.32,1868.0,2.0,True
16,41.94,2594.92,3.82,6.0,18.71,0.2,1834.0,5.0,True
17,35.03,8.0,3.47,4.0,0.83,0.25,3826.0,0.0,False
18,44.64,2614.17,4.37,6.0,13.42,0.2,1858.0,12.0,True
19,27.19,2615.18,5.07,3.0,0.58,0.46,3895.0,0.0,False
20,32.23,20.0,4.74,3.0,1.11,0.38,3305.0,0.0,False
21,77.12,1025.23,3.92,4.0,4.25,0.08,1755.0,0.0,True
22,18.77,1068.58,4.72,3.0,187.55,0.49,3470.0,94.0,True
23,70.72,130.0,3.8,3.0,0.8,0.17,3760.0,1.0,False
24,90.46,24.0,4.01,4.0,0.5,0.32,1605.0,0.0,False
25,139.83,2885.07,3.31,5.0,3.06,0.24,974.0,0.0,False
26,150.06,467.5,3.08,4.0,2.59,0.08,1389.0,1.0,False
27,38.21,2857.15,5.31,3.0,0.15,0.46,3689.0,66.0,False
28,52.77,7.0,5.02,4.0,44.66,0.6,5407.0,0.0,True
29,114.42,2.0,4.1,4.0,1.69,0.31,1843.0,0.0,False
30,69.18,0.0,4.94,5.0,8.57,0.0,3297.0,0.0,True
31,262.87,18.5,2.99,6.0,8.2,0.37,652.0,0.0,True
32,110.23,30.5,4.57,4.0,0.23,0.33,1703.0,0.0,False
33,180.35,45.5,3.49,7.0,14.61,0.31,1382.0,3.0,True
34,63.05,2.0,5.1,3.0,0.11,0.44,3573.0,0.0,False
35,136.37,53.5,4.36,5.0,0.27,0.25,2340.0,0.0,False
36,206.0,1.67,3.35,4.0,1.84,0.32,1562.0,0.0,False
37,195.77,68.5,3.53,5.0,2.0,0.25,1848.0,1.0,False
38,124.23,79.5,4.45,4.0,2.23,0.33,2391.0,0.0,False
39,74.67,4339.19,5.25,4.0,25.59,0.33,4220.0,43.0,True
40,139.41,1112.5,3.97,5.0,19.59,0.25,1618.0,3.0,True
41,131.26,6.5,4.61,5.0,1.68,0.25,1891.0,9.0,False
42,33.06,3.83,5.35,3.0,20.74,0.5,4224.0,2.0,True
43,184.32,104.0,3.81,5.0,1.45,0.25,1574.0,0.0,False
44,15.54,64.0,2.77,5.0,18.44,0.2,2990.0,1296.0,True
45,42.87,65.0,1.51,6.0,5.27,0.17,1791.0,293.0,False
46,103.54,67.0,3.27,5.0,20.46,0.4,905.0,668.0,True
47,104.57,75.0,2.41,6.0,17.43,0.53,750.0,975.0,True
48,113.87,1.0,4.85,7.0,1.15,0.16,3215.0,9.0,False
49,118.97,0.0,4.42,4.0,0.58,0.0,2023.0,0.0,False
