,nuc,aexp,ns,age,asexp,la,target
0,3.96,84.0,5.0,81.69,0.25,1411.0,True
1,0.5,140.0,2.0,160.5,0.99,364.0,True
2,29.33,129.0,2.0,15.67,1.0,244.0,True
3,5.0,319.0,1.0,74.67,13.0,40.0,True
4,10.23,60.0,2.0,23.77,0.81,187.0,True
5,22.0,61.0,1.0,0.0,26.0,1.0,True
6,5.87,321.0,2.0,74.3,0.93,2610.0,True
7,29.71,1.0,2.0,87.88,0.0,384.0,True
8,0.0,10.0,1.0,0.0,1.0,100.0,True
9,0.0,4.0,1.0,0.0,1.0,82.0,True
10,11.0,21.0,1.0,6.0,19.0,11.0,True
11,18.0,6.0,1.0,5.0,1.0,6.0,True
12,21.0,5.0,1.0,21.0,3.0,1.0,False
13,9.38,15.0,2.0,37.88,0.98,130.0,True
14,24.0,4.0,1.0,6.0,3.0,1.0,False
15,36.25,20.0,2.0,13.12,0.79,36.0,True
16,10.58,28.0,3.0,8.42,0.5,180.0,True
17,0.57,21.0,2.0,12.86,0.0,335.0,True
18,24.5,24.0,2.0,9.0,1.16,43.0,True
19,51.0,81.0,1.0,5.0,26.0,9.0,True
20,42.0,5.0,1.0,16.0,3.0,6.0,True
21,19.0,35.0,3.0,10.4,0.26,297.0,True
22,12.25,28.0,1.0,8.5,23.0,83.0,True
23,14.5,86.0,1.0,164.75,30.0,66.0,True
24,5.82,42.0,6.0,10.09,0.2,1059.0,True
25,28.67,68.0,1.0,0.67,19.0,8.0,True
26,21.0,94.0,3.0,3.75,0.5,38.0,True
27,1.0,77.0,1.0,3.5,11.0,176.0,True
28,40.0,76.0,1.0,20.0,33.0,9.0,True
29,0.7,31.0,1.0,0.5,25.0,996.0,True
30,37.0,0.0,1.0,24.5,0.0,17.0,True
31,28.51,33.0,2.0,139.53,0.93,727.0,True
32,3.0,24.0,1.0,33.0,8.0,0.0,True
33,3.64,111.0,1.0,20.4,13.0,283.0,True
34,4.82,75.0,3.0,313.57,0.59,75.0,True
35,2.0,36.0,1.0,31.0,2.0,4.0,True
36,76.0,1.0,1.0,13.0,1.0,29.0,True
37,13.84,6.0,2.0,22.32,1.0,1182.0,True
38,3.6,0.0,1.0,13.2,0.0,29.0,True
39,4.5,0.0,1.0,12.5,0.0,17.0,True
40,9.5,0.0,1.0,124.0,0.0,29.0,True
41,7.43,121.0,3.0,17.79,0.5,875.0,True
42,11.14,10.0,2.0,22.14,1.02,138.0,True
43,12.0,70.0,1.0,11.0,63.0,16.0,True
44,5.5,5.0,1.0,8.5,2.0,4.0,True
45,9.0,73.0,1.0,17.0,66.0,2.0,True
46,11.38,10.0,1.0,1.0,1.0,288.0,True
47,20.0,87.0,1.0,0.0,53.0,57.0,True
48,8.54,11.0,1.0,27.38,2.0,232.0,True
49,29.78,0.0,4.0,53.0,0.0,9.0,True
50,12.0,0.0,1.0,31.0,0.0,3.0,True
51,16.2,11.0,3.0,15.0,0.02,104.0,True
52,5.5,17.0,1.0,5.0,9.0,22.0,True
53,6.0,127.0,1.0,0.0,5.0,1.0,True
54,1.86,17.0,1.0,20.43,8.0,98.0,True
55,7.43,4.0,1.0,57.29,2.0,86.0,True
56,19.0,5.0,1.0,6.0,3.0,1.0,False
57,5.0,0.0,1.0,29.0,0.0,2.0,True
58,4.0,5.0,1.0,2.0,4.0,12.0,True
59,21.0,9.0,1.0,50.5,8.0,15.0,True
60,20.83,4.0,1.0,39.83,4.0,213.0,True
61,66.67,43.0,2.0,28.67,0.05,93.0,True
62,28.0,16.0,1.0,67.0,4.0,11.0,True
63,54.5,2.0,1.0,18.0,1.0,136.0,True
64,13.64,24.0,1.0,1.64,15.0,104.0,True
65,3.0,96.0,1.0,139.5,19.0,76.0,True
66,19.67,4.0,1.0,135.0,1.0,2.0,True
67,24.0,0.0,1.0,12.0,0.0,32.0,True
68,9.2,18.0,2.0,43.0,1.09,1599.0,True
69,4.0,27.0,1.0,0.0,17.0,6.0,True
70,28.75,46.0,1.0,21.75,23.0,133.0,True
71,3.9,29.0,1.0,39.4,19.0,442.0,True
72,14.0,6.0,1.0,64.07,6.0,105.0,True
73,32.5,5.0,2.0,25.0,0.16,2.0,True
74,109.0,2.0,1.0,7.0,2.0,1.0,True
75,16.0,166.0,1.0,7.0,62.0,2.0,True
76,16.5,39.0,1.0,3.0,36.0,54.0,True
77,11.5,22.0,1.0,34.0,19.0,1075.0,True
78,5.0,0.0,1.0,196.0,0.0,21.0,True
79,8.0,103.0,1.0,56.0,23.0,2.0,True
80,13.57,51.0,1.0,35.57,48.0,226.0,True
81,63.25,47.0,1.0,19.75,2.0,36.0,True
82,21.0,54.0,1.0,84.5,51.0,26.0,True
83,51.14,0.0,2.0,18.29,0.0,109.0,True
84,23.77,61.0,4.0,106.0,0.33,484.0,True
85,1.0,44.0,1.0,6.0,40.0,0.0,True
86,35.44,192.0,2.0,3.0,0.63,183.0,True
87,43.0,68.0,1.0,5.0,65.0,2.0,True
88,8.0,6.0,1.0,7.0,3.0,4.0,True
89,21.58,177.0,2.0,10.74,0.0,478.0,True
90,0.0,5.0,2.0,0.0,0.28,466.0,True
91,10.41,2.0,1.0,12.12,2.0,324.0,True
92,22.0,197.0,4.0,54.12,0.14,852.0,True
93,1.8,2.0,1.0,91.0,1.0,0.0,True
94,29.0,59.0,1.0,0.5,55.0,18.0,True
95,22.29,79.0,1.0,13.36,76.0,76.0,True
96,84.0,61.0,1.0,8.0,40.0,4.0,True
97,81.67,35.0,1.0,2.33,11.0,153.0,True
98,26.0,172.0,1.0,0.6,95.0,105.0,True
99,11.09,173.0,3.0,12.68,0.54,668.0,True
100,52.0,11.0,1.0,9.0,7.0,2.0,True
101,29.67,14.0,1.0,20.67,14.0,178.0,True
102,34.5,73.0,2.0,19.25,0.5,515.0,True
103,49.0,40.0,1.0,29.0,15.0,41.0,True
104,13.11,108.0,2.0,3.33,0.13,149.0,True
105,16.5,86.0,1.0,39.5,7.0,592.0,True
106,25.0,0.0,1.0,11.5,0.0,72.0,True
107,37.12,188.0,2.0,23.62,1.16,840.0,True
108,1.62,121.0,1.0,34.12,29.0,1350.0,True
109,25.0,115.0,1.0,5.0,100.0,11.0,True
110,32.0,17.0,2.0,1.4,0.56,140.0,True
111,21.21,201.0,3.0,21.75,0.54,285.0,True
112,20.0,206.0,2.0,23.31,1.16,504.0,True
113,48.89,254.0,2.0,2.89,0.63,201.0,True
114,9.19,209.0,2.0,3.38,1.16,605.0,True
115,0.0,15.0,1.0,0.0,9.0,241.0,True
116,4.25,266.0,1.0,28.5,102.0,54.0,True
117,93.0,224.0,1.0,7.0,128.0,46.0,True
118,21.95,270.0,3.0,9.82,0.26,251.0,True
119,7.5,9.0,1.0,73.5,9.0,15.0,True
120,83.33,235.0,2.0,14.33,1.16,68.0,True
121,38.0,7.0,1.0,45.0,7.0,7.0,True
122,61.67,95.0,1.0,21.33,62.0,84.0,True
123,18.69,148.0,2.0,27.92,1.0,215.0,True
124,35.4,150.0,2.0,0.0,1.0,287.0,True
125,115.0,67.0,1.0,2.0,22.0,1.0,True
126,61.8,253.0,1.0,7.6,148.0,46.0,True
127,40.9,121.0,3.0,38.5,0.5,416.0,True
128,15.0,125.0,1.0,74.0,11.0,2.0,True
129,43.0,171.0,1.0,7.0,139.0,64.0,True
