,nuc,arexp,nd,ns,age,la,ld,target
0,2.0,11.0,1.0,1.0,0.0,2.0,3.0,False
1,17.5,66.0,2.0,1.0,0.0,19.0,3.0,False
2,6.67,97.0,2.0,1.0,0.0,29.0,7.0,False
3,12.33,45.0,2.0,1.0,0.67,219.0,1.0,False
4,6.6,127.0,3.0,2.0,0.6,242.0,87.0,False
5,10.14,131.0,3.0,1.0,0.86,139.0,17.0,False
6,37.0,2.0,2.0,1.0,0.0,0.0,4.0,False
7,12.38,256.0,4.0,1.0,15.88,379.0,94.0,False
8,6.5,321.0,2.0,1.0,25.17,213.0,136.0,False
9,37.0,352.0,2.0,1.0,0.0,10.0,10.0,False
10,2.0,367.0,2.0,1.0,15.67,74.0,0.0,False
11,3.0,374.0,2.0,1.0,1.0,22.0,1.0,False
12,0.0,390.0,1.0,1.0,0.0,162.0,103.0,False
13,54.0,531.0,1.0,1.0,0.0,98.0,20.0,False
14,45.0,566.0,3.0,1.0,0.0,130.0,17.0,False
15,27.83,639.0,3.0,1.0,6.33,184.0,28.0,False
16,50.0,646.0,1.0,1.0,0.0,4.0,1.0,False
17,22.0,5.0,1.0,1.0,0.0,263.0,145.0,False
18,3.0,1.0,1.0,1.0,2.0,3.0,1.0,True
19,5.0,43.0,1.0,1.0,13.0,10.0,6.0,False
20,0.0,794.0,1.0,1.0,0.0,170.0,0.0,False
21,1.0,795.0,1.0,1.0,1.0,455.0,123.0,False
22,2.0,42.0,1.0,1.0,0.0,47.0,5.0,False
23,42.5,72.0,1.0,1.0,5.5,7.0,2.0,False
24,1.0,3.0,1.0,1.0,1.0,2.0,1.0,True
25,4.0,71.0,1.0,1.0,2.0,475.0,104.0,False
26,125.0,8.0,1.0,1.0,8.0,230.0,69.0,False
27,0.0,17.0,1.0,1.0,0.0,736.0,0.0,False
28,33.5,2.0,1.0,1.0,39.5,502.0,482.0,False
29,2.0,6.0,2.0,1.0,0.0,37.0,0.0,False
30,11.0,33.0,2.0,1.0,114.0,2.0,2.0,False
31,10.5,638.5,2.0,1.0,0.0,12.0,1.0,False
32,12.8,41.0,5.0,1.0,13.2,85.0,5.0,False
33,8.0,92.0,1.0,1.0,56.0,13.0,6.0,False
34,12.0,118.0,1.0,1.0,0.0,1.0,2.0,False
35,0.0,1.0,1.0,1.0,0.0,5.0,1.0,True
36,41.0,28.0,1.0,1.0,9.0,10.0,4.0,False
37,49.0,116.5,1.0,1.0,3.0,31.0,13.0,False
38,38.0,32.0,1.0,1.0,11.0,1.0,0.0,False
39,47.0,162.0,1.0,1.0,6.0,1.0,1.0,False
40,25.5,119.0,1.0,1.0,20.0,50.0,3.0,False
41,0.33,49.0,3.0,1.0,6.22,745.0,0.0,False
42,53.33,79.0,1.0,1.0,0.0,24.0,30.0,False
43,70.0,80.0,1.0,1.0,0.0,31.0,30.0,False
