,nuc,aexp,ns,age,asexp,la
1942,,,,,,
1973,,,,,,
1978,1.5,2,1,73.0,0.75,533
1980,,,,,,
2005,,,,,,
2015,,,,,,
2037,,,,,,
2023,,,,,,
2031,,,,,,
2057,,,,,,
2071,,,,,,
2077,,,,,,
2089,,,,,,
2097,,,,,,
2108,,,,,,
2193,,,,,,
2198,,,,,,
2228,,,,,,
2242,,,,,,
2247,,,,,,
2259,,,,,,
2291,,,,,,
2033,28.602564102564106,422,2,156.012820512821,0.0480000000002748,111
2042,,,,,,
2070,,,,,,
2203,,,,,,
2271,,,,,,
2272,,,,,,
2266,,,,,,
2106,,,,,,
1912,,,,,,
1918,,,,,,
1921,20.3703703703704,73,7,65.9259259259259,59.0,183
1920,,,,,,
1923,,,,,,
2003,,,,,,
1933,,,,,,
1937,,,,,,
2022,,,,,,
2024,,,,,,
2040,,,,,,
2060,,,,,,
2046,,,,,,
2041,,,,,,
2066,,,,,,
2067,,,,,,
2069,,,,,,
2101,,,,,,
2087,,,,,,
2076,,,,,,
2189,,,,,,
2199,,,,,,
2220,,,,,,
2222,,,,,,
2263,,,,,,
2363,,,,,,
2341,,,,,,
1962,,,,,,
1956,,,,,,
2002,,,,,,
2048,,,,,,
2145,,,,,,
2217,,,,,,
2049,42.7727272727273,71.5,2,14.087438423645349,28.0,3
2241,,,,,,
2250,,,,,,
2274,,,,,,
2296,,,,,,
1935,,,,,,
1951,,,,,,
