,nuc,aexp,nd,ns,age,la,ld
1116,,,,,,,
1065,,,,,,,
1141,355.5,19.5,2,1,113.962962962963,30,6
1087,,,,,,,
1094,,,,,,,
1201,,,,,,,
1109,,,,,,,
1146,,,,,,,
1115,,,,,,,
1121,,,,,,,
1138,462.666666666667,67.0,2,1,481.818181818182,48,1
1204,,,,,,,
1223,,,,,,,
1237,622.0,243,2,1,481.818181818182,25.5,15
1252,,,,,,,
1261,,,,,,,
1270,401.2,30.0,2.0,1,362.0,381,58
1273,6.0,27.5,2.0,1,222.111111111111,44,27
1304,25.4285714285714,30.0,5,1,629.142857142857,24.5,134
1062,,,,,,,
1063,,,,,,,
1064,,,,,,,
1067,407.333333333333,7.0,2,1,88.33333333333334,10.0,3
1070,,,,,,,
1072,,,,,,,
1074,613.5,2.0,2,3.0,115.222222222222,13,12
1075,,,,,,,
1076,614.5,1.0,2,1,72.1176470588235,12,1.0
1080,442.333333333333,31.0,2,1,115.222222222222,43.5,22
1081,,,,,,,
1082,,,,,,,
1083,,,,,,,
1091,184.75,36.0,6,2,284.5,3.0,13
1093,84.28571428571429,22,2.0,2,257.6363636363635,405,5.0
1096,,,,,,,
1097,353.75,54.0,3,5.0,152.0043103448275,197,0
1100,,,,,,,
1103,,,,,,,
1105,,,,,,,
1108,168.666666666667,29.0,2,1,225.30909090909103,32,0
1110,356.5,52.0,3,1,384.698113207547,8.0,7
1113,,,,,,,
1120,,,,,,,
1126,214.57142857142892,51.0,2.0,2,65.14285714285711,43.5,16
1128,,,,,,,
1130,457.666666666667,13.0,2,3.0,142.333333333333,5.0,1
1133,727.5,131,2,3.0,99.1111111111111,5,1.0
1145,,,,,,,
1158,,,,,,,
1162,,,,,,,
1163,,,,,,,
1165,490.333333333333,54.0,2,1,147.33333333333348,24.5,1
1167,162.5,4,2.0,3,155.075,429,35
1169,,,,,,,
1173,,,,,,,
1178,,,,,,,
1184,344.4,60.5,5,2.0,94.45,114,8
1186,221.125,51.0,5,1,536.25,5.0,9
1187,,,,,,,
1189,,,,,,,
1196,369.5,1,2,1,384.698113207547,3.0,4
1200,274.8333333333335,26.5,2,1,243.0,26.5,20
1203,830.0,11.0,2,1,68.875,5,1.0
1206,,,,,,,
1209,562.666666666667,27.5,2,1,98.75531914893614,12.0,35
1210,380.5,32.0,3,2,10.2,77,0.0
1216,176.0,60.5,7,2,384.698113207547,19.5,23
1219,,,,,,,
1220,,,,,,,
1230,859.0,52.0,2,1,152.0043103448275,7.0,4
1232,,,,,,,
1241,601.666666666667,35.0,2,1,142.0,6.0,16
1248,299.428571428571,47.0,2.0,2,106.3,216,88
1262,620.666666666667,47.0,2,1,257.6363636363635,296,7.0
1266,,,,,,,
1267,,,,,,,
1271,87.875,0,1.0,1,193.5,237,576
1274,,,,,,,
1280,,,,,,,
1281,,,,,,,
1285,17.0897435897436,19.5,1.0,2,136.333333333333,634,543
1288,,,,,,,
1297,,,,,,,
1299,5.0,39.5,1,3.0,248.1363636363635,492,92
1301,,,,,,,
1302,,,,,,,
1305,196.25,37.5,1,1,140.19230769230802,101,2
1316,,,,,,,
1319,131.0,1,2.0,2.0,623.5454545454551,1538,7
1056,,,,,,,
1057,591.0,17.0,2,2.0,172.4,54.0,0
1060,535.5,58.5,2,2.0,72.1176470588235,15,1
1071,605.0,35.0,2,1,284.5,30.0,3.0
1078,622.0,19.5,2,3.0,142.0,13.0,1
1079,112.615384615385,19.5,2.0,3.0,257.6363636363635,190,6
1086,468.75,22.5,2.0,1,384.698113207547,5,2
1095,,,,,,,
1102,,,,,,,
1101,193.66666666666652,35.0,2.0,1,384.698113207547,107,178
1111,,,,,,,
1112,701.5,64.5,2,2.0,68.2222222222222,79.5,0
1117,,,,,,,
1118,,,,,,,
1123,184.25,29.0,2.0,3,155.075,215,193
1125,271.33333333333303,28.0,1.0,1,72.1176470588235,224,35
1134,,,,,,,
1136,,,,,,,
1139,,,,,,,
1140,495.0,9.0,2.0,1,481.818181818182,18.0,1
1150,195.16666666666652,7.0,6,2.0,481.818181818182,359,9
1154,4.64705882352941,42.0,4,3.0,325.846153846154,118.5,0
1155,,,,,,,
1157,145.9,60.5,4,2.0,316.0,269,7.0
1160,378.0,12.0,2.0,1,193.5,194,15.0
1164,323.0,27.5,2.0,3.0,118.6,63.5,87
1166,497.333333333333,21.5,1.0,1,119.0,8.0,14
1172,487.25,7.0,4,2.0,178.333333333333,247,15.0
1174,227.714285714286,23.5,2.0,2,202.2065217391305,18.5,102
1179,512.0,7.0,2,2.0,127.0,6.0,14
1180,,,,,,,
1185,333.66666666666697,29.0,6,2,481.818181818182,328,9.0
1182,70.43478260869571,7.0,2.0,2,225.30909090909103,196,8.0
1191,366.25,3,1.0,1,68.2222222222222,7.0,68
1198,,,,,,,
1205,189.0,26.5,1,4.0,68.875,1,2
1212,161.375,9.0,1.0,1,484.6,826,3.0
1214,,,,,,,
1227,75.2916666666667,1.0,2,1,146.25,96.0,10.0
1217,,,,,,,
1228,213.0,58.5,3,2,284.5,24.5,3
1229,,,,,,,
1233,,,,,,,
1234,138.5,37.5,2,1,297.33333333333303,19.5,1
1243,356.6,124,2.0,2,144.7,13.0,8.0
1255,1755.5,18.5,2,2,152.0043103448275,2.0,5.0
1259,,,,,,,
1268,278.6666666666665,23.5,2.0,2,257.6363636363635,1986,462
1275,161.166666666667,2.0,1,1,172.4,5.0,3
1282,355.0,27.5,1,1,284.5,14.0,44
1286,,,,,,,
1287,,,,,,,
1307,,,,,,,
1296,273.8333333333335,373,2.0,3,207.2065217391305,37.5,137
1066,,,,,,,
1068,,,,,,,
1085,110.333333333333,18.5,1.0,2,202.2065217391305,12.0,1.0
1069,330.66666666666697,137.5,5,3,30.606060606060602,3.0,3.0
1089,181.85,8.0,5,2.0,113.962962962963,2.0,17
1090,353.5,58.5,2.0,2.0,81.25,148,1.0
1106,436.333333333333,1.0,2.0,2.0,481.818181818182,60.5,34
1114,,,,,,,
1129,245.20833333333348,65.5,2.0,3.0,296.0,10.0,14
1135,,,,,,,
1152,292.0,6.0,5,3.0,257.6363636363635,203,1.0
1144,702.5,33.0,2,3.0,284.5,5.0,14.0
1137,,,,,,,
1153,,,,,,,
1168,245.83333333333348,36.0,3.0,2,106.25,1.0,67
1176,288.33333333333303,0.0,2.0,1,481.818181818182,312,3.0
1193,290.0,7.0,2.0,2,479.333333333333,18.0,0.0
1183,,,,,,,
1197,356.25,58,2.0,2.0,54.8571428571429,3.0,17
1218,333.66666666666697,23.5,2.0,3.0,347.0,18.0,5
1244,486.25,26.5,2.0,2.0,68.875,2.0,47
1278,159.5,28.0,1,2.0,97.125,346,6.0
1283,346.5,14.0,2,2.0,384.698113207547,1.0,2
1084,539.0,38.5,2.0,1.0,225.30909090909103,27.5,30
1092,456.75,35.0,2.0,1,172.0,7.0,8.0
1104,512.0,24.5,2.0,2.0,316.0,117,7.0
1311,272.1666666666665,114.0,1,3.0,225.30909090909103,12.0,1.0
