,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,0.0,3.0,2.95,0.0,1.0,0.0,3.0,1914.0,0.0,True
1,1.67,10.0,3.4,0.17,1.0,23.61,10.0,261.0,36.0,True
2,1.8,10.0,1.97,0.4,1.0,30.2,10.0,33.0,12.0,True
3,2.3,12.0,2.47,0.3,1.0,11.5,12.0,262.0,15.0,True
4,1.4,20.0,2.83,0.3,1.0,1.2,20.0,430.0,33.0,True
5,8.4,32.0,1.35,0.8,1.0,17.8,32.0,422.0,142.0,True
6,0.75,23.0,4.19,0.06,1.0,11.64,13.0,625.0,329.0,True
7,2.0,26.0,2.37,0.12,1.0,31.0,15.0,88.0,63.0,True
8,2.17,5.0,2.18,0.17,1.0,44.0,4.0,40.0,22.0,True
9,3.0,4.0,1.35,0.25,1.0,44.0,1.0,93.0,34.0,True
10,2.97,10.0,3.61,0.12,1.0,28.48,8.0,997.0,477.0,True
11,3.43,13.0,1.51,0.57,1.0,30.57,11.0,172.0,48.0,True
12,4.1,34.0,2.21,0.3,2.0,9.4,0.0,486.0,209.0,True
13,0.0,37.0,0.84,0.0,1.0,0.0,3.0,665.0,0.0,True
14,6.0,38.0,1.42,1.0,1.0,0.75,4.0,150.0,93.0,True
15,3.63,30.0,3.29,0.16,1.0,17.21,19.0,269.0,95.0,True
16,5.45,6.0,3.19,0.2,1.0,22.05,3.0,242.0,146.0,True
17,10.1,61.0,3.39,0.2,2.0,11.4,0.75,1450.0,190.0,True
18,10.82,8.0,3.03,0.18,2.0,24.94,0.12,1009.0,448.0,True
19,0.0,50.0,1.04,0.0,1.0,0.0,30.0,659.0,0.0,True
20,16.6,50.0,2.16,0.27,1.0,89.93,36.0,584.0,274.0,True
21,12.2,52.5,2.99,0.4,1.0,12.2,39.0,635.0,122.0,True
22,0.0,13.5,0.91,0.0,1.0,0.0,15.0,243.0,0.0,True
23,48.0,63.33,1.35,0.67,2.0,67.0,0.0,1233.0,5.0,True
24,0.0,11.5,1.79,0.0,1.0,0.0,15.0,524.0,0.0,True
25,98.67,31.33,1.8,0.92,2.0,33.58,1.97,565.0,58.0,True
26,126.33,2.0,2.2,1.33,2.0,16.33,1.5,609.0,191.0,True
27,100.73,41.8,2.33,1.09,2.0,190.55,0.13,758.0,175.0,True
28,60.54,10.0,3.39,0.54,2.0,210.54,1.5,813.0,110.0,True
29,29.27,0.0,2.82,1.18,1.0,100.55,0.0,588.0,41.0,True
30,3.0,0.0,1.97,1.2,1.0,193.6,0.0,125.0,8.0,True
31,25.29,7.0,2.05,2.29,1.0,178.86,6.0,466.0,15.0,True
32,34.55,1.5,3.25,2.1,1.0,272.45,3.0,633.0,57.0,True
33,27.7,0.0,2.98,2.6,1.0,103.7,0.0,258.0,69.0,True
34,0.0,0.0,2.53,0.0,1.0,0.0,0.0,300.0,0.0,True
35,34.73,4.5,2.54,3.18,1.0,107.64,4.0,950.0,3.0,True
36,28.21,0.0,3.62,1.62,1.0,36.25,0.0,623.0,86.0,True
37,0.0,15.5,1.12,0.0,1.0,0.0,1.0,144.0,150.0,True
38,0.25,17.0,1.68,0.25,1.0,1.75,0.0,36.0,45.0,True
39,0.29,0.0,3.83,0.19,2.0,78.86,0.0,2676.0,231.0,True
40,8.2,31.53,1.53,0.13,1.0,44.43,25.37,411.47,135.37,True
41,15.34,47.23,2.06,0.25,1.0,83.1,34.4,558.08,253.17,True
42,4.95,24.39,1.29,0.08,1.0,26.82,21.26,344.7,81.72,True
43,0.63,14.88,0.96,0.01,1.0,3.4,15.79,255.91,10.37,True
44,6.97,28.82,1.44,0.11,1.0,37.76,23.82,386.16,115.03,True
45,12.65,41.32,1.86,0.2,1.0,68.54,31.01,502.9,208.83,True
46,3.27,20.69,1.16,0.05,1.0,17.72,19.14,310.19,53.99,True
47,7.61,30.23,1.48,0.12,1.0,41.22,24.63,399.3,125.59,True
48,5.21,24.95,1.3,0.08,1.0,28.21,21.59,349.96,85.94,True
49,6.55,27.9,1.41,0.11,1.0,35.49,23.29,377.57,108.13,True
50,11.77,39.38,1.8,0.19,1.0,63.77,29.89,484.79,194.28,True
51,12.1,40.1,1.82,0.19,1.0,65.55,30.31,491.55,199.72,True
52,11.48,38.74,1.77,0.18,1.0,62.19,29.52,478.81,189.47,True
53,0.52,14.65,0.95,0.01,1.0,2.82,15.66,253.71,8.61,True
54,12.84,41.73,1.88,0.21,1.0,69.56,31.24,506.74,211.92,True
55,2.18,18.3,1.08,0.04,1.0,11.83,17.76,287.85,36.04,True
56,0.89,15.46,0.98,0.01,1.0,4.83,16.13,261.32,14.72,True
57,15.59,47.78,2.08,0.25,1.0,84.47,34.73,563.3,257.37,True
58,5.12,24.76,1.3,0.08,1.0,27.73,21.48,348.16,84.5,True
59,8.41,32.0,1.54,0.14,1.0,45.57,25.64,415.79,138.84,True
60,15.0,46.48,2.04,0.24,1.0,81.26,33.97,551.11,247.57,True
