,nuc,arexp,ent,ndev,ns,age,asexp,la,ld,target
0,1.94,9.0,3.37,0.17,3.0,27.0,0.5,959.0,434.0,True
1,4.1,34.0,2.21,0.3,2.0,9.4,0.0,486.0,209.0,True
2,3.42,16.0,1.96,0.42,3.0,4.42,0.39,378.0,76.0,True
3,5.77,37.0,1.75,0.31,3.0,0.23,0.0,168.0,151.0,True
4,4.81,43.0,2.68,0.25,2.0,14.38,0.0,515.0,414.0,True
5,6.2,43.0,1.71,0.4,3.0,6.5,0.0,727.0,438.0,True
6,12.27,33.0,2.22,0.45,3.0,30.18,0.39,389.0,155.0,True
7,9.44,44.0,3.06,0.2,2.0,74.4,0.75,695.0,393.0,True
8,18.57,47.0,1.63,0.57,3.0,24.29,0.39,155.0,98.0,True
9,11.62,50.0,2.1,0.5,3.0,39.75,0.39,308.0,16.0,True
10,11.07,38.5,3.96,0.18,2.0,52.96,0.0,231.0,212.0,True
11,18.42,40.5,1.63,0.42,3.0,18.67,0.0,789.0,709.0,True
12,26.83,41.5,0.64,0.83,3.0,8.0,0.0,500.0,457.0,True
13,8.71,80.0,3.09,0.29,3.0,2.71,0.0,1635.0,7.0,True
14,9.3,60.0,1.78,0.2,2.0,13.45,0.75,800.0,562.0,True
15,10.1,61.0,3.39,0.2,2.0,11.4,0.75,1450.0,190.0,True
16,8.41,83.0,3.3,0.18,2.0,54.12,0.75,579.0,348.0,True
17,13.39,99.0,3.09,0.13,3.0,66.26,0.39,1502.0,636.0,True
18,10.82,8.0,3.03,0.18,2.0,24.94,0.12,1009.0,448.0,True
19,16.44,45.0,3.68,0.16,2.0,58.4,0.0,463.0,341.0,True
20,30.55,119.0,2.5,0.36,3.0,34.73,0.39,911.0,549.0,True
21,12.95,54.0,3.17,0.19,2.0,29.24,0.0,1787.0,722.0,True
22,15.77,100.5,3.94,0.19,3.0,106.65,0.0,1016.0,513.0,True
23,25.4,2.0,2.65,0.47,4.0,303.53,0.62,487.0,193.0,True
24,29.0,4.0,2.27,0.38,3.0,379.69,0.99,487.0,430.0,True
25,20.67,69.67,3.74,0.17,3.0,75.33,0.0,485.0,249.0,True
26,24.83,12.5,3.17,0.33,3.0,109.0,0.02,912.0,271.0,True
27,82.75,14.33,1.9,1.0,2.0,16.88,0.13,362.0,119.0,True
28,52.31,10.5,2.98,0.5,2.0,108.5,2.0,483.0,55.0,True
29,73.92,0.0,2.67,0.75,3.0,302.5,0.0,1588.0,170.0,True
30,122.0,10.0,2.06,1.33,2.0,184.33,2.0,198.0,213.0,True
31,126.33,2.0,2.2,1.33,2.0,16.33,1.5,609.0,191.0,True
32,209.8,5.0,1.68,2.4,3.0,90.8,0.99,190.0,94.0,True
33,100.73,41.8,2.33,1.09,2.0,190.55,0.13,758.0,175.0,True
34,61.07,26.0,4.1,0.46,3.0,150.29,1.0,834.0,124.0,True
35,60.54,10.0,3.39,0.54,2.0,210.54,1.5,813.0,110.0,True
36,54.9,24.0,3.6,0.67,2.0,17.57,1.5,977.0,977.0,True
37,69.12,17.0,3.44,0.69,3.0,276.12,1.0,779.0,104.0,True
38,24.44,0.0,3.99,0.5,2.0,322.47,0.0,1273.0,244.0,True
39,27.17,4.0,2.9,2.67,3.0,45.92,0.6,784.0,74.0,True
40,29.73,117.98,2.58,0.35,3.0,38.71,0.37,916.81,547.01,True
41,29.75,118.01,2.58,0.35,3.0,38.58,0.37,916.63,547.07,True
42,29.66,117.89,2.59,0.35,3.0,39.02,0.37,917.27,546.85,True
43,28.34,116.24,2.72,0.34,3.0,45.48,0.33,926.69,543.62,True
44,29.16,117.26,2.64,0.35,3.0,41.48,0.35,920.86,545.62,True
45,23.05,109.61,3.23,0.28,3.0,71.23,0.19,964.29,530.73,True
46,25.44,112.6,3.0,0.3,3.0,59.59,0.25,947.3,536.55,True
47,29.85,118.13,2.57,0.36,3.0,38.11,0.37,915.94,547.31,True
48,22.65,109.12,3.27,0.27,3.0,73.15,0.18,967.1,529.77,True
49,22.25,108.61,3.31,0.27,3.0,75.12,0.17,969.98,528.78,True
50,24.91,111.94,3.05,0.3,3.0,62.15,0.24,951.04,535.27,True
51,23.76,110.5,3.16,0.29,3.0,67.77,0.21,959.24,532.46,True
52,19.98,105.77,3.53,0.24,3.0,86.15,0.11,986.07,523.26,True
53,23.49,110.16,3.19,0.28,3.0,69.07,0.2,961.15,531.81,True
54,17.86,103.11,3.74,0.22,3.0,96.51,0.06,1001.2,518.07,True
55,22.97,109.52,3.24,0.28,3.0,71.59,0.19,964.82,530.55,True
56,21.5,107.68,3.38,0.26,3.0,78.75,0.15,975.27,526.97,True
57,19.51,105.17,3.58,0.24,3.0,88.47,0.1,989.47,522.1,True
58,22.97,109.51,3.24,0.28,3.0,71.6,0.19,964.84,530.54,True
59,19.91,105.67,3.54,0.24,3.0,86.53,0.11,986.63,523.07,True
60,24.37,111.26,3.1,0.29,3.0,64.81,0.23,954.91,533.94,True
61,27.66,115.38,2.78,0.33,3.0,48.79,0.31,931.54,541.96,True
62,29.88,118.16,2.57,0.36,3.0,37.98,0.37,915.75,547.37,True
63,28.67,116.66,2.68,0.34,3.0,43.84,0.34,924.3,544.44,True
64,18.69,104.15,3.66,0.23,3.0,92.46,0.08,995.29,520.1,True
65,30.51,118.96,2.5,0.36,3.0,34.89,0.39,911.23,548.92,True
66,22.62,109.07,3.27,0.27,3.0,73.31,0.18,967.33,529.69,True
67,20.22,106.07,3.51,0.24,3.0,84.98,0.12,984.37,523.85,True
68,26.68,114.15,2.88,0.32,3.0,53.57,0.29,938.51,539.57,True
69,25.17,112.27,3.02,0.3,3.0,60.9,0.25,949.22,535.9,True
70,30.48,118.92,2.51,0.36,3.0,35.03,0.39,911.44,548.85,True
71,27.41,115.08,2.81,0.33,3.0,49.97,0.31,933.26,541.37,True
72,21.99,108.29,3.33,0.27,3.0,76.37,0.16,971.79,528.16,True
73,16.3,101.15,3.89,0.2,3.0,104.1,0.01,1012.29,514.27,True
74,18.71,104.17,3.65,0.23,3.0,92.37,0.08,995.16,520.14,True
75,18.71,104.18,3.65,0.23,3.0,92.35,0.08,995.13,520.16,True
76,29.81,118.08,2.57,0.36,3.0,38.31,0.37,916.22,547.21,True
77,20.63,106.59,3.47,0.25,3.0,82.98,0.13,981.45,524.85,True
78,21.22,107.33,3.41,0.26,3.0,80.11,0.14,977.26,526.28,True
79,16.66,101.6,3.85,0.2,3.0,102.35,0.02,1009.73,515.15,True
80,29.35,117.5,2.62,0.35,3.0,40.55,0.36,919.5,546.09,True
81,24.56,111.51,3.08,0.29,3.0,63.86,0.23,953.53,534.42,True
82,20.91,106.94,3.44,0.25,3.0,81.63,0.14,979.47,525.52,True
83,15.94,100.71,3.92,0.2,3.0,105.84,0.0,1014.82,513.41,True
84,21.01,107.05,3.43,0.25,3.0,81.17,0.14,978.81,525.75,True
85,26.76,114.26,2.87,0.32,3.0,53.16,0.29,937.91,539.77,True
86,18.04,103.34,3.72,0.22,3.0,95.62,0.06,999.91,518.52,True
87,26.68,114.16,2.88,0.32,3.0,53.54,0.29,938.47,539.58,True
88,27.02,114.58,2.84,0.32,3.0,51.9,0.3,936.07,540.41,True
89,26.19,113.54,2.92,0.31,3.0,55.94,0.27,941.97,538.38,True
90,21.14,107.22,3.42,0.26,3.0,80.51,0.14,977.84,526.08,True
91,29.77,118.03,2.58,0.35,3.0,38.5,0.37,916.51,547.11,True
92,23.28,109.9,3.21,0.28,3.0,70.09,0.2,962.63,531.3,True
93,26.65,114.12,2.88,0.32,3.0,53.69,0.29,938.68,539.51,True
94,22.51,108.93,3.28,0.27,3.0,73.86,0.18,968.13,529.41,True
95,15.86,100.61,3.93,0.19,3.0,106.21,0.0,1015.36,513.22,True
96,27.4,115.06,2.81,0.33,3.0,50.03,0.31,933.34,541.34,True
97,16.01,100.8,3.92,0.2,3.0,105.48,0.01,1014.29,513.59,True
98,25.19,112.3,3.02,0.3,3.0,60.79,0.25,949.05,535.95,True
99,19.51,105.18,3.58,0.24,3.0,88.44,0.1,989.42,522.11,True
100,17.29,102.39,3.79,0.21,3.0,99.28,0.04,1005.25,516.68,True
101,29.31,117.45,2.62,0.35,3.0,40.75,0.36,919.79,545.99,True
102,22.93,109.46,3.24,0.28,3.0,71.8,0.19,965.12,530.44,True
103,24.25,111.12,3.11,0.29,3.0,65.36,0.22,955.72,533.67,True
104,22.94,109.48,3.24,0.28,3.0,71.75,0.19,965.05,530.47,True
105,17.17,102.25,3.8,0.21,3.0,99.83,0.04,1006.05,516.41,True
106,26.18,113.54,2.93,0.31,3.0,55.96,0.27,942.01,538.37,True
107,25.84,113.1,2.96,0.31,3.0,57.66,0.26,944.48,537.52,True
108,15.88,100.64,3.93,0.19,3.0,106.11,0.0,1015.22,513.27,True
109,23.2,109.8,3.22,0.28,3.0,70.49,0.2,963.21,531.1,True
110,29.79,118.05,2.57,0.35,3.0,38.41,0.37,916.37,547.16,True
111,28.63,116.6,2.69,0.34,3.0,44.05,0.34,924.62,544.33,True
112,19.31,104.93,3.6,0.23,3.0,89.43,0.09,990.86,521.62,True
113,16.94,101.96,3.83,0.21,3.0,100.97,0.03,1007.72,515.84,True
114,18.86,104.37,3.64,0.23,3.0,91.62,0.08,994.06,520.52,True
115,29.89,118.18,2.56,0.36,3.0,37.93,0.37,915.68,547.4,True
116,19.79,105.53,3.55,0.24,3.0,87.08,0.11,987.44,522.79,True
117,27.67,115.4,2.78,0.33,3.0,48.73,0.31,931.44,541.99,True
118,15.83,100.57,3.93,0.19,3.0,106.37,0.0,1015.6,513.14,True
119,24.95,111.99,3.05,0.3,3.0,61.98,0.24,950.79,535.36,True
120,21.67,107.88,3.37,0.26,3.0,77.94,0.16,974.1,527.37,True
121,29.77,118.03,2.58,0.35,3.0,38.5,0.37,916.51,547.11,True
122,25.02,112.08,3.04,0.3,3.0,61.63,0.24,950.27,535.53,True
123,21.19,107.28,3.41,0.26,3.0,80.29,0.14,977.52,526.19,True
124,17.95,103.23,3.73,0.22,3.0,96.05,0.06,1000.53,518.3,True
125,29.39,117.56,2.61,0.35,3.0,40.33,0.36,919.18,546.19,True
126,24.69,111.66,3.07,0.3,3.0,63.25,0.23,952.64,534.72,True
127,26.94,114.49,2.85,0.32,3.0,52.28,0.29,936.62,540.21,True
128,28.17,116.03,2.73,0.34,3.0,46.28,0.33,927.87,543.22,True
129,16.1,100.91,3.91,0.2,3.0,105.05,0.01,1013.67,513.8,True
130,20.29,106.15,3.5,0.25,3.0,84.67,0.12,983.91,524.0,True
131,26.82,114.33,2.86,0.32,3.0,52.88,0.29,937.5,539.91,True
132,24.0,110.8,3.14,0.29,3.0,66.6,0.22,957.53,533.05,True
133,28.58,116.54,2.69,0.34,3.0,44.27,0.34,924.94,544.22,True
134,17.3,102.41,3.79,0.21,3.0,99.22,0.04,1005.17,516.71,True
135,28.51,116.45,2.7,0.34,3.0,44.63,0.34,925.46,544.04,True
136,17.35,102.48,3.79,0.21,3.0,98.95,0.04,1004.77,516.85,True
137,18.47,103.87,3.68,0.22,3.0,93.54,0.07,996.87,519.56,True
138,22.25,108.62,3.31,0.27,3.0,75.09,0.17,969.94,528.79,True
139,22.31,108.68,3.3,0.27,3.0,74.84,0.17,969.56,528.92,True
140,26.53,113.98,2.89,0.32,3.0,54.26,0.28,939.52,539.22,True
141,18.88,104.39,3.64,0.23,3.0,91.53,0.08,993.93,520.57,True
142,18.57,104.01,3.67,0.23,3.0,93.01,0.07,996.09,519.83,True
143,26.77,114.27,2.87,0.32,3.0,53.13,0.29,937.87,539.79,True
144,25.92,113.21,2.95,0.31,3.0,57.23,0.27,943.85,537.74,True
145,27.48,115.16,2.8,0.33,3.0,49.65,0.31,932.79,541.53,True
146,17.21,102.29,3.8,0.21,3.0,99.68,0.04,1005.83,516.49,True
147,20.83,106.84,3.45,0.25,3.0,82.01,0.13,980.03,525.33,True
148,22.97,109.52,3.24,0.28,3.0,71.59,0.19,964.82,530.55,True
149,25.23,112.35,3.02,0.3,3.0,60.59,0.25,948.76,536.05,True
150,18.59,104.03,3.67,0.23,3.0,92.92,0.07,995.96,519.87,True
151,19.95,105.72,3.53,0.24,3.0,86.33,0.11,986.35,523.17,True
152,23.15,109.73,3.22,0.28,3.0,70.75,0.19,963.59,530.97,True
153,22.13,108.46,3.32,0.27,3.0,75.7,0.17,970.82,528.49,True
154,23.36,110.0,3.2,0.28,3.0,69.71,0.2,962.08,531.49,True
155,19.65,105.35,3.56,0.24,3.0,87.79,0.1,988.48,522.44,True
156,20.07,105.88,3.52,0.24,3.0,85.72,0.11,985.45,523.47,True
157,18.35,103.72,3.69,0.22,3.0,94.12,0.07,997.71,519.27,True
158,16.51,101.42,3.87,0.2,3.0,103.08,0.02,1010.79,514.79,True
159,19.13,104.71,3.61,0.23,3.0,90.29,0.09,992.12,521.19,True
160,28.57,116.52,2.69,0.34,3.0,44.36,0.34,925.07,544.18,True
161,16.75,101.72,3.84,0.2,3.0,101.89,0.03,1009.06,515.38,True
162,21.22,107.31,3.41,0.26,3.0,80.15,0.14,977.32,526.26,True
163,22.06,108.37,3.33,0.27,3.0,76.05,0.17,971.34,528.31,True
164,17.6,102.78,3.76,0.21,3.0,97.77,0.05,1003.04,517.44,True
165,24.18,111.03,3.12,0.29,3.0,65.72,0.22,956.25,533.48,True
166,29.26,117.39,2.63,0.35,3.0,40.99,0.35,920.15,545.86,True
167,20.93,106.95,3.44,0.25,3.0,81.56,0.14,979.38,525.56,True
168,19.41,105.06,3.59,0.24,3.0,88.92,0.1,990.12,521.87,True
169,18.98,104.52,3.63,0.23,3.0,91.02,0.08,993.18,520.82,True
170,26.46,113.89,2.9,0.32,3.0,54.6,0.28,940.01,539.05,True
171,17.5,102.66,3.77,0.21,3.0,98.25,0.05,1003.75,517.2,True
172,21.36,107.49,3.4,0.26,3.0,79.47,0.15,976.33,526.6,True
173,20.26,106.12,3.5,0.25,3.0,84.79,0.12,984.1,523.94,True
174,18.52,103.94,3.67,0.23,3.0,93.28,0.07,996.49,519.69,True
175,17.35,102.48,3.79,0.21,3.0,98.97,0.04,1004.79,516.84,True
176,23.3,109.93,3.21,0.28,3.0,70.01,0.2,962.51,531.34,True
177,16.39,101.27,3.88,0.2,3.0,103.64,0.02,1011.61,514.51,True
178,28.89,116.93,2.66,0.34,3.0,42.78,0.35,922.75,544.97,True
179,25.21,112.32,3.02,0.3,3.0,60.71,0.25,948.93,536.0,True
180,29.83,118.1,2.57,0.36,3.0,38.22,0.37,916.09,547.25,True
181,23.76,110.5,3.16,0.29,3.0,67.75,0.21,959.22,532.47,True
182,23.8,110.56,3.16,0.29,3.0,67.55,0.21,958.92,532.57,True
183,28.56,116.51,2.69,0.34,3.0,44.41,0.34,925.13,544.15,True
184,25.76,113.01,2.97,0.31,3.0,58.03,0.26,945.02,537.34,True
185,29.05,117.12,2.65,0.35,3.0,42.02,0.35,921.65,545.35,True
186,18.1,103.41,3.71,0.22,3.0,95.33,0.06,999.48,518.67,True
187,22.62,109.07,3.27,0.27,3.0,73.33,0.18,967.36,529.68,True
