,nuc,aexp,nd,ns,age,asexp,la,ld
5014,9.25,140.5,2,1,16.0,59.5,92.0,2
5499,11.25,205.0,1,1,8.75,59.5,92.0,17.0
4919,16.0,205.0,3,1,13.75,59.5,92.0,17.0
5481,11.45,205.0,7,1,77.08823529411765,59.5,92.0,3
5257,10.0,140.5,3,2.5,13.75,5.0,92.0,0
4974,9.25,140.5,2,1,16.25,59.5,92.0,1
4923,16.4,205.0,3,1,8.8,59.5,92.0,3
5386,20.0,140.5,2,1,14.5,59.5,92.0,1
4976,3.42222222222222,183,2,2,77.08823529411765,59.5,92.0,3
5250,14.25,205.0,3,1,5.25,59.5,92.0,17.0
5052,20.0,140.5,3.0,2,24.0,59.5,56,3
5060,15.333333333333302,52.0,6,1,10.4444444444444,59.5,92.0,17.0
4905,7.5,205.0,1,2,14.7714285714286,59.5,92.0,3
5163,3.42222222222222,279,1,1,77.08823529411765,59.5,92.0,3
5077,9.25,256,2,2,77.08823529411765,59.5,92.0,3
5170,8.66666666666667,205.0,3,1,77.08823529411765,59.5,92.0,3
5143,9.25,205.0,1,1,77.08823529411765,59.5,67,3
5988,7.428571428571429,424.5,2,1,6.0,59.5,92.0,2.5
5322,9.25,389,1,1,77.08823529411765,5.0,92.0,1
5507,9.25,424.5,1,1,77.08823529411765,5.0,27,3
5564,20.0,205.0,2,2,63.33333333333335,59.5,53,3
5274,14.0,140.5,2,8.0,10.0,5.0,92.0,3
5717,13.6,97.0,3,2,17.5,59.5,92.0,3
5774,16.75,112.0,1,2,17.5,59.5,92.0,3
5817,16.875,140.5,4,3,77.08823529411765,59.5,92.0,3
5871,17.75,424.5,1,2,0.4,59.5,18.5,3
4911,9.25,205.0,9,5,14.7714285714286,59.5,92.0,89
4907,3.42222222222222,205.0,1,2,77.08823529411765,59.5,92.0,15
4914,9.25,205.0,5,4,77.08823529411765,59.5,92.0,15
5269,9.25,22.0,3,1,17.5,5.0,58,3
4961,9.25,171,14,5,77.08823529411765,59.5,92.0,17.0
4971,10.3333333333333,205.0,3.0,2,77.08823529411765,59.5,60,17.0
4987,9.25,189,3,2,77.08823529411765,59.5,92.0,17.0
4994,20.0,205.0,3,2,77.08823529411765,59.5,52,17.0
4965,9.25,175,3,2,17.5,59.5,92.0,4.5
5008,7.073387096774194,140.5,3.0,2,17.5,59.5,33,3
5015,8.0,140.5,3.0,1,4.0,5.0,92.0,17.0
5027,3.42222222222222,205.0,3,1,6.09090909090909,59.5,92.0,17.0
4993,9.5,22.0,1,1,17.5,5.0,92.0,17.0
5028,9.25,154,13,6,77.08823529411765,59.5,92.0,17.0
5073,7.073387096774194,140.5,1,1,77.08823529411765,5.0,47,17.0
5090,9.25,140.5,3,2,77.08823529411765,59.5,93,17.0
5094,17.6666666666667,140.5,3,3,77.08823529411765,59.5,92.0,17.0
5057,20.0,140.5,5.0,1,17.5,5.0,62,4
5138,20.0,232,4,3,77.08823529411765,59.5,92.0,17.0
5161,9.25,140.5,3,2,77.08823529411765,59.5,39,17.0
4978,9.25,185,1,1,14.7714285714286,59.5,92.0,4.5
5002,9.25,202,3,1,14.7714285714286,5.0,92.0,4.5
5171,20.0,140.5,5,3,9.66666666666667,59.5,92.0,17.0
5214,12.555555555555598,140.5,2,2,77.08823529411765,59.5,92.0,17.0
5180,3.42222222222222,205.0,1,2,63.33333333333335,59.5,92.0,4
5237,9.25,140.5,5,1,4.05263157894737,5.0,92.0,17.0
5169,9.25,283,1,1,77.08823529411765,59.5,92.0,4.5
5249,8.20833333333333,112.0,5,1,17.5,5.0,92.0,17.0
5283,9.25,205.0,13,6,17.5,59.5,92.0,79
5245,20.0,339,8,4,17.5,59.5,92.0,6.5
5299,10.1764705882353,140.5,5,2.5,15.9411764705882,5.0,92.0,17.0
5319,10.875,140.5,3,2,17.5,59.5,92.0,17.0
5236,9.25,205.0,6,3,1.14285714285714,59.5,92.0,31
5333,9.25,205.0,1,2,77.08823529411765,59.5,92.0,51
5337,3.42222222222222,396,7,6,77.08823529411765,59.5,92.0,17.0
5294,3.42222222222222,374,4,1,77.08823529411765,59.5,92.0,12.5
5356,9.25,416,2,1,77.08823529411765,5.0,92.0,0.5
5321,9.25,388,4,1,17.5,5.0,92.0,4.5
5390,9.25,140.5,5,2,10.857142857142902,59.5,92.0,17.0
5389,9.25,205.0,5,1,17.5,59.5,92.0,139
5379,9.25,435,9,6,17.5,59.5,92.0,4.5
5416,16.4432989690722,205.0,32,21,17.5,59.5,92.0,17.0
5441,20.0,205.0,21,8,77.08823529411765,59.5,92.0,1164
5437,9.25,205.0,4,1,63.33333333333335,59.5,92.0,329
5444,7.3953488372092995,205.0,10,5,77.08823529411765,59.5,92.0,17.0
5478,9.25,424.5,2,1,17.5,472.0,92.0,3
