,nuc,arexp,nd,ns,age,la,ld,target
0,2.57,35.0,5.0,1.0,0.0,158.0,42.0,1
1,7.12,105.0,4.0,1.0,1.62,99.0,24.0,1
2,6.52,59.0,5.0,1.0,1.97,191.0,197.0,1
3,8.44,132.0,4.0,1.0,0.33,288.0,34.0,1
4,8.5,169.0,4.0,1.0,7.5,230.0,68.0,0
5,9.1,170.0,5.0,1.0,6.0,287.0,190.0,1
6,9.29,185.0,5.0,1.0,4.71,94.0,12.0,1
7,21.91,9.0,7.0,1.0,18.18,242.0,38.0,0
8,26.43,244.0,4.0,1.0,3.43,153.0,156.0,1
9,12.38,256.0,4.0,1.0,15.88,379.0,94.0,0
10,23.43,270.0,5.0,1.0,1.71,249.0,3.0,1
11,33.71,273.0,5.0,1.0,3.14,104.0,29.0,1
12,9.25,277.0,4.0,1.0,25.75,32.0,9.0,0
13,28.88,284.0,5.0,1.0,5.88,192.0,55.0,1
14,6.0,297.0,4.0,1.0,7.83,113.0,9.0,0
15,12.6,298.0,8.0,1.0,9.33,142.0,26.0,0
16,41.5,18.0,5.0,1.0,3.17,163.0,80.0,1
17,27.0,329.0,4.0,1.0,13.75,59.0,9.0,0
18,13.67,333.0,4.0,1.0,8.78,167.0,37.0,0
19,20.91,338.0,6.0,1.0,11.45,159.0,16.0,0
20,17.75,341.0,4.0,1.0,2.38,82.0,43.0,1
21,42.0,23.0,5.0,1.0,5.29,100.0,4.0,1
22,33.27,420.0,7.0,1.0,1.36,370.0,105.0,1
23,34.62,421.0,5.0,1.0,0.0,243.0,107.0,1
24,16.67,458.0,4.0,1.0,9.33,102.0,39.0,0
25,23.5,471.0,4.0,1.0,1.33,44.0,33.0,1
26,38.2,477.0,4.0,1.0,2.0,92.0,13.0,1
27,5.2,485.0,4.0,1.0,17.6,90.0,3.0,1
28,33.67,501.0,4.0,1.0,0.0,99.0,34.0,1
29,41.62,546.0,5.0,1.0,4.5,193.0,11.0,1
30,48.4,634.0,4.0,1.0,8.8,109.0,45.0,0
31,14.14,645.0,4.0,1.0,9.29,115.0,67.0,0
32,32.17,731.0,5.0,1.0,10.33,223.0,41.0,0
33,33.82,764.0,6.0,1.0,8.91,101.0,20.0,0
34,37.75,2.0,5.0,1.0,35.5,164.0,10.0,0
35,12.82,6.0,6.0,1.0,52.55,186.0,6.0,0
36,1.36,628.0,6.0,1.0,10.32,372.0,234.0,0
37,1.83,629.0,6.0,1.0,26.17,173.0,184.0,0
38,29.23,8.0,6.0,1.0,93.23,297.0,53.0,0
39,8.2,17.0,5.0,1.0,5.0,94.0,13.0,1
40,16.67,30.0,7.0,1.0,9.67,443.0,12.0,0
41,7.67,606.5,4.0,1.0,16.33,17.0,14.0,0
42,8.86,109.0,5.0,1.0,132.0,96.0,74.0,0
43,11.14,40.0,6.0,1.0,19.57,134.0,5.0,0
44,12.8,41.0,5.0,1.0,13.2,85.0,5.0,0
45,19.4,100.5,4.0,1.0,4.8,189.0,4.0,1
46,20.17,128.0,4.0,1.0,59.33,117.0,43.0,0
47,48.75,71.0,4.0,1.0,27.5,220.0,6.0,0
48,1.14,82.0,4.0,1.0,5.43,113.0,1.0,0
49,35.2,97.0,4.0,1.0,46.6,92.0,39.0,0
50,30.71,57.0,5.0,1.0,49.71,82.0,79.0,0
51,30.25,206.0,4.0,1.0,1.75,13.0,3.0,1
52,22.4,101.0,5.0,1.0,17.8,159.0,16.0,0
53,32.89,240.5,4.0,1.0,46.44,115.0,30.0,0
54,9.17,82.0,4.0,1.0,2.5,38.0,58.0,1
55,37.25,282.5,4.0,1.0,14.0,81.0,196.0,0
56,44.29,293.0,5.0,1.0,18.29,151.0,167.0,0
57,24.0,294.0,5.0,1.0,130.5,213.0,222.0,0
58,26.4,289.0,4.0,1.0,121.2,64.0,29.0,0
59,43.4,298.0,4.0,1.0,78.8,43.0,26.0,0
60,20.0,305.5,5.0,1.0,19.4,594.0,27.0,0
61,56.86,314.0,5.0,1.0,10.0,192.0,144.0,0
62,59.0,319.0,6.0,1.0,38.71,132.0,91.0,0
63,46.67,328.5,6.0,1.0,90.47,98.0,178.0,0
64,23.83,335.33,4.0,1.0,81.17,407.0,160.0,0
65,16.0,345.33,5.0,1.0,135.56,74.0,26.0,0
66,37.42,126.25,6.0,1.0,36.25,181.0,133.0,0
67,33.43,129.17,7.0,1.0,2.36,90.0,74.0,1
68,18.3,3.0,6.0,1.0,3.9,33.0,16.0,1
69,21.22,8.0,5.0,1.0,38.28,114.0,48.0,0
70,55.7,339.33,8.0,1.0,101.2,49.0,46.0,0
71,22.75,350.33,4.0,1.0,138.75,29.0,8.0,0
72,27.56,195.0,6.0,1.0,71.67,299.0,119.0,0
73,2.22,71.0,4.0,1.0,30.0,96.0,12.0,0
74,62.29,358.33,4.0,1.0,6.0,99.0,28.0,1
75,53.25,355.5,4.0,1.0,7.0,55.0,4.0,1
76,14.5,362.67,4.0,1.0,20.0,39.0,8.0,0
77,12.86,190.0,4.0,1.0,1.43,5.0,9.0,1
78,42.21,373.83,5.0,1.0,23.14,433.0,75.0,0
79,21.17,383.0,5.0,1.0,40.17,23.0,18.0,0
80,63.67,314.0,4.0,1.0,13.17,191.0,84.0,0
81,18.0,335.0,4.0,1.0,3.75,4.0,4.0,1
82,43.43,403.0,5.0,1.0,47.86,122.0,12.0,0
83,31.8,402.33,6.0,1.0,6.3,356.0,11.0,1
84,62.29,367.0,5.0,1.0,12.71,327.0,115.0,0
85,31.5,373.0,7.0,1.0,21.29,18.0,30.0,0
86,3.6,404.5,5.0,1.0,2.2,51.0,8.0,1
87,27.29,425.83,5.0,1.0,9.86,137.0,27.0,0
88,63.5,429.33,5.0,1.0,12.33,53.0,18.0,0
89,35.0,432.17,7.0,1.0,90.11,176.0,123.0,0
90,18.89,75.0,5.0,1.0,43.42,145.0,244.0,0
91,18.86,82.0,7.0,1.0,13.21,193.0,191.0,0
92,24.17,84.0,5.0,1.0,4.67,193.0,109.0,1
93,5.17,434.08,4.0,1.0,38.83,55.0,14.0,1
94,80.8,92.0,5.0,1.0,8.8,309.0,81.0,0
