,nuc,aexp,age,asexp,la,ld,target
0,21.0,156.0,1.0,59.0,2.0,2.0,True
1,14.0,157.0,0.0,60.0,7.0,3.0,True
2,9.8,163.0,1.8,0.0,58.0,114.0,True
3,9.42,169.0,3.5,0.0,292.0,6.0,True
4,18.5,171.0,6.0,0.0,6.0,1.0,True
5,11.09,172.0,1.73,0.0,442.0,71.0,True
6,9.33,184.0,4.56,0.0,54.0,71.0,True
7,14.0,197.0,23.0,59.0,12.0,10.0,True
8,24.0,42.0,15.0,27.0,16.0,0.0,True
9,13.2,49.0,14.8,28.0,23.0,23.0,True
10,14.0,209.0,1.0,62.0,2.0,1.0,True
11,23.29,72.0,0.43,0.51,362.0,53.0,True
12,14.0,287.0,30.25,0.0,25.0,9.0,True
13,21.0,89.0,1.0,16.0,52.0,60.0,True
14,24.0,98.0,6.0,19.0,31.0,28.0,True
15,13.14,318.0,2.57,0.0,37.0,17.0,True
16,11.0,344.0,13.0,0.0,6.0,6.0,True
17,11.58,351.0,0.75,0.0,132.0,67.0,True
18,17.89,359.0,1.44,0.0,38.0,89.0,True
19,14.33,438.0,10.33,0.0,5.0,12.0,True
20,31.0,21.0,0.0,2.0,19.0,9.0,True
21,33.0,28.0,0.0,7.0,12.0,18.0,True
22,12.0,464.0,1.0,21.0,0.0,12.0,False
23,17.0,44.0,0.0,14.0,22.0,1.0,True
24,17.0,497.0,0.0,0.0,5.0,4.0,True
25,12.0,55.0,7.67,0.0,37.0,38.0,True
26,8.67,537.0,24.33,0.0,177.0,107.0,True
27,40.5,564.0,1.5,0.0,152.0,26.0,True
28,12.0,75.0,0.0,34.0,138.0,115.0,True
29,20.0,683.0,2.67,0.0,111.0,9.0,True
30,23.0,1.0,3.0,0.0,3.0,1.0,True
31,16.67,695.0,11.67,0.0,11.0,13.0,True
32,21.33,703.0,9.33,0.0,43.0,22.0,True
33,17.0,704.0,13.0,53.0,1.0,1.0,True
34,16.5,727.0,18.5,0.0,18.0,1.0,True
35,13.0,2.0,0.0,1.25,8.0,4.0,True
36,29.33,749.0,4.0,0.0,21.0,19.0,True
37,33.8,0.0,10.0,0.0,63.0,19.0,True
38,45.0,157.0,0.0,7.0,1.0,1.0,True
39,7.0,163.0,30.0,0.0,79.0,76.0,True
40,25.0,0.0,32.38,0.0,277.0,36.0,True
41,29.0,16.0,5.5,0.0,23.0,1.0,True
42,14.14,21.0,21.43,1.0,177.0,20.0,True
43,32.5,22.0,2.0,2.0,6.0,6.0,True
44,23.0,24.0,0.0,3.0,2.0,0.0,True
45,30.33,961.0,2.0,0.0,55.0,2.0,True
46,31.0,2.0,0.0,2.0,3.0,10.0,True
47,32.0,4.0,1.0,4.0,4.0,1.0,True
48,22.0,1002.0,5.0,0.0,6.0,21.0,True
49,36.67,1013.0,2.0,114.0,95.0,26.0,True
50,59.0,115.0,10.0,1.0,8.0,8.0,True
51,27.0,1047.0,33.0,0.01,212.0,137.0,True
52,10.4,1.0,4.0,0.5,308.0,0.0,True
53,30.33,0.0,3.83,0.0,536.0,2.0,True
54,33.43,0.0,17.71,0.0,284.0,17.0,True
55,22.0,0.0,34.61,0.0,1442.0,267.0,True
56,8.0,39.0,14.5,2.0,540.0,128.0,True
57,11.0,3.0,1.0,0.0,1.0,1.0,True
58,20.6,0.0,27.0,0.0,21.0,4.0,True
59,20.89,14.0,67.89,0.0,34.0,25.0,True
60,10.75,132.0,77.81,0.06,503.0,84.0,True
61,14.38,0.0,4.06,0.0,1048.0,2.0,True
62,15.2,134.0,16.0,0.56,64.0,75.0,True
63,10.17,50.0,18.83,0.33,83.0,73.0,True
64,24.62,22.0,21.62,0.0,220.0,151.0,True
65,21.0,51.0,0.0,8.0,4.0,0.0,True
66,25.9,33.0,14.7,0.02,883.0,1.0,True
67,11.0,3.0,4.0,0.0,12.0,20.0,True
68,7.16,30.0,18.48,0.0,309.0,109.0,True
69,22.17,9.0,11.96,0.4,1186.0,117.0,True
70,11.0,0.0,17.37,0.0,572.0,45.0,True
71,10.5,2.0,8.0,1.0,17.0,8.0,True
72,21.0,4.0,8.0,1.0,2.0,1.0,True
73,18.0,1.0,8.0,0.0,106.0,27.0,True
74,31.0,0.0,2.0,0.0,1.0,1.0,True
