,nuc,aexp,ns,age,asexp,la
1973,,,,,,
2063,,,,,,
2291,,,,,,
2106,,,,,,
2069,,,,,,
2220,,,,,,
1951,,,,,,
2250,,,,,,
2203,,,,,,
1978,,,,,,
1921,,,,,,
1958,,,,,,
2041,0.0,6,2,71.0588235294118,0.609375,0
2002,,,,,,
2296,107.75,5,2,6.0,0.90625,3
2060,0.0,0,1,177.75,0.0,1
2222,,,,,,
2266,,,,,,
2023,,,,,,
2193,,,,,,
2031,52.125,360,2,266.0,1.15951012159542,571
1923,,,,,,
2005,,,,,,
2198,,,,,,
2096,,,,,,
2153,,,,,,
2259,15.8181818181818,44,2,126.363636363636,0.992187461350056,2
2189,,,,,,
2228,,,,,,
2199,,,,,,
2263,,,,,,
2242,,,,,,
2036,8.0,0,1,238.0,151.0,36.0
2341,1.50806451612903,17,2,184.47826086956505,1.17870330810547,3
1956,,,,,,
2241,,,,,,
2048,,,,,,
2089,57.952380952380885,372,8,182.1428571428575,1.15951012159542,302
1962,,,,,,
2138,,,,,,
2042,,,,,,
2281,,,,,,
2076,,,,,,
2045,,,,,,
2033,,,,,,
2101,,,,,,
2077,,,,,,
2363,41.7857142857143,108,1,38.4285714285714,182.0,720.0
2108,,,,,,
1988,66.6153846153846,0,6,0.0,1.00049205541654,4
1912,0.0,0,1,215.58333333333348,0.01513671875,347
2272,,,,,,
2057,,,,,,
2070,,,,,,
2071,19.2857142857143,11,3,443.5,0.7080277961241229,1874.5
2022,,,,,,
2274,0.5714285714285711,349.0,4,444.0,0.333272298177086,1058
2145,,,,,,
1918,,,,,,
1942,,,,,,
2171,0.833333333333333,89.0,2,0.0,0.0,3
2015,0.0,7,3,65.6521739130435,94.0,2
2003,0.0,19.0,1,0.266666666666667,0.0,3
2146,,,,,,
2046,,,,,,
2247,1.0,341.0,7,0.266666666666667,0.01513671875,1
2037,,,,,,
2087,,,,,,
2271,,,,,,
1980,,,,,,
