,nuc,aexp,age,asexp,la,ld
1168,,,,,,
1303,33.0,0,49.6666666666667,0.0,3,90
1231,10.6666666666667,19,50.22222222222221,1.0,5,119
1411,12.142857142857098,386,323.714285714286,0.4814816908978301,7,323
1349,,,,,,
1326,,,,,,
1163,,,,,,
1171,,,,,,
1172,,,,,,
1175,,,,,,
1193,4.0,128,72.5625,0.50004829636507,184,228
1235,10.0,204,36.4137931034483,0.1998505440830019,20.5,1874
1199,,,,,,
1219,,,,,,
1203,,,,,,
1241,33.5,13,9.5,0.3889127124278785,88,4
1236,,,,,,
1250,2.28571428571429,105,63.28571428571429,14.0,217,0.5
1256,,,,,,
1304,29.058823529411807,278,39.3529411764706,0.253907366434888,27.0,856
1294,,,,,,
1341,59.4117647058824,15,129.764705882353,0.3330965833738449,67.0,66
1329,,,,,,
1386,9.31578947368421,368,98.6315789473684,0.0130313319598587,159,13.0
1351,36.75,0,26.25,0.6520475876808676,60,16
1368,47.77777777777778,346,198.111111111111,0.0625152587911276,41.0,31
1384,23.5810810810811,1,219.959459459459,0.0222222222222222,10.0,165
1391,,,,,,
1390,,,,,,
1346,38.723404255319096,128,65.44680851063829,0.163265306122449,14.5,837
1447,,,,,,
1165,,,,,,
