,nuc,arexp,nd,ns,age,la,ld
9636,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9629,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9632,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9688,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9651,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9691,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9659,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9644,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9695,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9710,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9680,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9663,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9729,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9735,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9755,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9787,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9788,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9792,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9804,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9810,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9825,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9829,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9836,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9839,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9851,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9857,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9862,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9870,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9878,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9886,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9887,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9890,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9894,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9896,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9906,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9924,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9917,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9932,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9944,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9965,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9966,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
9977,16.071428571428598,776.0833333333414,6,2,6.866071428571431,281.0,307.0
