,nuc,aexp,nd,ns,age,asexp,la,ld
4971,,,,,,,,
5438,,,,,,,,
4987,5.7,189,3,2,110.6,0.1254732310808319,0,36
5052,33.5,235,2,2,24.0,0.1254732310808319,0,15
5180,0.333333333333333,2,1,2,158.0,0.0,0,4
5245,72.5,339,8,4,84.6666666666667,0.255878687444241,0,160
5319,10.875,386,3,2,62.625,0.1254732310808319,0,58
5583,1.6666666666666698,136,5,1,125.666666666667,11.0,0,77
5599,9.625,145,6,4,96.5,1.03287761719845,0,71
5129,13.5,18,10,3,39.6111111111111,0.124168161896053,1,110
5283,6.941176470588241,0,13,6,72.67647058823529,0.0,1,79
5294,1.625,374,4,1,125.75,10.0,1,62
5985,20.5,667,9,4,389.363636363636,0.345849331705114,1,130
5027,1.45454545454545,72,3,1,6.09090909090909,8.0,0,0
5236,4.6,49,1,3,221.9,0.0047776103560293,0,31
5936,19.375,629,3,2,279.125,0.0013732915999966,0,0
5051,6.66666666666667,173,4,3,78.8333333333333,0.527485149057826,5,37
5717,0.0454545454545455,180,3,2,53.4,3.24845932482276e-05,0,7
5594,7.78571428571429,567,2,3,170.357142857143,0.0005588683215173,1,168
6003,3.75,688,3,4,603.375,0.0166675068942937,8,22
4993,,,,,,,,
5057,,,,,,,,
5441,38.9574468085106,33,21,8,242.957446808511,3.666403999521599e-12,47.0,1164
5390,,,,,,,,
5481,11.45,67,7,4,255.55,0.845377605736098,13.0,3
5577,3.5,131,1,1,95.5,0.904296875,142,1
5684,,,,,,,,
5706,24.094339622641503,660,24,7,123.22641509433998,0.146309499019801,189.5,562
5356,4.5,416,2,1,85.0,0.0555555555507892,0,99
5918,33.6666666666667,71.5,3,2,52.3333333333333,1.0799741193348,295,3
5466,9.4,501,3,3,78.2,0.015625,0,0
4905,0.7777777777777779,119,1,2,33.5,0.167467837515468,0,16
5790,4.0,1404,1,2,91.5,0.167467837515468,0,4
5089,50.6666666666667,264,1,1,68.0,1.42938346731673,0,23
5169,4.125,283,1,1,389.125,1.01058474597077,0,92
5138,,,,,,,,
5170,8.66666666666667,33.0,3,1,104.166666666667,0.0,0,15
5299,10.1764705882353,376,5,1,15.9411764705882,0.8967867102917104,0,75
5249,,,,,,,,
5337,1.4166666666666698,396,7,6,182.846153846154,0.0055341022396657,0,72
5437,2.38095238095238,28,4,1,190.85714285714292,0.8967867102917104,0,329
5523,12.4,416,3,2,286.4,0.136363645183542,0,38
5564,23.6666666666667,124,2,2,98.0,0.9218330085277535,0,14
5630,7.928571428571429,31.0,3,2,154.357142857143,0.166338686541857,0,190
5784,5.89473684210526,705,4,1,67.0526315789474,0.904296875,0,1169
5811,22.1666666666667,238,4,2,66.0,0.9491767585277535,0,93
5909,6.8,92.0,5,3,265.66666666666697,0.0170705921244375,0,16
4978,7.1,185,1,1,40.1,0.904296875,1,914
5815,8.0,726,2,1,10.4,0.904296875,1,22
5988,0.0851063829787234,1,2,2,6.0,0.174090151385607,0,53
4914,2.81818181818182,88.5,5,4,96.8181818181818,0.5,0,0
4961,2.86538461538462,71.0,14,5,114.03846153846202,0.0080010291199345,2,911
5090,5.0,193,3,3,0.0,0.167467837515468,0,40
5250,0.0454545454545455,50,3,2,5.25,957.0,252,50
5379,2.76,435,11.5,6,41.9866666666667,0.0055341027908672,2,147
5634,33.5,455,1,2,504.5,0.0371414688068189,51,261.0
5386,20.0,346,2,4,14.5,0.166338686541857,4,3
5251,4.57142857142857,344,2,3,184.57142857142892,0.0541104400761637,0,425.0
5077,4.0,256,5.0,2,207.0,0.1274378598992619,11.0,5
5770,4.769230769230768,219,11.5,6,115.0,0.537988683212231,33.0,35
5871,17.75,563,1,2,10.5,1.0799741193348,9,567.5
5322,0.0851063829787234,389,1,1,126.5,0.904296875,0,5
5444,0.108108108108108,35,10,5,551.25,1.01648000075358,0,326
5171,0.44505494505494547,733.5,5,3,9.66666666666667,0.354067572588633,0,26
5187,140.25,295,4,1,110.6,1.12458800337077,0,361
5321,4.66666666666667,388,4,1,24.11111111111111,1.12458800337077,120.5,79
5257,0.0,285,3,1,13.75,1.0799741193348,0,3
5486,9.4,509,2,2.5,233.6,0.38858312545762,0,36
5499,11.25,75,1,2,8.75,0.904296875,0,367.5
5729,14.333333333333302,677,1,2,231.333333333333,27.0,0,224.0
5760,29.25,507,4,3,261.0,0.904296875,0,37
5002,,,,,,,,
5774,16.75,144.0,1,2,31.0,0.8967867102917104,0,8
5859,84.0,746,1,3,45.0,0.904296875,0,62
4911,6.85,122,2,5,442.6666666666665,0.256656616364497,15.0,89
5416,1.22222222222222,19,1,21,48.45360824742272,0.240584182418603,186.0,108
5424,3.6829268292682897,471,13,1,538.0,64.0,1,999.0
5528,14.0,166,3,3,224.2,1.42938346731673,1,27
4974,0.0,181,8.5,1,16.25,0.904296875,0,3
4965,3.11764705882353,175,3,2,634.0,0.1274378598992619,8,213.5
5094,17.6666666666667,1179.5,3,3,133.333333333333,0.38858312545762,3,22
5274,,,,,,,,
5585,9.0,559,9.5,2.5,89.0,1.12458800337077,63,49
5028,7.028571428571429,154,13,8,377.666666666667,42.5,0,350
4919,16.0,2,3,2,373.076923076923,0.33710031991794953,0,535.0
5060,0.0,179,6,3,87.8461538461538,0.527485149057826,0,719.0
5389,3.8333333333333295,14,5,2.5,278.6875,15.0,0,139
5049,0.9,1028.0,5,3,125.666666666667,0.527485149057826,3,305.5
5214,12.555555555555598,1149.0,2,2,8.66666666666667,0.115277769937459,13.0,101
5087,46.0,84,1,8.0,23.3333333333333,0.02638323440340945,809.0,36
5817,,,,,,,,
